"","x"
"1","Positive"
"2","Positive"
"3","Positive"
"4","Positive"
"5","Positive"
"6","Positive"
"7","Positive"
"8","Positive"
"9","Positive"
"10","Neutral"
"11","Positive"
"12","Positive"
"13","Positive"
"14","Positive"
"15","Positive"
"16","Neutral"
"17","Negative"
"18","Positive"
"19","Neutral"
"20","Neutral"
"21","Neutral"
"22","Positive"
"23","Positive"
"24","Positive"
"25","Positive"
"26","Positive"
"27","Positive"
"28","Positive"
"29","Positive"
"30","Positive"
"31","Positive"
"32","Neutral"
"33","Positive"
"34","Positive"
"35","Positive"
"36","Positive"
"37","Negative"
"38","Positive"
"39","Neutral"
"40","Positive"
"41","Neutral"
"42","Neutral"
"43","Negative"
"44","Neutral"
"45","Positive"
"46","Positive"
"47","Positive"
"48","Positive"
"49","Positive"
"50","Positive"
"51","Neutral"
"52","Negative"
"53","Positive"
"54","Positive"
"55","Positive"
"56","Positive"
"57","Positive"
"58","Positive"
"59","Neutral"
"60","Positive"
"61","Positive"
"62","Positive"
"63","Positive"
"64","Positive"
"65","Positive"
"66","Positive"
"67","Positive"
"68","Positive"
"69","Positive"
"70","Positive"
"71","Positive"
"72","Positive"
"73","Positive"
"74","Positive"
"75","Positive"
"76","Positive"
"77","Negative"
"78","Positive"
"79","Positive"
"80","Positive"
"81","Positive"
"82","Positive"
"83","Positive"
"84","Positive"
"85","Positive"
"86","Positive"
"87","Positive"
"88","Positive"
"89","Positive"
"90","Positive"
"91","Positive"
"92","Positive"
"93","Positive"
"94","Negative"
"95","Neutral"
"96","Negative"
"97","Positive"
"98","Positive"
"99","Positive"
"100","Positive"
"101","Positive"
"102","Positive"
"103","Positive"
"104","Positive"
"105","Positive"
"106","Neutral"
"107","Positive"
"108","Positive"
"109","Neutral"
"110","Positive"
"111","Positive"
"112","Neutral"
"113","Positive"
"114","Positive"
"115","Neutral"
"116","Neutral"
"117","Neutral"
"118","Positive"
"119","Positive"
"120","Positive"
"121","Positive"
"122","Positive"
"123","Positive"
"124","Positive"
"125","Positive"
"126","Positive"
"127","Positive"
"128","Positive"
"129","Positive"
"130","Positive"
"131","Positive"
"132","Positive"
"133","Positive"
"134","Positive"
"135","Positive"
"136","Positive"
"137","Positive"
"138","Positive"
"139","Positive"
"140","Positive"
"141","Positive"
"142","Negative"
"143","Positive"
