"","x"
"1","President Obama is absolutely right - we cannot afford to wait any longer to invest in new energy technologies;... http://bit.ly/bpVcxM"
"2","Holding a field hearing today in West Virginia on the  explosion at Massey Energy�s Upper Big Branch Mine. Read... http://bit.ly/ca8j5d"
"3","Just joined Rep Matsui in introducing bill to provide SBA loans to small biz manufacturing clean energy tech here in the U.S. bit.ly/cZxRq3"
"4","House Energy and Commerce Committee Republicans changed on 09 8 18:22 UTC/8C: View this change or all changes. http://bit.ly/13rd4K"
"5","House Energy and Commerce Committee Republicans: News changed on 07C/30C: View this change or all changes. http://bit.ly/dz72D"
"6","House Energy and Commerce Committee Republicans changed on 6/30: View this change or all changes. http://tinyurl.com/mm6azx"
"7","House Energy and Commerce Committee Republicans changed on 10/14: View this change or all changes. http://bit.ly/18VdZi"
"8","U.S. House of Representatives: Committee on Energy changed on 6/27: View this change or all changes. http://bit.ly/bLqw3"
"9","House Energy and Commerce Committee Republicans changed on 11/10: View this change or all changes. http://bit.ly/1ABrr8"
"10","House Energy and Commerce Committee Republicans changed on 11/10: View this change or all changes. http://bit.ly/3ZwstT"
"11","House Energy and Commerce Committee Republicans: News changed on 11/10: View this change or all changes. http://bit.ly/2yovnm"
"12","House Energy and Commerce Committee Republicans changed on 11/8: View this change or all changes. http://bit.ly/bJrYk"
"13","House Energy and Commerce Committee Republicans changed on 11/8: View this change or all changes. http://bit.ly/zKRyd"
"14","House Energy and Commerce Committee Republicans: News changed on 11/8: View this change or all changes. http://bit.ly/i9rfP"
"15","Energy and Commerce Committee changed on 11 8 01:18 UTC/8C: View this change or all changes. http://bit.ly/nIgbg"
"16","House Energy and Commerce Committee Republicans changed on 11 8 05:54 UTC/8C: View this change or all changes. http://bit.ly/7oQeV"
"17","House Energy and Commerce Committee Republicans changed on 11 8 08:12 UTC/8C: View this change or all changes. http://bit.ly/4iA9HH"
"18","House Energy and Commerce Committee Republicans: News changed on 11 8 09:28 UTC/8C: View this change or all cha.. http://bit.ly/45lkbk"
"19","Energy and Commerce Committee changed on 11 7 01:38 UTC/7C: View this change or all changes. http://bit.ly/168c98"
"20","House Energy and Commerce Committee Republicans changed on 11 7 08:06 UTC/7C: View this change or all changes. http://bit.ly/3XIel0"
"21","House Energy and Commerce Committee Republicans: News changed on 11 7 11:08 UTC/7C: View this change or all cha.. http://bit.ly/6Y4Ds"
"22","Energy and Commerce Committee changed on 11 7 18:02 UTC/7C: View this change or all changes. http://bit.ly/tRRK"
"23","House Energy and Commerce Committee Republicans: He changed on 11/5: View this change or all changes. http://bit.ly/2hpDhx"
"24","Energy and Commerce Committee changed on 11 5 03:06 UTC/5C: View this change or all changes. http://bit.ly/13TLnj"
"25","House Energy and Commerce Committee Republicans changed on 11 4 08:18 UTC/4C: View this change or all changes. http://bit.ly/3TbDii"
