"","x"
"1","President Obama is absolutely right - we cannot afford to wait any longer to invest in new energy technologies;... http://bit.ly/bpVcxM"
"2","Just joined Rep Matsui in introducing bill to provide SBA loans to small biz manufacturing clean energy tech here in the U.S. bit.ly/cZxRq3"
"3","House Energy and Commerce Committee Republicans changed on 10/14: View this change or all changes. http://bit.ly/18VdZi"
"4","U.S. House of Representatives: Committee on Energy changed on 6/27: View this change or all changes. http://bit.ly/bLqw3"
"5","House Energy and Commerce Committee Republicans changed on 11/10: View this change or all changes. http://bit.ly/1ABrr8"
"6","House Energy and Commerce Committee Republicans changed on 11/10: View this change or all changes. http://bit.ly/3ZwstT"
"7","House Energy and Commerce Committee Republicans: News changed on 11/10: View this change or all changes. http://bit.ly/2yovnm"
"8","Energy and Commerce Committee changed on 11 8 01:18 UTC/8C: View this change or all changes. http://bit.ly/nIgbg"
"9","House Energy and Commerce Committee Republicans changed on 11 8 05:54 UTC/8C: View this change or all changes. http://bit.ly/7oQeV"
"10","House Energy and Commerce Committee Republicans changed on 11 8 08:12 UTC/8C: View this change or all changes. http://bit.ly/4iA9HH"
"11","House Energy and Commerce Committee Republicans changed on 11 7 08:06 UTC/7C: View this change or all changes. http://bit.ly/3XIel0"
"12","House Energy and Commerce Committee Republicans: News changed on 11 7 11:08 UTC/7C: View this change or all cha.. http://bit.ly/6Y4Ds"
"13","Energy and Commerce Committee changed on 11 4 04:20 UTC/4C: View this change or all changes. http://bit.ly/1EbUuQ"
"14","House Energy and Commerce Committee Republicans: Co changed on 11/4: View this change or all changes. http://bit.ly/3Q8gG5"
"15","Energy and Commerce Committee changed on 11 3 20:38 UTC/3C: View this change or all changes. http://bit.ly/1WnRbi"
"16","House Energy and Commerce Committee Republicans changed on 11 3 08:40 UTC/3C: View this change or all changes. http://bit.ly/3dMmSt"
"17","House Energy and Commerce Committee Republicans changed on 11/3: View this change or all changes. http://bit.ly/1NBEIj"
"18","House Energy and Commerce Committee Republicans changed on 10C/31C: View this change or all changes. http://bit.ly/306dhl"
"19","Energy and Commerce Committee changed on 10C/30C: View this change or all changes. http://bit.ly/2UJl3r"
"20","House Energy and Commerce Committee Republicans: Co changed on 10/29: View this change or all changes. http://bit.ly/3dyuj"
"21","House Energy and Commerce Committee Republicans changed on 10C/29C: View this change or all changes. http://bit.ly/1VWB7u"
"22","House Energy and Commerce Committee Republicans: Ph changed on 10/28: View this change or all changes. http://bit.ly/g6blf"
"23","House Energy and Commerce Committee Republicans: News changed on 10C/28C: View this change or all changes. http://bit.ly/33ZowL"
"24","House Energy and Commerce Committee Republicans: News changed on 10/28: View this change or all changes. http://bit.ly/19tFGv"
"25","House Energy and Commerce Committee Republicans changed on 10C/26C: View this change or all changes. http://bit.ly/4Fxceo"
"26","Energy and Commerce Committee changed on 10C/23C: View this change or all changes. http://bit.ly/2fZT33"
"27","House Energy and Commerce Committee Republicans changed on 10C/23C: View this change or all changes. http://bit.ly/WOfZK"
"28","House Energy and Commerce Committee Republicans changed on 10/23: View this change or all changes. http://bit.ly/XKW1F"
"29","House Energy and Commerce Committee Republicans: He changed on 10/23: View this change or all changes. http://bit.ly/3akR4Z"
"30","House Energy and Commerce Committee Republicans: News changed on 10C/22C: View this change or all changes. http://bit.ly/4tYPVl"
"31","Energy and Commerce Committee changed on 10C/22C: View this change or all changes. http://bit.ly/1jRt1w"
"32","House Energy and Commerce Committee Republicans changed on 10C/21C: View this change or all changes. http://bit.ly/1Vxy7Z"
"33","House Energy and Commerce Committee Republicans changed on 10/17: View this change or all changes. http://bit.ly/1ZpOoC"
"34","House Energy and Commerce Committee Republicans: News changed on 10/16: View this change or all changes. http://bit.ly/2IR2c"
"35","House Energy and Commerce Committee Republicans changed on 10/9: View this change or all changes. http://bit.ly/4FHoCB"
"36","House Energy and Commerce Committee Republicans changed on 10 8 10:34 UTC/8C: View this change or all changes. http://bit.ly/1ZyLZ"
"37","House Energy and Commerce Committee Republicans changed on 10/8: View this change or all changes. http://bit.ly/bb42j"
"38","House Energy and Commerce Committee Republicans: Co changed on 10/8: View this change or all changes. http://bit.ly/w5cvr"
"39","House Energy and Commerce Committee Republicans changed on 10/7: View this change or all changes. http://bit.ly/2PABni"
"40","House Energy and Commerce Committee Republicans: Co changed on 10/6: View this change or all changes. http://bit.ly/NYJo1"
"41","Energy and Commerce Committee changed on 10 3 20:22 UTC/3C: View this change or all changes. http://bit.ly/12a8yo"
"42","House Energy and Commerce Committee Republicans changed on 10/2: View this change or all changes. http://bit.ly/1JoxvF"
"43","Energy and Commerce Committee changed on 10 1 19:38 UTC/1C: View this change or all changes. http://bit.ly/1wqXW1"
"44","House Energy and Commerce Committee Republicans changed on 9/29: View this change or all changes. http://bit.ly/3uJh7J"
"45","Energy and Commerce Committee changed on 09C/28C: View this change or all changes. http://bit.ly/kWFFw"
"46","Energy and Commerce Committee changed on 09C/28C: View this change or all changes. http://bit.ly/3CRTFw"
"47","House Energy and Commerce Committee Republicans: Co changed on 9/26: View this change or all changes. http://bit.ly/IHpzj"
"48","House Energy and Commerce Committee Republicans: News changed on 09C/25C: View this change or all changes. http://bit.ly/95nD5"
"49","Energy and Commerce Committee changed on 09C/25C: View this change or all changes. http://bit.ly/lNjrJ"
"50","Energy and Commerce Committee changed on 09C/24C: View this change or all changes. http://bit.ly/JtfwA"
"51","Energy and Commerce Committee changed on 09C/24C: View this change or all changes. http://bit.ly/17bMHJ"
"52","House Energy and Commerce Committee Republicans changed on 09C/23C: View this change or all changes. http://bit.ly/uS278"
"53","Energy and Commerce Committee changed on 09C/23C: View this change or all changes. http://bit.ly/13VYaK"
"54","House Energy and Commerce Committee Republicans changed on 9/14: View this change or all changes. http://bit.ly/3wvIxl"
"55","House Energy and Commerce Committee Republicans changed on 9/12: View this change or all changes. http://bit.ly/293v5E"
"56","House Energy and Commerce Committee Republicans changed on 9/11: View this change or all changes. http://bit.ly/3V6kLT"
"57","House Energy and Commerce Committee Republicans: Co changed on 9/23: View this change or all changes. http://bit.ly/fYRH8"
"58","Energy and Commerce Committee changed on 09C/23C: View this change or all changes. http://bit.ly/48sWRk"
"59","House Energy and Commerce Committee Republicans changed on 9/17: View this change or all changes. http://bit.ly/16Rbv3"
"60","House Energy and Commerce Committee Republicans changed on 9/16: View this change or all changes. http://bit.ly/Qsp8e"
"61","House Energy and Commerce Committee Republicans changed on 9/15: View this change or all changes. http://bit.ly/WGD4I"
"62","House Energy and Commerce Committee Republicans changed on 09 9 18:20 UTC/9C: View this change or all changes. http://bit.ly/Yp5GG"
"63","House Energy and Commerce Committee Republicans changed on 8/28: View this change or all changes. http://bit.ly/sHy7Q"
"64","House Energy and Commerce Committee Republicans: He changed on 8/28: View this change or all changes. http://bit.ly/eEHzO"
"65","House Energy and Commerce Committee Republicans changed on 08C/11C: View this change or all changes. http://bit.ly/11E4qJ"
"66","House Energy and Commerce Committee Republicans: Fa changed on 8/1: View this change or all changes. http://bit.ly/VTfvR"
"67","Energy and Commerce Committee changed on 08 1 00:32 UTC/1C: View this change or all changes. http://bit.ly/oxQRo"
"68","Energy and Commerce Committee changed on 07C/31C: View this change or all changes. http://bit.ly/4EOdLt"
"69","House Energy and Commerce Committee Republicans: News changed on 07C/31C: View this change or all changes. http://bit.ly/hYu75"
"70","House Energy and Commerce Committee Republicans changed on 07C/24C: View this change or all changes. http://bit.ly/7Swir"
"71","House Energy and Commerce Committee Republicans: News changed on 7/24: View this change or all changes. http://bit.ly/R0fiG"
"72","Energy and Commerce Committee changed on 07C/23C: View this change or all changes. http://bit.ly/s3PFH"
"73","House Energy and Commerce Committee Republicans changed on 07C/23C: View this change or all changes. http://bit.ly/dqQGd"
"74","Energy and Commerce Committee changed on 07C/21C: View this change or all changes. http://bit.ly/A4vJq"
"75","House Energy and Commerce Committee Republicans changed on 7/18: View this change or all changes. http://bit.ly/N4Gpc"
"76","House Energy and Commerce Committee Republicans changed on 7/17: View this change or all changes. http://bit.ly/2O53xx"
"77","House Energy and Commerce Committee Republicans: News changed on 7/17: View this change or all changes. http://bit.ly/at1Sz"
"78","House Energy and Commerce Committee Republicans: Co changed on 7/17: View this change or all changes. http://bit.ly/IlAPx"
"79","House Energy and Commerce Committee Republicans changed on 7/14: View this change or all changes. http://tinyurl.com/nl7mhf"
"80","House Energy and Commerce Committee Republicans changed on 7/11: View this change or all changes. http://tinyurl.com/ktxg88"
"81","House Energy and Commerce Committee Republicans changed on 7/10: View this change or all changes. http://tinyurl.com/lr97c5"
"82","House Energy and Commerce Committee Republicans changed on 07 9 20:16 UTC/9C: View this change or all changes. http://tinyurl.com/njetgs"
"83","House Energy and Commerce Committee Republicans changed on 7/4: View this change or all changes. http://tinyurl.com/kwjlw2"
"84","House Energy and Commerce Committee Republicans: News changed on 07 2 00:46 UTC/2C: View this change or all chan.. http://tinyurl.com/nqeh3r"
"85","House Energy and Commerce Committee Republicans changed on 7/1: View this change or all changes. http://tinyurl.com/m4n4st"
"86","House Energy and Commerce Committee Republicans: News changed on 06C/30C: View this change or all changes. http://tinyurl.com/lt84yf"
"87","House Energy and Commerce Committee Republicans changed on 06C/30C: View this change or all changes. http://tinyurl.com/kl4b4z"
"88","House Energy and Commerce Committee Republicans changed on 6/30: View this change or all changes. http://tinyurl.com/mm6azx"
"89","Energy and Commerce Committee changed on 06C/29C: View this change or all changes. http://tinyurl.com/lo87rv"
"90","House Energy and Commerce Committee Republicans: He changed on 6/27: View this change or all changes. http://tinyurl.com/l28or4"
"91","Fattah speaking out on energy independence. View the video here: http://tinyurl.com/l87aob"
"92","Voting on solar energy bill on floor today, this afternoon's Armed Services hearing was on Afghanistan alternatives, all challenging."
"93","Rules Committee just came back from recess, nearly 3 am, hoping to get the Energy Bill on the floor tomorrow. Short on sleep!!"
"94","Would like to see continued investment in clean energy projects around the country http://bit.ly/ajVCQf"
"95","You can watch the mammogram hearing here: http://energycommerce.house.gov/"
"96","Participating in @earthhour, a world wide effort to save energy by turning off the lights for one hour, at 8:30pm. #earthhour"
"97","Just visited Opel, a solar energy company in Shelton. 25 jobs, clean energy. Many more jobs possible."
"98","So there's 2 sets of facts from way opposite sides of the energy debate showing real BENEFIT to CT households."
"99","CT folks worried about ACES should look at Murray Energy Corp's (they hate ACES) map of US. Shows CT consumers getting $26 million BENEFIT."
"100","People always ask about bipartisanship. Energy bill would have failed but for the courageous votes of 8 Republicans. 44 Dems opposed."
"101","@DTCahill Non-partisan CBO puts energy bill cost at .40/day/family. Or we guzzle Saudi oil and watch new energy jobs in Europe/Asia."
"102","Some excellent clean energy investments were made in the 9th District with Recovery Act dollars. http://fb.me/v9GhADXN"
"103","My questions for BP's CEO, Tony Hayward at yesterday's Energy and Commerce Subcommittee hearing: http://bit.ly/dlm4Rl"
"104","Video of my opening statement at yesterday's Energy and Commerce Subcommittee hearing with BP's CEO, Tony Hayward: http://bit.ly/aNpb6T"
"105","I'll be on Hardball just after 2pm PT to discuss today's hearing with oil executives and the future of #energy policy. Tune in! #p2 Pls RT"
"106","Grist.org posted my piece on Dalai Lama, Sec. Chu, Pres. Obama and our clean energy bill.  Great leaders.  Great hope! (Link in next Tweet.)"
"107","Met w/ Energy Sec. Steven Chu.  He agreed to look at my algae-based biofuels proposal.  What a change from the past eight years."""""
"108","RT @climateprogress: Toomey blames country�s economic woes on clean energy legis. &amp;other bills that weren't passed http://bit.ly/9aw7Xe"
"109","Check out my Op-Ed in the Times Leader on the Energy Bill and Job Growth http://bit.ly/9cNhix #sestak #toomey #p2"
"110","Headed back to Washington after completing this inspiring 67 County Trip. People truly are eager for new ideas &amp; new energy. So much to do."
"111","Supporting jobs and clean energy: http://tinyurl.com/34favt4"
"112","Tomorrow, I'm going to be at Monroe's Ventower Industries to talk about its clean energy stimulus award #ARRA"
"113","Today was a Great day! POTUS gave a super speech today ref Alternative Energy and energy indep. Also, I was right-Air Force1 is a cool ride!"
"114","http://twitpic.com/31pd7z - HI-Discussing Hawaii's renewable energy future with Maui's Hawaiian Commercial &amp; Sugar Co in Kahului"
"115","http://twitpic.com/2kxoke - HI-Touring biofuel system @Cellana. Renewable energy is the key to a sustainable future for Hawaii."
"116","$3.25 Million in Federal Funding for Energy Jobs Training and Development in Hawaii: Congresswoman Mazie K. Hirono... http://bit.ly/c3HG7q"
"117","RT @Energy: How the National Renewable Energy Lab is helping our Islands meet their energy needs? http://go.usa.gov/CYc #NREL"
"118","Capitol Christmas tree (67 ft WY Engelmann spruce) is officially lit(with energy saving LED lights)! http://yfrog.com/mznfm0j"
"119","Just arrived at YWCA for the Hawaii Energy Policy Forum  http://yfrog.com/bh6rrkj"
"120","From Team #afg2010: Neil Abercrombie unveils his Energy Plan http://om.ly/lCaO"
"121","Speaking today at OHA's Hawaiian business conf &amp; economic expo. Govt must be the leader &amp; not the barrier to achieve energy independence."
"122","It's clear we need a 21st century energy policy that uses alternative forms of energy.  http://bit.ly/awXudm #p2 #nh #nhsen #energy #bp"
"123","Does @Ayotte2010 support a national renewable energy standard, which would create jobs in our clean energy industries? http://bit.ly/ck8siD"
"124","In the wake of the Gulf oil spill, we need a 21st century energy policy based on alternative #energy more than ever:  http://bit.ly/b9gu5y"
"125","I applaud the President's moratorium on deepwater oil drilling. #p2 #nh #nhsen #oil #bp #energy"
"126","I'll be at ARC Energy in Nashua tomorrow to unveil my plan to create good-paying middle-class clean energy jobs: http://bit.ly/ch8MPI #nhsen"
"127","Rep. Lujan News: Rep. Luj�n Votes for Energy Independence, Clean Energy Job Creation http://tinyurl.com/o2hl9d"
"128","On CSPAN tonight, talking about energy reform, check it out"
"129","Rep. Lujan Blog: Rep. Lujan Highlights the Importance of Clean Energy Bill on the Floor http://tinyurl.com/qhh85d"
"130","Blog: Rep. Luj�n to Discuss Clean Energy, STEM Education in Speech at SFCC http://bit.ly/cVocPT"
"131","News: Rep. Luj�n Introduces the Community College Energy Training Act of 2009 http://bit.ly/iKGQp"
"132","Just wrapped up a meeting with Mana on environmental and clean energy issues"
"133","New Video: Rep. Lujan discusses wind energy on the House floor: http://tinyurl.com/mdr988"
"134","At a mark-up for a wind energy bill in S&amp;T, offering an amendment to improve wind energy integration into the existing electric grid"
"135","Kicking off a clean energy town hall in Santa Fe"
"136","Rep. Lujan News: Rep. Luj�n to Hold Clean Energy Town Hall in Santa Fe http://tinyurl.com/lbqows"
"137","The President was inspiring tonight.  Education, healthcare, and energy were key tonight, I look forward to working with the President."
"138","BERKLEY VOTES FOR LOANS TO HELP MAKE NEVADA HOMES MORE ENERGY EFFICIENT
 http://ow.ly/2Fugj"
"139","BERKLEY ANNOUNCES $2.1 MILLION FOR NEVADA GEOTHERMAL ENERGY PROJECTS http://ow.ly/2EVuZ"
"140","RT @johnboehner: My op-ed on @TownHallcom: More American #Energy Will Produce Lower Prices, More American #Jobs http://digg.com/d31OeOc"
"141","One way to speed the national energy tax through Congress and onto consumers - hire a speed reader http://tinyurl.com/qka54n #TCOT #redstate"
"142","RT @congressmanGT Cap and Trade is a Jobs Killer: http://tinyurl.com/c5jumf #TCOT #tax #energy @pawatercooler"
"143","Senate Democrats unveiled new and dangerous cap and trade (national  energy tax) bill @gopconference #TCOT http://tinyurl.com/yauwa67"
"144","WSJ finds the target with Cap and Tax Fiction http://tinyurl.com/kssu9j.  Say no to the national energy tax.  #TCOT @GOPConference #SGP #RS"
"145","Must watch video - what exactly is in the national energy tax? http://tinyurl.com/qv3gft #TCOT #right #pawatercooler"
"146","RT @USRepSullivan: Gas prices are rising, yet the Admin wants to keep our offshore energy resources under lock and key. http://ow.ly/3oX ..."
"147","RT @WaysMeansCmte: Our hearing on Energy Tax Incentives Driving the Green Job Economy has begun - http://bit.ly/wU75q"
"148","$200K in Recovery Act funds help Chautauqua families save on energy w/new solar water systems. Article @TheObserverNY: http://bit.ly/beoVcl"
"149","RT @GovNewMedia Everyone welcome Department of @Energy to Twitter! Definite nominee for coolest fed gov't Twitter handle #gov20 #opengov #ff"
"150","Energy development &amp; innovation is happening in WNY; via @TheBuffaloNews: Honeywell's local lab to benefit from grant http://bit.ly/aIOdla"
"151","Announced with the NFTA this morning that 91 new, clean, energy efficient buses will hit the streets of Western New... http://bit.ly/e6zUy"
"152","The House passed the Home Star Energy Retrofit Act today:
http://cardoza.house.gov/index.cfm?sectionid=87&amp;sectiontree=6,87&amp;itemid=427"
"153","RT @S_E_E_C Green congressional coalition lauds approval of key investments in energy technology R&amp;D http://bit.ly/2HQsBG"
"154","Tonight I voted for the clean-energy bill that creates jobs and makes the U.S. the world�s clean-energy leader: http://tinyurl.com/q5vxj5"
"155","Proud my bipartisan bill saving taxpayer $ and energy was signed into law today by @BarackObama @WhiteHouse. Chk it out http://bit.ly/gQL0eT"
"156","Efforts including establishing energy research hubs across the country will help keep America global leader. #competesact"
"157","Met w/ German Chancellor Merkel this morning to discuss clean-energy jobs and Iran.  U.S. must lead the world�s new clean-energy revolution."
"158","At America Future Now!'s radio row discussing auto industry, health care and clean energy policy."
"159","Braley shows clip of Deepwater Horizon Rig widows testifying before Energy &amp; Commerce Committee in Louisiana. (@teambraley)"
"160","I�m down in the Gulf to see the devastation from the BP oil spill. Energy &amp; Commerce hearing about to begin http://bit.ly/d6C68i"
"161","RT @MarcGunther: #GE Immelt on energy innovation: """"If we don't build it, everybody else around the world will."""" http://bit.ly/a232kf"
"162","New DOE report highlights the impact the Recovery Act has had on clean energy in Nevada: http://bit.ly/d8qNiC"
"163","What if we invested $140 billion tax cuts for billionaires to clean technology? Means #manufacturing in buses, energy #p2"
"164","Not in GOP #PledgetoAmerica: investments in #infrastructure, #education, #cleanenergy #p2 #realGOPagenda"
"165","Says @TimRyan Republicans say they will return to Bush policy for taxes, energy policy #p2"
"166","Watch live webcast of Science &amp; Tech Committee markup of Nuclear Energy R &amp; D bill http://bit.ly/STmarkup #p2 #ca10"
"167","In 1978, I authored first in the nation solar energy credit as #California legislature. Let's expand solar manufacturing back to America #p2"
"168","Cash for Caulkers important for homebuilders, homeowners &amp; renters. 93% of GOP voted against jobs, efficiency, energy bill savings #p2"
"169","Video w/ @keithellison Dems fight for American ppl on #energy #health &amp; #economic policy http://bit.ly/cjghouse #p2 #ca10"
"170","Voted for Home Star Energy Retrofit Act: saves homeowners $10b, reduces carbon emissions &amp; creates 170k jobs http://bit.ly/HSjob #p2 #ca10"
"171","Fact check on Medicare: http://docs.house.gov/energycommerce/MEDICARE_ADVANTAGE.pdf #ca10 #p2 #hcr #healthcare #hc"
"172","Defense Review concluded Climate Change is a security threat &amp; we must modernize our energy use. NY Times:  http://bit.ly/c5EDu5 #p2 #ca10"
"173","From SOTU: last yr we made largest investment ever in basic science research. Will lead to clean energy, life saving medicine #p2 #ca10"
"174","Visited  home  weatherizing project in Murray.  Skilled workers getting a paycheck; mom &amp; kids 2 see hundreds in savings on energy bills."
"175","UT home weatherization pgrm will  expand, per DOE. As of June, UT completed 1,700 homes.  Saves $$, energy, created 110 jobs."
"176","Passed Home Star Energy bill today.  Would give rebates to homeowners who improve efficiency. Conserving helps lessen foreign oil demand."
"177","Visiting the Uintah Basin today. Meeting with energy producers, high school students and touring new USU Energy Research Center."
"178","Matheson Floor Statement on today�s vote on the Waxman/Markey Energy Bill
http://matheson.house.gov/press2009/090626.shtml"
"179","In Middletown today for a hearing into the cause of the February Kleen Energy explosion. http://youtu.be/2u1jXUMjRHI"
"180","At STR Solar in Somers. Talking to them about clean energy and the energy industry in eastern CT."
"181","Here's NBC's coverage of yesterday's Kleen Energy field hearing I chaired in Middletown. http://youtu.be/PjFLpVLOGCc"
"182","Energy and Commerce hearing"
