"","x"
"1","RT @RepBrianHiggins: Let�s keep the facts straight @factcheckdotorg dispels chain email myth on #hcr law &amp; tax increases http://bit.ly/c ..."
"2","RT @whitehouse: Closing remarks from Pelosi, Boehner, and Obama. Watch: http://wh.gov/h #hcr"
"3","health care reform reality check -- http://www.whitehouse.gov/realitycheck. Also follow @healthreformnow and @edlabordems for updates. #hcr"
"4","RT @whitehouse: Pfeiffer: """"Reform Begins."""" Learn about the benefits kicking in this year http://bit.ly/anv4ta #hcr"
"5","RT @edlabordems: RT @HHSGov: Got #HCR Q's? Ask them @ 4pm in Q&amp;A w/ Sec Sebelius &amp; @Whitehouse's Nancy-Ann DeParle: http://bit.ly/cfGRRs"
"6","RT @whitehouse: Another photo gallery with record freshness - the bipartisan meeting on #hcr http://bit.ly/bdM1Xd"
"7","heading to KGO AM 810 studio to talk health care reform and the latest from Washington w/ host @ronnowens. #hcr"
"8","Some say #hcr will take away our freedom - the same old argument used to fight Social Security and Medicare - http://go.usa.gov/lSE."
"9","RT @HealthReformNow Rep. Rob Andrews, chair of health subcmte on @edlabordems, is on the House floor speaking in favor of #hcr"
"10","RT @edlabordems Starting at 10am ET @WhiteHouse bipartisan health care meeting can be seen here - http://go.usa.gov/ldW #hcr"
"11","what you should know about health care reform - http://bit.ly/2xmVSZ. #hcr.  Watch the debate LIVE on c-span."
"12","RT @HealthReformNow: How does health care reform benefit you? Try out this new tool: http://go.usa.gov/iJh #hcr"
"13","RT @healthreformnow 5 false claims Republicans will make during floor debate of #hcr today - http://go.usa.gov/ily"
"14","RT @whitehouse Context on last exchange - WaPo: """"CBO found that premiums go down under health-care reform"""" http://bit.ly/7EmpEy #hcr #hcs"
"15","RT @edlabordems -- share your insurance stories - http://go.usa.gov/l3q - #hcr #healthreform"
"16","Now voting on the final set of #hcr votes."
"17","RT @edlabordems Read the News of the Day? http://go.usa.gov/lSV College loan fix fits with health care reform (Miller op-ed) #SAFRA #hcr"
"18","George shares his thoughts on the @whitehouse health care summit during the lunch break. Video -  http://bit.ly/a3EbPL #hcrsummit #hcr #hcs"
"19","Follow @edlabordems for more on today's white house health care summit. #healthcaresummit #hcr #hcs"
"20","RT @edlabordems Learn more about the cost containment provisions and savings in the Pres plan - http://go.usa.gov/ldP #hcr #hcs"
"21","live updates from the @whitehouse are here http://go.usa.gov/ld8 #hcr #hcs"
"22","RT @edlabordems - headed to @whitehouse for more talks on health insurance reform #hcr"
