"","x"
"1","RT @HealthCareGov: Learn about the new rules that help make wellness and prevention services affordable and accessible to you http://bit ..."
"2","RT @HouseDemocrats: President Obama about to sign our healthcare reform legislation into law. Watch as history is made: http://bit.ly/9qJpbQ"
"3","RT @HealthCareGov: For info on ur choices, check out the Young Adults section http://bit.ly/cR9Deu &amp; the options finder http://bit.ly/bK ..."
"4","working on healthcare reform - http://bit.ly/q2nB8. follow @healthreformnow and @edlabordems. #healthcare"
"5","Follow @edlabordems for more on today's white house health care summit. #healthcaresummit #hcr #hcs"
"6","love hearing your ideas for the President on healthcare..received over 200 comments on the blog and twitter. Keep it up! http://ow.ly/DwE"
"7","RT @HealthCareGov: Shining a Light on Health Insurance Rate Increases: new requirement that insurance co's justify high rate hikes http: ..."
"8","Healthcare.gov is live! It is designed to help you take control of your health care. http://fb.me/CpEIsoOD"
"9","Appearing on FOX Bus. @1pm PST to discuss healthcare. http://bit.ly/9LHqsC"
"10","Speaking to Pat Morrison on KPCC re: healthcare @1pm PST http://bit.ly/95ZW8t"
"11","Rangel: Everyone Deserves #Healthcare http://bit.ly/rangelhealthcare Congressman Praises Free Preventive Care Benefits"
"12","#Rangel: New Healthcare Protections Start This Week http://bit.ly/PatientsRights"
"13","A New Day for American Consumers: http://bit.ly/a9y25S via @addthis (New Healthcare Protections take effect)"
"14","Rangel Applauds Passage of 9-11 Healthcare Workers Bill http://bit.ly/Rangel9-11bill"
"15","#Rangel Report: FINALLY! NEW HEALTHCARE PROVISIONS TAKE EFFECT
(9/24)  http://bit.ly/RangelReport9-24"
"16","Just added myself to the http://wefollow.com twitter directory under:  #politics #education #healthcare"
"17","Fattah says procedural chatter is a distraction. Time to vote on healthcare: http://tinyurl.com/yzmfjq6"
"18","Fattah's statement on the healthcare reform bill: http://tinyurl.com/n788j8. The bill itself: http://tinyurl.com/n7nuyl"
"19","Fattah:� I�ll be voting for healthcare and student loans again today.� We'll finish the job."
"20","Fattah prediction: 221 Yea, 210 No. Healthcare will pass."
"21","We WILL pass Healthcare!!!"
"22","Today at 12 Noon, Fattah keynotes a Healthcare Rally at the top of the Art Museum steps with """"Healthcare for America Now!"""""
"23","Fattah: Respect Obama's national mandate, move forward on healthcare: http://tinyurl.com/yzqjnof"
"24","Fattah thanks PA Sens. Casey &amp; Specter for historic healthcare vote: http://tinyurl.com/yeu3ldq"
"25","Fattah: Here's how healthcare benefits you: http://go.usa.gov/iJh #hcr"
"26","I support workers, and I support Gov. Rendell's executive order on home healthcare aides: http://tinyurl.com/2g2eyxu"
"27","Fattah: Time is now for real healthcare reform to begin. http://tinyurl.com/y8bk2ls"
"28","Fattah casts historic vote tonight as Affordable Healthcare Act passes in the House http://tinyurl.com/y9576db"
"29","Fattah speaks with Thera Martin Wed. 9/9 @ 10 am. Healthcare, President's Speech, Legislation, more:  http://900amwurd.com/2008/"
"30","Fattah will appear on Fox with Neil Cavuto today at 4 to discuss Fattah's call to Democrats to move forward on healthcare."
"31","Fattah: Philly's small businesses will win big with healthcare reform: http://tinyurl.com/ylxhdup"
"32","Fattah hosted Healthcare 101 for small businesses. Mayor Nutter was a guest. Read it here: http://tinyurl.com/3a5ol98"
"33","Join me at """"Healthcare 101: The Healthcare Law And Your Business"""" &amp; get valuable info: http://healthcare101.eventbrite.com"
"34","Stood with our president at the signing of the healthcare bill. A proud moment for our country."
"35","Fattah will talk healthcare on Fox News Saturday at 11 a.m. with Neil Cavuto, live from the Newseum in Washington."
"36","Fattah: Student Loan Reform as Part of Healthcare Bill a Historic """"Win-Win"""" 
http://tinyurl.com/yeytwka"
"37","Fattah - March Madness for Healthcare Means Victory for All Americans. Republicans Score Zero: http://tinyurl.com/ykuxohf"
"38","Fattah: 2nd Congressional District will win big with Healthcare. Facts here - http://tinyurl.com/y9l37s6"
"39","Fattah appears this morning with President Obama at Arcadia U., Montgomery County PA, to rally for healthcare."
"40","Fattah will appear with President Obama at Arcadia University Mon. March 8th to promote healthcare."
"41","On Healthcare: Step up or step out of the way: http://tinyurl.com/yk6tovk"
"42","Fattah will appear on """"America Live"""" with Megyn Kelly on Fox News discussing healthcare today at 2:30 p.m."
"43","Fattah responds to Republican attacks on healthcare: http://tinyurl.com/yj7t9jy"
"44","Fattah calls on colleagues to move on healthcare: http://tinyurl.com/yjhyskb"
"45","Fattah: Healthcare mandate came from national election, not Mass. special election: http://tinyurl.com/y86hhoo"
"46","Fattah will be featured on Fox News at 4:30 today discussing healthcare"
"47","Fattah congratulates Senate Democrats on passage of Healthcare Reform Bill. Statement here: http://tinyurl.com/y9qksnv"
"48","Fattah will appear on Fox News Channel with Neil Cavuto at 4:06 EST to talk Healthcare"
"49","Fattah cites cities, metro areas as big winners in Affordable Healthcare Act http://tinyurl.com/yho46hf"
"50","Fattah will vote yes for Affordable Healthcare Act this week. Statement here: http://tinyurl.com/yg3pqja"
"51","Fattah to discuss healthcare on Fox News America's Newsroom, Thurs 10/22 @ 10:12 am"
"52","Fattah joined Speaker Pelosi, Reps Brady, Schwartz, and citizens impacted by inadequate Healthcare: http://tinyurl.com/l44cf7"
"53","Fattah announces $700K Stimulus grant to train Philadelphia healthcare professionals http://tinyurl.com/lu8hap"
"54","Fattah's weekend: Fri. Healthcare Forum in Philly with Unitarian &amp; Lutheran churches, Sun. Bike Philly event with his daughters."
"55","Fattah: """"President Obama is right ... Waiting time is over on healthcare reform."""""
"56","Fattah appears with E. Steven Collins on Philly's 107.9 WRNB FM 8 am Sun, Aug 30 to discuss Ted Kennedy, healthcare, more"
"57","Fattah: Healthcare public option is similar to gov't insurance plans Americans use every day. http://tinyurl.com/m3al2p"
"58","Fattah advocates Washington D.C. """"March For Healthcare"""" in support of reform with a public option. http://tinyurl.com/l5u8yz"
"59","Chaka Fattah will appear on Fox News Channel's """"Happening Now"""" to discuss healthcare and the public opiton at 11:30 a.m. today."
"60","Fattah joins HHS Secretary Sebelius, Healthcare Townhall Mtg, Sun. Aug. 2nd, 3 p.m., Nat'l Constitution Ctr., http://tinyurl.com/lhlydc"
"61","Urban Caucus Chair Fattah urges caucus members to get the job done on healthcare reform. http://tinyurl.com/m7ooz2"
"62","Speaking tonight on the floor of House (and CSPAN) around 8 to 
lead the dialogue about healthcare.  Getting closer to a 
bill every day...."
"63","RT @HealthCareGov: Announced today: New steps to hold insurance companies accountable and halt unreasonable premium increases http://bit ..."
"64","RT @HealthCareGov: Our new online tool allows you to start searching for health coverage directly from your own website or blog http://b ..."
"65","RT @HouseDemocrats: President Obama about to sign our healthcare reform legislation into law. Watch as history is made: http://bit.ly/9qJpbQ"
"66","RT @HealthCareGov 1:10p today: How the Early Retiree Reinsurance Program will benefit early retirees &amp; employers http://healthcare.gov/live"
"67","RT @HealthCareGov: A new coverage decision makes it easier to quit smoking http://bit.ly/duXMlh"
"68","praising another example of how the Affordable Health Care Act is improving the quality of health care http://go.usa.gov/111 #healthcare"
"69","RT @HealthCareGov Join us today @ 5:20pm ET for a webchat on #hc benefits avail to those w/ behavioral health disorders: healthcare.gov/live"
"70","RT @HealthCare.gov Learn what the Affordable Care Act means for people living with HIV or AIDS http://bit.ly/9t2V5T"
"71","RT @HealthCareGov Check out our latest blog on protecting Medicare benefits and offering clear choices for seniors http://bit.ly/bGVDRx"
"72","RT @HealthCareGov: Check out our Prevention page where you can use the Health Finder tool &amp; learn important tips on staying healthy http ..."
"73","RT @HealthCareGov: Nurses speak out in a roundtable discussion about the benefits of the new Affordable Care Act http://bit.ly/b4l3Oo"
"74","RT @HealthCareGov: Check out our interactive tool that allows you to compare quality of care at different hospitals around the country h ..."
"75","Drafting America's 1st healthcare plan that covers all Americans. Big step to coverage for 300 mill. Details here: http://tinyurl.com/l88f4a"
"76","Will be On The Record w/Michael Aron this wknd.Talking healthcare w/BlueCross CEO Bill Marino. Tune into NJN Sun at 9&amp;11 am or Mon at 6:30am"
"77","Very disappointed Senate R's killed 9/11 bill providing permanent healthcare $ to 1st responders. Fight to pass this important bill goes on."
"78","Spoke at Progressive Democrats of America conference in east brunswick. Urged them to continue fight for healthcare reform."
"79","More healthcare reform benefits kick in Jan. 1. Republican efforts to repeal would eliminate much-needed help for middle class."
"80","Good turnout for Candidates Forum w/ Sephardic Community in Long Branch. Israel, Healthcare  Economic Policy were discussed."
"81","If you haven't already, check out Healthcare.gov to find out about new provisions starting to take effect."
"82","Spoke at Citizen Action Healthcare Reform Implementation Conf. , New Brunswick. Anti-discrimin measures are first to take effect this Sept."
"83","Labor Advisory Committee Mtg at Rutgers Labor Education Center. Focus on jobs, pensions &amp; healthcare. Great turnout."
"84","Women's Event for my campaign last night in New Brunswick. Mentioned Healthcare Reform eliminates gender discrimination."
"85","Spoke at Plainfield Dems mtg about economy, healthcare. Engaged group led by Asm. Jerry Green and Mayor Robinson-Briggs."
"86","Young adults can be on parents' insurance until age 26 - spread the word and do not miss out http://preview.tinyurl.com/383kkh5 #Healthcare"
"87","I am hosting a Healthcare Town Hall on August 25th at York College Performing Arts Center at 7:00 pm."
"88","I will be appearing on MSNBC at 6:48 pm tonight to discuss healthcare and the economy."
"89","I will be appearing on MSNBC tonight at 6:00 pm to discuss healthcare with Ed Schultz."
"90","http://twitpic.com/1dwbpm - Spoke at the groundbreaking at Scottsdale Healthcare for the Military Training Simulation Center"
"91","USA Today/Gallup poll shows that Americans support healthcare reform by a margin of +9%. http://bit.ly/cWsr7x"
"92","New healthcare bill online now. I'll be reading it til asleep tonight. Take a look at http://bit.ly/gy2Bs"
"93","Doing some late night work/reading on healthcare. Hugely challenging policy. Unclear where it's going this week, but lots lots of discussion"
"94","A public option, though, is just part of the extremely difficult project of taking the explosive cost growth out of the healthcare system."
"95","Where I stand on healthcare: http://bit.ly/4jO8aJ"
"96","Real carnival atmosphere down here around healthcare. Pro and Con tribes gathering w/flags, chants, visits. Suspect will play host to both!"
"97","Many wondered how healthcare reform would help them. Today there are some really important improvements to insurance: http://tiny.cc/hc2day"
"98","Just back from the White House. President said he's listening on healthcare, and that we're at start of process. Much work to do."
"99","Hurtling on gleaming rails back to DC. Big week on financial regulatory reform. Hopefully constructive healthcare work in the """"other body""""."
"100","Tweet from Seat (TM): Mr King has numbers on how many times POTUS interrupted Dems and Repubs at today's healthcare summit. Cool."
"101","Want to learn more about what health care options are available as a result of reform? Take your h/c into your own hands at Healthcare.gov"
"102","Home after 1200 person healthcare town hall in Norwalk. Vigorous, to say the least. Lots of opinions. Some loud. Much better than apathy."
"103","Just finished really good impromptu town hall mtg in Stamford. Mostly healthcare.
Strong opinions, lively debate. Democracy alive/well."
"104","Listening to Doug Elmendorf, who caused the quake last week. Smart on how to reduce costs in healthcare."
"105","Couple of hours set aside tonight to read the healthcare bill just introduced."
"106","Rebuilt dock. Town Hall meeting with Ned Lamont in Ridgefield. All healthcare. Cooking daughters pasta with spicy sausage."
"107","Training home from MD New Dem policy conference. 36 hrs R&amp;R then back to healthcare, energy, jobs, H1N1"
"108","@jillosophy I am adamant for healthcare reform. It's crucial to our people and our economy. But, doing it right is more important than fast."
"109","@freon500 Pres is hammered for """"rushing healthcare"""" but nailed for taking time on Afghanistan. Will now drop hardware analogies."
"110","HHS just launched http://www.healthcare.gov/  -- a fantastic resource to help you find insurance options, understand the new law, etc."
"111","Everyone get out and call your Reps to support healthcare reform. The stakes are too high. http://bit.ly/dqxqhs"
"112","RT @congressblog: The Hill Still looking for leadership on healthcare (Rep. Joe Sestak) http://bit.ly/sRiWm"
"113","About to go live on MSNBC. Tune In! Proud to deliver true #HealthCare reform. #sestak #hcr #p2"
