"","x"
"1","RT @whitehouse: President Obama to Senate Republicans on jobs bills: """"Drop the blockade"""" http://is.gd/eLRck"
"2","$1.2 billion to fund 16,500 California teacher jobs approved by the 
U.S. Department of Education as part of the... http://fb.me/HXQyZfyI"
"3","RT @Newsweek: Estimates Say Fewer Jobs, Larger Deficits if Republicans Were in Charge http://bit.ly/dvDyrv"
"4","This morning - was on MSNBC to talk about Speaker Pelosi's leadership, Democratic efforts to save jobs, GOP... http://fb.me/MqNGZnRC"
"5","RT @SpeakerPelosi: I will be calling the House back into session early next week to save teachers' jobs and help seniors &amp; children #FMAP"
"6","To Obama's critics, facts can be unpleasant. FACT: New report says up to 3.6 million Americans have jobs thanks to... http://fb.me/JkJSkmEy"
"7","New Report: CBO credits Recovery Act for up to 2.8 million jobs - http://go.usa.gov/3Tc #jobs"
"8","BREAKING - unemployment rate reported at 9.7% for April. Clearly, more needs to be done to create jobs and get... http://bit.ly/9UbTGH"
"9","Important provisions for families in #tax bill but tragically held hostage by #GOP - giving away billions to Walmart heirs won't create jobs"
"10","This morning - wason MSNBC to talk about Speaker Pelosi's leadership, Democratic efforts to save jobs, GOP... http://fb.me/NFJhdVoZ"
"11","New Report: CBO credits Recovery Act for up to 2.8 million jobs - http://go.usa.gov/3Tc http://bit.ly/9i3rG6"
"12","The goal of scrapping ships at Mare Island and creating jobs in Vallejo that come with such a venture has finally... http://fb.me/MXhfNNZZ"
"13","In today's USA Today, a joint Miller/Obey op-ed about teacher jobs. This is an emergency. http://bit.ly/deO00f.... http://bit.ly/9Po53S"
"14","This week, as we celebrated National Teacher Day, the New York Times said my Local Jobs for America Act """"could both... http://bit.ly/d1gXTF"
"15","RT @edlabordems - There's an Act for That - http://go.usa.gov/lPr - [spoof VIDEO] #recovery #ARRA #jobs"
"16","RT @edlabordems - just left the @HouseDemocrats job summit with more ideas to help create middle class #jobs."
"17","RT @LeaderHoyer: #GOP releases *new* agenda. But what�s new about them helping big business sending jobs overseas? http://bit.ly/d5tVRi  ..."
"18","RT @WaysMeansCmte: Chairman Levin's op-ed on creating green jobs and technologies from today's @thehill - http://bit.ly/b22368"
"19","Blumenauer on way to cut deficit, create jobs. Online gambling? http://blumenauer.house.gov/index.php?option=content&amp;task=view&amp;id=1630"
"20","Appearing on Cavuto @4:45pm EST to discuss the stimulus and jobs. http://bit.ly/148KC9"
"21","pretaping an interview on CNBC's Kudlow Report to talk about jobs."
"22","Preparing to speak on the The Dennis Miller Show re: Jobs Bill http://bit.ly/96zrHw"
"23","#Rangel: House Passes Legislation To Hold China Accountable And Keep US Jobs At Home http://bit.ly/Rangel9-29"
"24","RT @WhiteHouse_Blog: White House White Board: CEA Chair Austan Goolsbee Explains the Jobs Trends: 
	In the second edition of White Hous. ..."
"25","#Rangel Hails Enactment of $26 Billion Jobs Bill http://bit.ly/jobsbillrangel 542 teacher jobs saved in Upper Manhattan district"
"26","RT @SpeakerPelosi: I will be calling the House back into session early next week to save teachers' jobs and help seniors &amp; children #FMAP"
"27","#Rangel Lauds President Obama For Signing Jobs Creation Bill Into Law http://bit.ly/Rangel9-27"
"28","RT @SpeakerPelosi: Tax cuts for wealthiest few adding $700B to debt?GOP says yes. Bill saving teacher jobs cutting deficit $1.4B?GOP say ..."
"29","Employers Granted Tax Exemptions For NY's New Hires:Rangel-led Initiative Spurs Nearly 470,000 New Jobs  http://bit.ly/Rangel1014"
"30","President Obama signed legislation that would extend benefits for so many unemployed workers and ease their pain while seeking jobs"
"31","Senate vote on Small Business Jobs Creation Act shows Democrats look out for small business: http://tinyurl.com/2e9cmpa"
"32","Urban Caucus Chair Fattah calls Obama jobs plan bold, wise, and a win for cities: http://tinyurl.com/yjo5ddn"
"33","Fattah voted yes on legislation to create clean energy jobs, fight global warming and provide U.S. energy security. Full statement to come."
"34","On the floor managing the rule to begin debate on a variety of important issues from jobs to troop pay increases..."
"35","The President focused on jobs and the economy, support for small businesses and reminded us of the costs of our broken health care system!"
"36","Spent yesterday with EPA Admin.Curt Spaulding.  Toured Biddeford mill to see successful Brownfields cleanup and how jobs can be created."
"37","There was also a polar bear withal sign for """"Clean American Power."""" These are jobs that can't be sent offshore.  http://yfrog.com/4jx27j"
"38","Another day in Portland, just spoke at interesting event on Green Energy jobs. Maine has great potential for solar, wind, wood and more!"
"39","Headed to White House bill signing for national service program.....we added amendment on rural jobs...riding on bus with other members..."
"40","Great lunch today with LCV, legislation on climate change moving forward...good for Maine renewable energy jobs!  http://twitpic.com/3hs3l"
"41","It's all good news for BIW this week, administration is recommending more ships recognizing their high quality work. Good Maine union jobs!"
"42","Spoke at 20th anniversary of Women Unlimited..Dale McCormick founded..better jobs for women in trades and const... http://twitpic.com/2jh9s"
"43","JOAN Benoit here promoting green jobs, renewal energy &amp; passing bill now on global warming - so important for Maine http://twitpic.com/20fcs"
"44","@Citizensnews Our tax dollars should not go to subsidize big corporations who aren't creating jobs and who paying big bonuses..we need jobs"
"45","@Maineman1 Thanks for your thoughts, Earmarks never look as """"bad"""" when they are for a project that creates jobs in our home state....."
"46","One week to go! I need YOUR help to spread our message of education, opportunity, and middle-class jobs. NEW AD: http://youtu.be/4WDPqJvBC44"
"47","RT @RecoveryDotGov: Search for recovery-related jobs in your area &amp; around the country. Just enter a job type and location: http://bit.l ..."
"48","RT @SBAgov: President Obama Signs Small Business Jobs Act - Learn What's In It http://ow.ly/2KLCf @whitehouse"
"49","The President signed the Small Business Jobs Bill today!"
"50","The House is taking up the Home Star Jobs Bill which will create jobs and provide incentives to green your home!"
"51","we are considering H.R. 4849 the Small Business and Infrastructure Jobs Tax Act today."
"52","RT @LeaderHoyer: Good recovery news: our economy created 290,000 jobs in April, the most in 4 years and 4th straight month of growth htt ..."
"53","RT @HouseDemocrats: Next week @HouseDemocrats return to the Capitol to continue work on creating U.S. jobs, priority #1,2,&amp;3 #MadeInAmerica"
"54","RT @HouseDemocrats: RT @RecoveryDotGov Looking for work? Enter a job type &amp; location - see what recovery jobs are available in your area ..."
"55","Exhibit A in GOP obstruction: Senator Bunning is blocking a jobs bill that will put people to work now - job seekers can't afford to wait."
"56","COPS grant will keep police on the beat a top priority even in this economy. Appeared in New Brunswick w/Mayor, money funds 7 cop jobs."
"57","In the week since the Small Business Jobs Act has been signed, nearly 2,000 small biz loans have been approved already http://bit.ly/b8mQwD"
"58","Positive news w/ employers creating 162,000 new jobs in March. Sign of progress toward economic recovery."
"59","Evidence that the Recovery Act is creating jobs in New Jersey http://bit.ly/cGAXUk  Bill was signed one year ago which I supported."
"60","New @CNN poll finds 60% of American public favors Dems' jobs bill. http://bit.ly/d12DZP #jobs"
"61","Headed to DC - voting tomorrow to provide $399 mill. in Medicaid assistance #fmap to states &amp; $268 mill to help save 3900 NJ teachers' jobs."
"62","Returning Congress in Nov must extend unemployment benefits. Many Americas cannot find jobs and need the benefits until the economy improves"
"63","Spoke to CWA State meeting in Trenton about Democratic proactive agenda that uses govt to create jobs &amp; invest in America."
"64","$2.4 m going to New Brunswick &amp; Neptune for police jobs. A strong police force is important for preventing crime, promoting economic growth."
"65","Jobs are our #1 priority. House approves Jobs Act today, with tax breaks for business; bonds to rebuild schools, hospitals &amp; transit."
"66","Voted for Home Star bill  - will lower homeowner's utility bills and create jobs in manufacturing sector to produce Made-in-America goods."
"67","Hope NJ Governor allocates $268 m approved by House today to save NJ teacher jobs. Schools &amp; students need this funding."
"68","House acts to combat unfair trade practices by China. Currency Reform Act is part of Dems' Make It In America plan that will create jobs."
"69","Both Senate &amp; House have passed Small Business Jobs Act to help over 700k NJ small businesses get needed business loans http://bit.ly/bP9zYo"
"70","Senate got cloture vote on small business jobs &amp; investment bill - meaning GOP logjam gets broken. Will help small businesses create jobs."
"71","I'mlooking forward to the President's speech tonite  His focus on jobs and the economy are what we want to hear."
"72","Meet 'n Greet at Village Point Condos, Talmadge Rd in Edison. Discussed Small Bus Jobs Act, which provides loans through community banks."
"73","Boehner continues to support tax breaks for businesses that ship jobs overseas - good thing for the Dem bill that closes this GOP loophole."
"74","New Bruns. resident suggests: Tax incentives 2 install solar panels create jobs. Need tax incentives so panels R US made 2 create more jobs."
"75","Visited Calvary Baptist Church &amp; Ruth Fellowship Church,Plainfield. Explained make it in America agenda to create jobs &amp; invest in the USA."
"76","At Brookdale w/ Rush Holt to promote NJ Tech Center which will harness Ft. Monmouth talent for local jobs in communications  technology."
"77","Like President Obama's call today to accelerate a 6 yr transportation program that would create middle class jobs. http://twe.ly/_8i"
