"","x"
"1","RT @whitehouse: A Big Deal: Obama signs Wall St Reform at 11:30, watch a special animated video to understand the bigness http://bit.ly/ ..."
"2","RT @edlabordems: President Obama is correct. The CBO says premiums will go down - http://bit.ly/9wo2WF"
"3","RT @whitehouse: Closing remarks from Pelosi, Boehner, and Obama. Watch: http://wh.gov/h #hcr"
"4","RT @HouseDemocrats: President Obama about to sign our healthcare reform legislation into law. Watch as history is made: http://bit.ly/9qJpbQ"
"5","Pres Obama just called out Senate Republicans for blocking small biz lending, tax credit bill�let�s keep creating... http://fb.me/EY8IZyQ1"
"6","RT @whitehouse: President Obama to Senate Republicans on jobs bills: """"Drop the blockade"""" http://is.gd/eLRck"
"7","To Obama's critics, facts can be unpleasant. FACT: New report says up to 3.6 million Americans have jobs thanks to... http://fb.me/JkJSkmEy"
"8","President Obama is absolutely right - we cannot afford to wait any longer to invest in new energy technologies;... http://bit.ly/bpVcxM"
"9","I am not happy at all with the deal between President Obama and Congressional Republicans to provide new tax... http://fb.me/NRKI8nGC"
"10","Did you watch President Obama's speech? Good news that our troops are being moved out of Iraq, but still need to end the war in Afghanistan."
"11","heading to @whitehouse later today to discuss childhood obesity and nutrition with First Lady Michelle Obama and leaders."
"12","President Obama just signed the tax bill into law - there are many good things in the bill for middle income... http://fb.me/QaHKqAvk"
"13","President Obama just announced great consumer advocate Elizabeth Warren will start up the new consumer financial... http://fb.me/v5xVg6Gv"
"14","Today - President Obama's blueprint to revise ESEA/NCLB is online:... http://bit.ly/9AvreX"
"15","Back from the WH - hear more about the meeting with Michelle Obama: http://www.youtube.com/watch?v=-hZhqTnHMTI http://bit.ly/bkv2mW"
"16","@whitehouse to discuss childhood obesity and nutrition with First Lady Michelle Obama, cab secretaries and group of bipartisan lawmakers."
"17","Obama Presents Vision of Stronger America in SOTU http://bit.ly/dBZOwc"
"18","w/ Cong  leaders, Pres Obama @ White House for 5+hrs, still going. Pressing #hcr affordability, accountability and accessibility. Stay tuned"
"19","RT @whitehouse: On tap: Obama still in the Gulf, briefings/ remarks. 8:00PM EDT gives first Oval Office address on BP #oilspill"
"20","RT @edlabordems: Read about Chairman Miller's (@askgeorge) trip to @whitehouse to meet with Michelle Obama about childhood obesity - htt ..."
"21","Yesterday President Obama signed my bill naming the FBI building in MS after James Chaney, Andrew Goodman, Michael Schwerner and Roy K Moore"
"22","Blumenauer Statement on President Obama's Tax Proposal http://bit.ly/fZGxpp"
"23","RT @repblumenauer: Hope Obama fires McChrystal and reexamines troubled Afghanistan strategy."
"24","Looking forward to Pres. Obama's State of the Union Address http://bit.ly/cK21Mp"
"25","Returning to Foreign Affairs cmte hearing w/Secs Clinton &amp; Gates and Adm Mullen to discuss Obama's Afghanistan plan http://bit.ly/7i6e2y"
"26","Speaking to Frank Mottek @ 1:15pm PST about Pres. Obama's speech to Wall Street"
"27","Will be on CNN@7:40pm EST to discuss President Obama's meeting w/top bankers. http://bit.ly/5cogPJ"
"28","Speaking to Frank Mottek previewing Pres. Obama's speech http://bit.ly/af2VmF"
"29","Preparing to speak @Fin.Serv. Hearing Re:Regulatory Perspectives on the Obama Administration's Financial Regulatory Reform Proposals"
"30","Going to the White House to talk with Pres. Obama to discuss Middle East issues http://bit.ly/caU20z"
"31","On FOX News @2pm est re: Obama's Afghanistan plan &amp; Testimonites of Secs Clinton &amp; Gates and Adm Mullen http://bit.ly/596e1p"
"32","Returning to Financial Serv. Hearing Re:Regulatory Perspectives on the Obama Administration's Financial Regulatory Reform for questioning"
