"","x"
"1","RT @RepBrianHiggins: Let�s keep the facts straight @factcheckdotorg dispels chain email myth on #hcr law &amp; tax increases http://bit.ly/c ..."
"2","Pres Obama just called out Senate Republicans for blocking small biz lending, tax credit bill�let�s keep creating... http://fb.me/EY8IZyQ1"
"3","Speaking on the House floor now about the #tax bill - tune into CSPAN."
"4","I am not happy at all with the deal between President Obama and Congressional Republicans to provide new tax... http://fb.me/NRKI8nGC"
"5","RT @housedemocrats 8 tax cuts Congress passed over last 18 months to support small businesses http://bit.ly/doJ9L0 (via @RepJohnLarson)"
"6","BREAKING -- House Democrats just decided at our caucus meeting - we won't have a vote on the tax compromise until the package is improved."
"7","Important provisions for families in #tax bill but tragically held hostage by #GOP - giving away billions to Walmart heirs won't create jobs"
"8","$$$ added to the deficit from #tax bill will come out of the programs, like education, used to support our middle class families."
"9","I'm against more tax cuts for big bankers and CEOs who drove us into a recession and spent this year laying off... http://fb.me/MedoXYCF"
"10","This is outrageous--not only did Senate Republicans just filibuster our tax cuts for the middle class, they also... http://fb.me/FmsAYC7H"
"11","RT @SpeakerPelosi: 110 Million: # of middle class families &amp; sm businesses that will see tax hikes under GOP plan unveiled today #realGO ..."
"12","Re #tax bill - It�s like #GOP thinks the wealthy don�t have enough money and struggling middle class families have too much."
"13","President Obama just signed the tax bill into law - there are many good things in the bill for middle income... http://fb.me/QaHKqAvk"
"14","TAX DEBATE UPDATE: House Dems still fighting tonight to make the tax cut deal fairer for middle class families.... http://fb.me/LVYRmTj7"
"15","Heading to the House floor to discuss the tax cut legislation."
"16","RT @LeaderHoyer: Since health reform became law, small biz are taking advantage of tax credits making insurance for their employees more ..."
"17","That's 60 days Ganley hasn't explained if he supports holding middle class tax cuts hostage to give tax breaks to millionaires like him"
"18","just finished an interview with @FOX44NEWS about last night's passage of tax cuts for the middle-class."
"19","The tax cut compromise may not have what everyone wants, but that's why they call it a compromise http://tinyurl.com/33x9jg9"
"20","Washington Post on administration and Blumenauer efforts to make polluters - not taxpayers - pay for cleanup http://tinyurl.com/364wafe"
"21","Blumenauer Statement on President Obama's Tax Proposal http://bit.ly/fZGxpp"
"22","Blumenauer Statement on the Passage of the Middle Class Tax Relief Act of 2010  http://bit.ly/fJQ1rW"
"23","Inquiry Uncovers More Than 120 Military Contracts with Taxpayer Liability Exposure, A Victory For Transparency http://bit.ly/hA7zja"
"24","Could you be missing your tax refund? http://bit.ly/avtEIN"
"25","$30 billion in tax loopholes for Big Oil over next ten years? Blumenauer thinks not: http://tinyurl.com/39fml42"
"26","Blumenauer on EPA issuing letter of support to Hill for reinstating Superfund """"polluter pays"""" tax http://tinyurl.com/2wcefub"
"27","will be on FOX with Neil Cavuto at 4:04 p.m. ET and FOX Business at 4:15 p.m. to weigh in on the ongoing tax debate."
"28","is scheduled to be on MSNBC's Hardball with Chris Matthews to discuss tax legislation. The interview airs live... http://fb.me/INN59Ln9"
"29","spoke on the House floor minutes ago, outlining his position on the tax package being considered by Congress.... http://fb.me/vBFYRrMH"
"30","appeared on MSNBC's Andrea Mitchell Reports today to discuss the tax legislation approved by the Congress... http://fb.me/zI7yInKr"
"31","Speaking to Cavuto @4pm EST re: War Surtax Act http://bit.ly/6fwXIn"
"32","Highlighting the issue of undelivered tax refunds, http://tinyurl.com/czott5"
"33","Pres Obama signs Wall Street Bill into Law http://cspan.org Taxpayers will no longer pay the price for Wall Street�s irresponsibility"
"34","RT @SpeakerPelosi: Tax cuts for wealthiest few adding $700B to debt?GOP says yes. Bill saving teacher jobs cutting deficit $1.4B?GOP say ..."
"35","Do you support Obama &amp; his tax plan? Let me know here: http://tinyurl.com/cwcm7d"
"36","Charlie Rangel Talks Tax Cuts: http://soc.li/W7QW9ue"
"37","White House White Board: CEA Chair Austan Goolsbee Explains the Tax Cut Fight http://t.co/eHwllFe via @AddThis"
"38","Charlie Rangel Interview on FOX Business FREEDOM WATCH w/ Judge Napolitano: On Censure, Tax Cuts: http://soc.li/GFzqOPE"
"39","RANGEL: House Passes Tax Relief Bill http://bit.ly/RangelTAXRelief"
"40","Employers Granted Tax Exemptions For NY's New Hires:Rangel-led Initiative Spurs Nearly 470,000 New Jobs  http://bit.ly/Rangel1014"
"41","Dem party insiders are serious about tax reform and are open to Debt Free America Bill http://tinyurl.com/y5exgyq"
"42","Fattah is reading Washington Post analysis citing historical tax cuts, high Congressional productivity: http://tinyurl.com/ybp4kh3"
"43","My student aid tax credits will be extended 2 years under Pres. Obama's tax cut plan: http://tinyurl.com/27qfmbk"
"44","Got college expenses? Fattah's brainchild, the American Opportunity Tax Credit, can help: http://tinyurl.com/ycg76sr"
"45","Politico's story on my support of the president's unemployment and tax plan. Read here: http://tinyurl.com/2926t47"
"46","I'll be on Hardball on MSNBC tonight at 5 p.m. discussing the tax bill. Tune in!"
"47","I support Pres. Obama's plan to extend unemployment benefits and maintain tax cuts. Read on: http://tinyurl.com/25mp4yx"
"48","I spoke on middle class tax cuts on the House floor. View it here: http://www.youtube.com/watch?v=mLraWe3qzQw"
"49","I was on C-SPAN's Washington Journal discussing extending tax cuts. Read the details here: http://tinyurl.com/2fzdcwy"
"50","I'm on C-SPAN now talking black male achievement, college tax credits, and cutting the nat'l debt."
"51","I'll be on C-SPAN's Morning Journal 7:45 Tues., talking black male achievement, college tax credits, and cutting the nat'l debt."
"52","The Hill covers my push to make the American Opportunity Tax Credit permanent. Read it here: http://tinyurl.com/32ottld"
"53","I'm introducing legislation to make tax credits for students and their families permanent: http://tinyurl.com/22llxrg"
"54","Dem party insiders are serious about tax reform and are open to Debt Free America bill: http://tinyurl.com/y7aalew"
"55","Fattah's bill would erase national debt &amp; eliminate April 15 as personal income tax day: http://tinyurl.com/y3m7cp9"
"56","Fattah: Now is the time to claim your higher education tax credit - http://tinyurl.com/ykp7g3f"
"57","Six weeks left to claim Education Tax Credit: http://tinyurl.com/yznng8a"
"58","Listening to the VP make the case for the House tax cut deal.  I'm still opposed."
"59","Heading to manage the Rule for middle class tax cuts on the House Floor shortly, we need to move forward on those, not for the very rich."
"60","House passed bill to extend tax cuts for middle class, vote was 234 to 188!"
"61","In Rules Committee working on tax cuts for middle class, will be on House floor tomorrow."
"62",".@repmikehonda Liked your oped on BP today. Did you hear Boehner said taxpayers should help pay for cleanup? http://huff.to/bERSmd #oilspill"
"63","Here's hoping the Maine legislature (and Hannah!) is wrapping up. From marriage equity to tax reform, they have done some great work!"
"64","@Citizensnews Our tax dollars should not go to subsidize big corporations who aren't creating jobs and who paying big bonuses..we need jobs"
"65","@Citizensnews Agree - I oppose tax breaks to Hedge funds and believe that we might get some change this year, we need the revenue"
"66","I understand why my GOP friends are still sensitive about evoking our former president, but if you get """"Obamacare,"""" I get """"Bush tax cuts"""""
"67","Ultra-rich don't need tax loopholes and handouts. They should be giving to charity, not getting it: http://bit.ly/bcT8X2 #pdx #OR #dems #p2"
"68","@SpeakerPelosi knows where I stand on extending tax cuts for the very wealthy: http://bit.ly/bUauw1 Gut-check time for my fellow Dems."
"69","RT @HouseDemocrats: How much $$$ will you save on your taxes thanks to new tax credits available from the Recovery Act? http://bit.ly/bMVzej"
"70","It also gives an increase in the tax deduction for start-up expenditures to encourage the formation of new small businesses"
"71","we are considering H.R. 4849 the Small Business and Infrastructure Jobs Tax Act today."
"72","Congress gave one of the largest tax cuts ever through the Recovery Act. Many will receive a bigger refund this year http://bit.ly/biq0rQ"
"73","USA Today study says Americans are paying the lowest level of taxes since 1950. Tax cuts &amp; tax credits are helping working people."
"74","Tax credit making health insurance more affordable 4 small businesses now effective. Covers up to 35% sm bus spend on premiums from 2010-13."
"75","Star-Ledger editorial details middle class tax cut that was part of Dems stimulus last year. http://bit.ly/cwhDYU"
"76","Fear that Debt Commission will transfer tax burden from corporations &amp; wealthy Americans to the middle class is real. http://nyti.ms/bofvnv"
"77","Wall St gave out $1.6 bill in bonuses - some banks haven't paid back bailout funds. #WallStReform bans bailouts &amp; misuse of taxpayer money."
"78","Ryan-Rivlin proposal makes Medicare a voucher program. It's not a new idea, it's anti-senior &amp; would cost taxpayers more $, not save it."
"79","Krugman crticzs new Repub pay go rules.http://tinyurl.com/2fjn2rn
Spndng incrses 4the poor,4 exmpl,cant come from elmnation of tax loopholes"
"80","Today is Tax Day. We all hate taxes but Congress's tax cuts are helping - http://bit.ly/bQsxW6"
"81","GOP primary revealed Chris Christie's true right-wing colors. Anti-choice, tax breaks for the super-wealthy &amp; opposes new gun safety laws."
"82","Sorry to see that Senate Republicans would block middle-class tax relief, espsince House GOP Leader Boehner indicated the opposite earlier."
"83","Jobs are our #1 priority. House approves Jobs Act today, with tax breaks for business; bonds to rebuild schools, hospitals &amp; transit."
