"","x"
"1","UPDATE on DADT REPEAL--Good News, Rep. Patrick Murphy's new bill to repeal DADT will be voted on by the House... http://fb.me/JZRlsKCB"
"2","Today, House Republicans voted down the COMPETES Reauthorization Act 
that would invest in science, technology, and... http://bit.ly/alnCkJ"
"3","The Senate just voted to end discriminatory """"don't ask, don't tell"""" policy! But Senate GOP continues to obstruct... http://fb.me/Pvfevisx"
"4","Just voted to give subpoena power to the commission investigating BP Deepwater Horizon Oil Spill � so they can�t... http://fb.me/uBEANoIl"
"5","BREAKING -- House Democrats just decided at our caucus meeting - we won't have a vote on the tax compromise until the package is improved."
"6","About to vote to make sure oil company money is available to fund federal response to the Gulf oil disaster. 

The... http://bit.ly/dm4mPU"
"7","Today the Senate finally voted for a major small business lending bill that will help small businesses in our... http://fb.me/JnDrrn9d"
"8","Just voted against more funding for Afghan war�the longest one in U.S. history. Time to bring our troops home safely and invest in America."
"9","Congress just voted to recognize the exemplary service and sacrifice of Team Travis - the 60th and 349th AMW, the... http://fb.me/NKjNmFND"
"10","WATCH LATER TONIGHT � Joining Rep. Barbara Lee to vote against additional funds for Afghanistan war, except for... http://fb.me/x2taHiGs"
"11","Today the House will vote on #WSR bill, putting main street before wall street w/ unprecedented consumer protections."
"12","Now voting on the final set of #hcr votes."
"13","The House votes today on statuary """"pay-as-you-go"""" (PAYGO) legislation - http://go.usa.gov/l5b http://bit.ly/cR9ncp"
"14","Interview with KCBS immediately following historic health reform vote - http://bit.ly/1VANqm."
"15","Starting series of votes on the Affordable Health Care for America Act HR 3962. Our plan will give all Americans access to quality care #hcr"
"16","RT @HealthReformNow: House taking second #hcr procedural vote of the day now"
"17","RT @edlabordems: HR 4247 passes the committee 34-10. The webpage - http://go.usa.gov/l9w - will be updated with roll call votes later today."
"18","RT @HealthReformNow: Vote to proceed has passed. Now will begin 1 hour (30 min/side) of debate on the rule governing debate on the #hcr  ..."
"19","RT @HealthReformNow: Current vote is NOT health reform related. It is for HRes 900 - Supporting the goals and ideals of a Cold War Veter ..."
"20","RT @LeaderHoyer: House is about to vote on #WallStreetReform. I'm sending out #FactCheck alerts fighting #GOP falsehoods http://go.usa.g ..."
"21","@zether sure...heading to vote now"
"22","Join us this weekend as we talk to voters across Northeast Ohio! Visit our Facebook for a full list of canvass events http://bit.ly/bPNdkG"
"23","It was great spending the Fourth of July in Lorain. I love meeting voters!"
"24","Heading back to the Floor as we prepare for the final votes of the day."
"25","Will vote on the health care reconciliation bill this evening. http://bit.ly/a9tH08"
"26","voted for the conference report of the Wall Street reform bill, which passed the House 237 - 192 last night."
"27","In Financial Serv Cmte Markup, preparing to vote on amendments and adoption of the Investor Protection Act. http://bit.ly/1NO0z7"
"28","On my way to Financial Serv Cmte markup for a series of votes on OTC Derivatives. http://bit.ly/1as6QY"
"29","I will be on @glennbeck w/ @ericbolling at 2:30pm PT, votes permitting, to discuss economic issues."
"30","Rangel: YOUR RIGHT TO VOTE http://bit.ly/RangelVote"
"31","To vote is power - The Hill's Congress Blog http://t.co/xe8csjo via @AddThis"
"32","#Rangel Gets """"A"""" Grade For Votes On Veterans &amp; Military Issues http://bit.ly/Rangel1021"
"33","#Rangel Statement on Women's Equality Day www.electwomen.com Aug 26 is the 90th Anniversary of Women Gaining the Right to Vote"
"34","The House is now debating unemployment extension legislation which the Senate passed yesterday by a vote of 59-39 www.c-span.org/"
"35","WATCH LIVE when the Senate votes on the unemployment benefits bill (9PM ET or sooner) www.c-span.org/Watch/C-SPAN2.aspx"
"36","I'd like to invite you ask me questions so I can answer the best few each week. Vote on my TWITTER Hashtag here: http://bit.ly/hashtagpoll1"
"37","Thank you for the calls. Constituents have been calling, thanking me for my vote and work on behalf of the Economic Recovery Package."
"38","Fattah says procedural chatter is a distraction. Time to vote on healthcare: http://tinyurl.com/yzmfjq6"
"39","Fattah thanks PA Sens. Casey &amp; Specter for historic healthcare vote: http://tinyurl.com/yeu3ldq"
"40","Senate vote on Small Business Jobs Creation Act shows Democrats look out for small business: http://tinyurl.com/2e9cmpa"
"41","Fattah casts historic vote tonight as Affordable Healthcare Act passes in the House http://tinyurl.com/y9576db"
"42","I was proud to be among House members who voted to repeal Don't Ask Don't Tell. Now it goes to the Senate."
"43","I'm urging my colleagues to vote yes on school meals. Read it here: http://tinyurl.com/2vpbk5l"
"44","Fattah will vote yes for Affordable Healthcare Act this week. Statement here: http://tinyurl.com/yg3pqja"
"45","Fattah voted yes on legislation to create clean energy jobs, fight global warming and provide U.S. energy security. Full statement to come."
"46","Fattah votes for full public disclosure on the controversial School for the Americas."
"47","Fattah votes yes on H.R. 2404, the Afghanistan Exit Strategy bill that would require an exit strategy report by year's end."
"48","Fattah supports House climate change/clean energy bill. He'll vote yes on Friday. Read his full statement at http://tinyurl.com/ns8mg5"
"49","Fattah will vote """"yes"""" on Friday's House climate change bill to limit America's greenhouse gas emissions."
"50","Great news on DADT, passes first vote in Senate!!  This could be a great year to end this unnecessary discrimination!"
"51","The health care debate is winding down, before too long the votes will be cast and we will move forward with reform -- tonight!"
"52","Freshmen just passed our 500th vote.  What an honor to be serving at this moment, so many challenges and so much opportunity for change."
"53","The health care debate is coming to an end, I am looking forward to the vote &amp; heading back to Maine in the morning. Could use some sleep!"
"54","House is getting a little rowdy during the last of debate, just two more votes to go."
"55","House has passed financial regulation, 223 to 202.  Many good amendments were defeated, sadly several with Democratic votes, but good start."
"56","The Senate version of health care bill is back, I'm in Rules committee working on 2 minor changes, final House vote should be tonight."
"57","House passed bill to extend tax cuts for middle class, vote was 234 to 188!"
"58","Back in the Rules Committee tonight, finalizing the Health Care reform bill that will likely be voted on tomorrow in Congress. Can't wait!"
"59","Caucus...a chance to hear more about how the Senate messed with the DC vote bill.....too bad, looking forward to working on this today"
"60","The """"managers amendment"""" for the health care bill was just released-- means a good chance we will vote on health care within the week!"
"61","Long day, now waiting for last vote of night. Looking forward to meeting with Energy Secy tomorrow about windpower and then back to Maine!"
"62","Next Rules panel will be the anti-abortion amendments, a lot of health care votes are being withheld looking for stricter language, painful."
"63","About to vote for transportation funding extension bill, it has money for Downeaster train-- which we have strongly supported!"
"64","Taping Colbert Show today before votes tonight (won't be on for a couple weeks).http://yfrog.com/ehvzqsj"
"65","I am managing bill for """"rule"""" to deal with AIG bonuses on floor of House of Rep this morning- start of legislative debate w/vote today"
"66","Rules Committee is hearing the amendments to the Energy bill, this bill is scheduled for a vote tommorrow. Very important to Maine!"
"67","Voted to add more funding to """"Cash for Clunkers.""""  Good weekend to buy an energy conserving American car!!"
"68","Congress broke a record today for the number of votes cast in one day.  Most of the votes were delay tactics by Republicans, I'm sad to say."
"69","House must vote before August recess or it leaves much time for special interests who oppose health care reform to lobby in oposition."
"70","Headed to floor to manage HASC bill, good chance to talk about ending Dont Ask Dont Tell, vote on that today."
"71","@careid69 Interesting question + thanks for reaching out. I will keep your thoughts in mind when this issue comes up for a vote."
"72","@sandifournier @ktums Yes - last night I voted to repeal #DADT. We should honor the service of all our soldiers."
"73","Two hours presiding over House, topics from honoring 2009 Soccer Cup winners to trade policy. Votes at 6:30. http://yfrog.com/au97206217j"
"74","Last votes for the week will be about Coast Guard....good for Maine."
"75","In Rules Committee working on Defense Authorization Act, also has Hate Crimes bill attached, will come to vote on House floor tomorrow."
"76","Republicans are using delay tactics, starting the day with a motion to adjourn.  We will never get to health care vote at this rate. Sad."
"77","Listening to the final debate on the energy bill, votes are likely to be close.  How could anyone, vote no? Don't people remember $4 gas?!"
"78","Safe to say that no one is at their best at this hour, but if this complicated process doesn't keep moving, there will be no vote Friday."
"79","On the floor with 19 votes to go, another long night, Congress has one week recess starting Sat., leaving town is incentive to finish work."
"80","Last votes of the week.  Current resolution about the elections in Iran, fascinating that Twitter is being used there to help people gather."
"81","Maine's lobster industry wins vote against Rep Hensarling funding cut, 310 to 115. No time to be cutting assistance to struggling fishery!"
"82","26 amendment votes in a row this morning including the attack on my support for lobster fisheries, by a Texan!!!"
"83","HASC is debating several (you could say endless) amendments on Missile Defense, all of the winning votes are to control spending."
"84","Just boarded US Air to DC, votes tonight.  Mike and Olympia on this packed plane too....this will be very busy week in DC, hot too!!!"
"85","Voting on Supplemental budget, casting no vote, too many concerns about war funding.  60 no votes so far..."
"86","Question from Lyle about the war, I still oppose it and intend to vote that way."
"87","Called back to the Floor for votes on school construction, the Republicans still opposing and  we have such a great need in Maine."
"88","Long series of votes right now...all amendments to mortgage bill...should get to final passage by end of day."
"89","Final votes of the day...these are actually last votes on the budget.  It has been a long time coming!!"
"90","Hate Crimes bill Amendments have gone from bad to worse, many very mean spirited, some just crazy...getting very painful...many NO votes!"
"91","Just voted yes on Progressive budget more budgets to come today ... It is all budget all day final vote tonight."
"92","Floor vote on FDA regulation of tobacco...voting on amendment now on floor.  Looks like final bill will pass this is good!"
"93","Won rural energy amendment 388 to 36 - who could vote no? 
My first vote -- chamber sign says """"Pingree of Maine""""  http://twitpic.com/281jq"
"94","Meeting after 10pm to vote on the continuing resolution ... The bill that keeps govt going because no Senate budget http://twitpic.com/1vkw4"
"95","No votes today until 3....meetings with Maine visitors...postal workers next, good to have local perspective on their issues."
"96","@SerenSnow I am a no vote on the Stupak amendment, and the vote will come in about 15 minutes."
"97","@RMSmithJr thanks for asking, the """"deeming"""" mechanism is not being used for the Rule on the health care vote."
"98","Proud to stand w/ my friends @PPAdvocatesOR to tell voters that @kitz2010 is THE #prochoice candidate for #ORgov VID: http://on.fb.me/9e8D4m"
"99","Blog on why I voted to Health Insurance Reform: http://huff.to/dibG9h check it out!"
"100","Health Care reconciliation coming back to the House for an anticipated vote TODAY!"
"101","Just took a break from the hearing to vote to extend unemployment benefits to the millions of Americans that need it."
"102","followed a series of votes by visiting with the Brownsville Collegiate Charter School...pictures to come!"
"103","voted yesterday to repeal #DADT"
"104","Congressman Towns votes for H.Res 1320: http://bit.ly/bJmAbK"
"105","RT @OversightDems: The House will vote on #WSR today, making essential transparency and accountability improvements to the financial system"
"106","Analysis by NY Times shows strong """"resilience"""" of Dem. Cong. Candidates as voters focus on GOP policies of the past. http://nyti.ms/bYFt0e"
"107","Appeared on @News12NJ Power &amp; Politics. House votes Tues. To approve funding for states to pay for Medicaid &amp; avoid teacher layoffs."
"108","Voted in favor of DISCLOSE Act which will increase transparency for campaign expenditures &amp; TV ads - this is a vital reform."
"109","Re-election rally in Atl Highlands for Dem Council cands, Eileen Cusack &amp; Rita Eaton. County Dem cands also attended. Vote Dem ticket 11/2."
"110","Don't forget you can vote by mail! Find out more information here: http://bit.ly/Qjksy"
"111","Pleased that Senate voted over the weekend to retain my provision (the CLASS Act) in health reform that provides long term care at home"
"112","Early this morning, met voters at Long Branch Station. Commuters want the fed govt to prioritize mass transit."
"113","Voted for Home Star bill  - will lower homeowner's utility bills and create jobs in manufacturing sector to produce Made-in-America goods."
"114","Victory! Health Care Reform passed late last night in 220-215 vote. House vote should encourage Senate to act soon."
"115","Hope that Senate Dems will achieve 60 votes tonight and proceed with health care reform debate."
"116","I voted at Elberon Fire House. If you need a ride to the polls please call 732-571-4141. Polls are open til 8pm, be sure to vote!"
"117","Senate got cloture vote on small business jobs &amp; investment bill - meaning GOP logjam gets broken. Will help small businesses create jobs."
"118","Last night's vote is final legislative step to make health reform a reality. Control shifts from insurance firms to the people."
"119","Spoke at Genevieve Hawley Foundation Lunch, Atlantic Highlands. Gen was a longtime staffmember who devoted her life to the education of kids"
"120","Health care debate begins. Good to see John Dingell in the speaker's chair. He presided over the Medicare vote in the '60s.(#hc09)"
"121","Last night's tax vote clearly defined Democrat &amp; Republican priorities: Dems fight for middle class &amp; R's protect wealthiest Americans."
"122","Congrats to Pat Gillespie, my former district director for being named exec. director of new state chapter of League of Conservation Voters."
"123","House acts to feed hungry kids w/expansion of child nutrition programs. Shame on those who voted no. No child should go hungry in America."
"124","Thanks to all the voters in the 6th District for having the confidence in me for another term in Congress."
"125","Please be sure to vote! After the polls close at 8,join me for our Election Night Celebration�at the Carpenter's Hall, 30 Wikoff Rd Red Bank"
"126","Had a cup of coffee w/ residents at Poplar Village, Ocean Twp. They were all on their way to vote."
"127","Meet 'n Greet at Edison Diner. Some have already voted by mail, others enthusiastic about voting tomorrow. Polls open from 6am to 8pm."
"128","Had a great birthday today reaching out to voters throughout the 6th District. Met some constituents w/ the same birthday."
"129","Met with voters at Moms Kitchen, Neptune. Great Italian food. Discussion about need to protect Social Security."
"130","Taped message urging residents to vote on Piscataway Comm TV. Airs Sunday 10/24 @ 9pm and continues until 11/1."
"131","Interesting fact:19th amend ratified when a TN legislator changed vote after reading note from his mother telling him to do the right thing."
"132","An anniversary that took decades of advocacy! 90 yrs ago women gained the constitutional right to vote w- enactment of the 19th Amendment."
"133","Spoke at @njstudentdems training in New Brunswick. Disc focused on registering HS students to vote and engage on issues important to them."
"134","House just voted to pass bill making it harder to send jobs overseas - big business will no longer be able to game the tax system."
"135","I voted in favor of repealing Don't Ask Don't Tell and am proud of my colleagues in the House that joined me in doing so."
"136","Glad to see the Senate has voted to move forward on Wall St. Reform. I look forward to tougher regulations to reign in the big banks."
"137","Republicans continue to vote against jobs bills including COMPETES Act today that would encourage Amer innovation &amp; create jobs."
"138","Remember to vote in Tuesday's Board of Ed. Elections. A lot is at stake with candidates &amp; budgets that determine school policy &amp; taxes."
"139","House votes on jobs bill today. A good step in creating jobs, but not good enough. That's why we will do more jobs bills as soon as we can."
"140","Tomorrow we vote to repeal anti-trust exemption for insurance companies. Will make them compete with each other,the way they should."
"141","Scott Rigell breaks federal election law in his most recent misleading attack ad. 2nd District voters deserve better. http://bit.ly/aGFeH2"
"142","Do you have 30mins to spare today? Call 757.273.7217 to help us get our voters out in the next 4 hours! http://bit.ly/cfDA2D"
"143","We've identified thousands of supporters, now we just need your help to get out the vote tmw! Join us http://bit.ly/djLKNM"
"144","If you haven't voted yet, take a moment to do so on your lunch break! Polling locations: http://bit.ly/cfDA2D"
"145","Have you voted yet? Let us know! http://on.fb.me/9eoRQX Make sure friends and family are heading to the polls as well!"
"146","Just voted for Onancock for """"Coolest Small Town in America."""" http://tinyurl.com/9k9os6"
"147","Take a look at my final TV ad for this year's campaign, and be sure to vote on Tuesday! http://bit.ly/9k7mCj"
"148","I just recorded a video message about the importance of helping to get out the vote in these last 13 days: http://bit.ly/bdqBKi"
"149","Spent AM w Bishop McBath. I always enjoy services @CalvaryRevival &amp; talking to voters @ Discovery Life Bookstore: http://on.fb.me/a3lEn2"
"150","RT @marcadelman: 520 am Waking my crew up 2 go do visibility 4 @GlennNye @ street corner in VA beach. All abt getting out vote today. Ha ..."
"151","Just took my youngest daughter with me to vote. I am encouraging all young people to get out and vote!"
"152","Headed back to Washington, DC today for votes"
"153","Hope everyone had a great Thanksgiving weekend! Heading back to Washington, DC today for votes."
"154","I am heading back to Washington, DC today for Votes this evening on the House Floor."
"155","Glad Senate voted today to stop Congressional pay raise. Rep. Ron Paul and I are working to do the same in the House - http://bit.ly/bvc5rY"
"156","Health care costs hurting economy, slowing recovery. Reform is needed. I will vote Yes on #HCR for AZ families."
"157","So far this week  - voted to help vets with transition to civilian life to increase their COLA and provide access to housing."
"158","Proud to have just voted to honor Justice Sandra Day O�Connor - she has lead a long and honorable life of public service"
"159","Voted against Dem estate tax plan � exemption too low &amp; does not keep pace with inflation. Will impact too many families and small biz"
"160","Happy that amendment restoring SCAAP funding passed late last night by voice vote. AZ not losing important resources. http://bit.ly/fgfK6"
"161","Great day in history. Today is the 90th anniversary of the 19th amendment, guaranteeing women the right to vote!"
"162","Just voted for the Iran Petroleum Sanctions Act to prevent Iran from getting nuclear weapons. A nuclear Iran is a threat to Israel &amp; the US"
"163","New home sales rose 11% in June http://bit.ly/bA1l8; Homebuyer tax credit I voted for is helping. Now we should do more- http://bit.ly/5m7w6"
"164","Today I voted against raising the debt limit. Congress needs to practice real fiscal restraint, cut spending and keep key tax cuts."
"165","Earlier today I voted for the VA Appropriations Bill which included a great provision for our veterans - they deserve it http://bit.ly/TAZjl"
"166","Thawing at the Post Road Diner after visiting polls in Norwalk. Great day to vote!"
"167","Almost done reading/considering health care bill. Note that AARP and AMA have endorsed it. Looks like vote tomorrow."
"168","You can see how health care reform being voted on Sunday would affect you at http://tiny.cc/hlthrfm"
"169","On plus side, Senate votes to kill DADT! No more discrimination against those who wish to serve and sacrifice for us. Finally."
"170","Back in DC. Just brushed past Rahm on the floor on my way to vote for Crane Conservation Act. Next up, Great Cats Act. More up Rahm's alley"
"171","Well, if 6 GOP votes counts as bipartisan."
"172","After fighting all morning, looks like a group of us have persuaded leadership to hold straight up/down votes. No deeming, no self-executing"
"173","No votes tomorrow. Transitive errors in logic: Act of God (storm) shuts gov. Newt Gingrich shuts gov. Newt Gingrich is act of God. Hey . . ."
"174","Closing in on a vote on financial regulatory reform. Last few hours of over a year of hard work!"
"175","Crazy scream guy outside yelling that 99% of drug dealers vote Dem. I'm amazed they vote in % so much higher than rest of us. And do polls."
"176","Big thanks to my constituents who voted 53-47 to keep me representing them. My commitment to work hard for them is renewed and repowered."
"177","9 votes total, 7 of which are 2 minute votes. It's a Congressional Speed Round! Will slow when the minority offers its motion to recommit."
"178","on Foor listening to Alan Grayson ask Ron Paul about his vote against DADT. Nonwage benefit of job."
"179","About to vote on resolution celebrating the flag. Expecting rousing bipartisanship, limited procedural shenanigans. Small Biz assist up next"
"180","@DanDebicella was 1 of 3 senators to vote against emergency contraception for raped women in hospitals AFTER accommodation made with Church"
"181","28 votes in a row right now. Most separated by 5 minutes. Lot of Floor time today. SecTreas probably cooling his heels in Rayburn."
"182","Just finished last vote of 111th Congress. 9/11 bill to help those who worked on the 9/11 sites. Nice coda. Back in January!"
"183","Just proudly voted for the DREAM Act. We DO NOT visit the sins of the fathers onto the child. Plus, reduces deficit, helps military."
"184","texting to find out where you vote? Text PLACE to 62262 (OBAMA). When you get a response, send your address &amp; you'll get your polling place."
"185","Meeting voters at Merritt Canteen after downing one chili dog and one with mustard and kraut. Gotta live some!"
