"","x"
"1","RT @LeaderHoyer: Our #budget will also reinforce #PAYGO � the principle that any new spending or decrease in revenue must be paid for"
"2","It was great spending the Fourth of July in Lorain. I love meeting voters!"
"3","Should we keep spending $1 trillion dollars to fund this #war? www.youtube.com/user/RepRangel"
"4","Rep. McGovern addressed his concerns about continued spending on wars, without clear withdrawal plans, I heartily agreed with him."
"5","Preparing to speak on the House floor about bringing the war in Afghanistan to an end, bringing our troops home and spending the money here."
"6","HASC is debating several (you could say endless) amendments on Missile Defense, all of the winning votes are to control spending."
"7","Republicans wnt short term measures 2 keep the govt oprating while scrapping 1yr spending bill, $27billion less than the president's request"
"8","NYT edit - corporate donors dominating election spending this year. House passed bill req disclosure, Sen needs to act http://bit.ly/9f0Qkt"
"9","9/11 bill markup in my Health Sub going well so far. Every member spoke in favor of the bill. Some Republicans oppose mandatory spending."
"10","House passed my bill to stop the congressional pay raise yesterday. We need reduce spending &amp; not give out a pay raise http://bit.ly/boUiA0"
"11","Today I voted against raising the debt limit. Congress needs to practice real fiscal restraint, cut spending and keep key tax cuts."
"12","Finished voting for the day.  My daughter and sister are in town, so I'm looking forward to spending the evening with family."
"13","Hartford Courant: @dandebicella pushing spending cap """"that could decimate Medicare and Social Security"""" http://tiny.cc/l6x0c"
"14","@WendyGav My votes have nothing to do with Nancy Pelosi. In last 10 days, have voted against two Democratic tax bills and one spending bill."
"15","Talked with @WeGotEd last night about special interest spending http://youtu.be/FREtmqofo-8 #p2 #sestak #toomey"
"16","RT @ThirdWayTweet: RESEARCH: Health reform:

The
fact is that by 2019, national health spending per insured person will be
$15,132... ht ..."
"17","RT @ThirdWayTweet: Third Way Research: Health Reform
CMS actuary report shows 10 percent decline in health care spending per insured htt ..."
"18","I applaud the Pentagon for taking concrete steps to stop waste and abuse in military spending: http://nyti.ms/b8zImd"
"19","http://twitpic.com/28bl77 - Spending time with United Filipino Council State President Eddie Agas on Maui."
"20","Spending tonight with Congresswoman Madeleine Bordallo at Cannon Building reception honoring 66th Anniversary of the Liberation of Guam."
