"","x"
"1","RT @HealthCareGov: Learn about the new rules that help make wellness and prevention services affordable and accessible to you http://bit ..."
"2","Heading to bipartisan meeting on health care reform @whitehouse. Watch the entire meeting live online at http://go.usa.gov/ldD or on CSPAN."
"3","health care reform reality check -- http://www.whitehouse.gov/realitycheck. Also follow @healthreformnow and @edlabordems for updates. #hcr"
"4","Ed&amp;Labor markup of health care reform bill. Live webcast: http://bit.ly/gNmpX . Or follow @edlabordems and @healthreformnow. #healthreform"
"5","RT @HouseDemocrats: President Obama about to sign our healthcare reform legislation into law. Watch as history is made: http://bit.ly/9qJpbQ"
"6","RT @cspan: Complete C-SPAN coverage of the health care debate including videos, legislation text and twitter feeds: http://bit.ly/9RaKVO"
"7","RT @HouseDemocrats: RT @GOPLeader: No GOP Reforms Included in Health Care Proposals // Except these 14+ proposals! http://bit.ly/au2moQ  ..."
"8","RT @edlabordems: RT @washingtonpost - Student loan overhaul seems likely to join #Senate health-care bill http://bit.ly/bAKCUe #SAFRA"
"9","RT @CCTimes: Political Blotter blog: Health care not dead, says Rep. Miller  @askgeorge in defiant speech http://bit.ly/dnlm9x (h/t @lvo ..."
"10","RT @HealthCareGov: For info on ur choices, check out the Young Adults section http://bit.ly/cR9Deu &amp; the options finder http://bit.ly/bK ..."
"11","RT @SpeakerPelosi: How much would GOP promise to repeal Affordable Care Act add to the deficit? CBO says $455 billion. http://bit.ly/bxbSoZ"
"12","Republican talking point that health care reform is """"government takeover of health care"""" is Politifact's Lie of... http://fb.me/GAhckrLv"
"13","heading to KGO AM 810 studio to talk health care reform and the latest from Washington w/ host @ronnowens. #hcr"
"14","learn more about our plan for health care reform - follow @healthreformnow. #followfriday"
"15","REPEAL HEALTH CARE? 

Watch my interview with KGO Radio today on incoming Speaker Boehner�s pledge to repeal... http://fb.me/JLPbt2U0"
"16","Some say #hcr will take away our freedom - the same old argument used to fight Social Security and Medicare - http://go.usa.gov/lSE."
"17","via Health Care Reform: Health
 Care Reform in Action: Employers offering health coverage to early 
retirees can... http://fb.me/C4hXLcFu"
"18","Health care reform remains critical -- http://go.usa.gov/lZY"
"19","Steering &amp; Policy Committee Forum on urgent need for health care reform - http://bit.ly/pIhdl or on CSPAN 3 right now."
"20","Repeal This?

Here�s another reason why the GOP is wrong to want to repeal the Affordable Care Act:  Insured... http://fb.me/BU3NWEyT"
"21","RT @edlabordems: Have you read our News of the Day? http://go.usa.gov/lSV College loan fix fits with health care reform (Rep. Miller op- ..."
"22","working on healthcare reform - http://bit.ly/q2nB8. follow @healthreformnow and @edlabordems. #healthcare"
"23","Immediate benefits, fact
 sheets, bill text of the Affordable Health Care for America: 
Reconciliation Bill -... http://bit.ly/9bR1Oe"
"24","RT @edlabordems Starting at 10am ET @WhiteHouse bipartisan health care meeting can be seen here - http://go.usa.gov/ldW #hcr"
"25","what you should know about health care reform - http://bit.ly/2xmVSZ. #hcr.  Watch the debate LIVE on c-span."
"26","RT @HealthReformNow: How does health care reform benefit you? Try out this new tool: http://go.usa.gov/iJh #hcr"
"27","FACT: House bill will NOT cut basic Medicare benefits � it targets inefficiency, fraud &amp; waste in Medicare. Bust myths- http://bit.ly/iCdSp"
"28","RT @whitehouse Context on last exchange - WaPo: """"CBO found that premiums go down under health-care reform"""" http://bit.ly/7EmpEy #hcr #hcs"
"29","New report: Affordable Care Act will cover nearly 
all uninsured Young Americans - http://go.usa.gov/3YX http://bit.ly/aVz6TR"
"30","Under new GOP, the Chamber of Commerce announces a new attack on labor, health care, consumers. It's a threat to... http://fb.me/NQ4qCigG"
"31","This week - @edlabordems hearing on bill to improve the nutritional quality of meals in schools and in child care. http://go.usa.gov/Oli"
"32","STARTING TODAY - The first round of $250 checks go out to folks who are in the �donut hole� � the gap in Medicare�s... http://bit.ly/cXvT2e"
"33","RT @edlabordems Read the News of the Day? http://go.usa.gov/lSV College loan fix fits with health care reform (Miller op-ed) #SAFRA #hcr"
"34","George shares his thoughts on the @whitehouse health care summit during the lunch break. Video -  http://bit.ly/a3EbPL #hcrsummit #hcr #hcs"
"35","On KCBS early this morning previewing the White House health care summit -... http://bit.ly/dyqkia"
"36","Follow @edlabordems for more on today's white house health care summit. #healthcaresummit #hcr #hcs"
"37","House approves Affordable Health Care for America Act, HR 3962 - a bill to provide access to health care for all Americans."
"38","Starting series of votes on the Affordable Health Care for America Act HR 3962. Our plan will give all Americans access to quality care #hcr"
"39","Finishing up debate on our health reform bill to give Americans access to affordable, quality health care - short video http://bit.ly/3uYGGr"
"40","Talking health care reform w/ Rep. Tierney - http://bit.ly/38X2v0"
"41","RT @healthreformnow - Affordable Health Care for America Act introduced this morning. Page with lots of info - http://go.usa.gov/lcJ"
"42","fully committed to a public health insurance option. follow health care reform - @edlabordems or @healthreformnow.   #publicoption"
"43","fully committed to a public health insurance option. follow health care reform - @edlabordems or @healthreformnow."
"44","love hearing your ideas for the President on healthcare..received over 200 comments on the blog and twitter. Keep it up! http://ow.ly/DwE"
"45","RT @HealthCareGov: Shining a Light on Health Insurance Rate Increases: new requirement that insurance co's justify high rate hikes http: ..."
"46","RT @AsstToTheSpkr: GOP's top priority would repeal free preventive health care for Americans http://bit.ly/d131PY #hcr"
"47","RT @HealthReformNow: New health-care law provides free preventive care for many seniors - http://bit.ly/cdKNXQ #hcr"
"48","Healthcare.gov is live! It is designed to help you take control of your health care. http://fb.me/CpEIsoOD"
"49","RT @edlabordems: Republican talking point 'government takeover of health care' is #PolitiFact #LieoftheYear. #hcr http://go.usa.gov/1uc"
"50","RT @HealthReformNow: Immediate benefits, fact sheets, bill text of the Affordable Health Care for America: Reconciliation Bill - http:// ..."
"51","RT @edlabordems: President Johnson talking about signing Medicare http://bit.ly/9osNmc 45 years ago today. #45Anniversay #Medicare"
"52","RT @HealthReformNow: RT @HouseDemocrats - CMS actuary says #hcr �would have a significant downward impact on future health care cost gro ..."
"53","RT @HealthReformNow: Fact of the Day: #hcr law eliminates wasteful overpayments to Medicare Advantage plans that increase private plan p ..."
"54","RT @HealthReformNow: Fact of the Day: U.S. now spends ~$1 in every $6 on health care. w/o #hcr, in 30 years it will be $1 out of every $3."
"55","RT @HealthReformNow: RT @WaysMeansCmte - Health reform will not affect TRICARE or TRICARE for Life.  The DoD would maintain sole authori ..."
"56","RT @HealthReformNow: Fact of the Day: Slowing the growth rate of health care costs will prevent disastrous increases in the Federal budg ..."
"57","RT @WaysMeansCmte: We appreciate Sen. Alexander�s remarks but NPR sets the record straight - Health Care No Stranger To Reconciliation h ..."
"58","RT @CCTimes: Political Blotter blog: Lawmakers @askgeorge sound off on health-care ruling http://bit.ly/gP7bFI @Josh_Richman"
"59","RT @HealthReformNow: Final rules to help improve health, increase safety &amp; reduce health care costs through electronic health records #E ..."
"60","HuffPo on Blumenauer plans to reintroduce end of life care bill - what Palin called """"death panels: http://tinyurl.com/2cymawh"
"61","Great AP story on more medical care not = better medical care. Earl quoted, and an interesting piece in general http://tinyurl.com/2cq8swo"
"62","Appearing on FOX Bus. @1pm PST to discuss healthcare. http://bit.ly/9LHqsC"
"63","Speaking to Bill O'Riley at 8pm about health care reform. http://bit.ly/aS6n8H"
"64","Speaking to Pat Morrison on KPCC re: healthcare @1pm PST http://bit.ly/95ZW8t"
"65","Will vote on the health care reconciliation bill this evening. http://bit.ly/a9tH08"
"66","Speaking w/Zain Shauk of Glendale  News-Press and Burbank Leader re: MA Sen. race and health care http://bit.ly/7e1PcO"
"67","Will speak to Bill O'Reliey tonight at 8pm EST/5pm PST re: Health Care http://bit.ly/cQr9xT"
"68","Preparing to watch the President deliver his health care address to a Joint Session"
"69","Appearing on FOX Bus. @2pm EST to discuss Health Care http://bit.ly/crHjBc"
"70","Appearing on AirTalk w/Larry Mantle @ 10:40am PST (1:40pm EST) to discuss health care http://bit.ly/78zOTt"
"71","Rangel: Everyone Deserves #Healthcare http://bit.ly/rangelhealthcare Congressman Praises Free Preventive Care Benefits"
"72","RT @LetsSayThanks: Send our #troops support with a beautiful card. It takes 2 minutes to show how much you care! http://bit.ly/1j4E"
"73","Watch LIVE the President's Health Care Summit: http://rangel.house.gov/cblog/2010/02/watch-the-white-house-health-care-summit-live.html"
"74","Chairing a Ways &amp; Means Hearing on Health Care Reform. 9 AM to 4:30 PM."
"75","#Rangel: New Healthcare Protections Start This Week http://bit.ly/PatientsRights"
"76","At the White House for Health Care Reform Summit. Starts at 1 PM."
"77","A New Day for American Consumers: http://bit.ly/a9y25S via @addthis (New Healthcare Protections take effect)"
"78","Rangel Applauds Passage of 9-11 Healthcare Workers Bill http://bit.ly/Rangel9-11bill"
"79","What If Health Care Reform Unravels? Critics, States, Republicans Oppose Law, Funding - AARP Bulletin http://t.co/kdsumAa"
"80","#Rangel Hails Passage Of House 9/11 Health Care Bill  http://bit.ly/911HealthBill"
"81","#Rangel Report: FINALLY! NEW HEALTHCARE PROVISIONS TAKE EFFECT
(9/24)  http://bit.ly/RangelReport9-24"
"82","#Rangel Advocates for Better Mental Health Care for Returning Troops http://bit.ly/RangelCDC (CDC Tele-conference, 9/21 1-2PM)"
"83","@ the White House. Tackling health care reform."
"84","W&amp;M Hearing on Health Care Reform today at 10:30 AM."
"85","Just added myself to the http://wefollow.com twitter directory under:  #politics #education #healthcare"
"86","Fattah says procedural chatter is a distraction. Time to vote on healthcare: http://tinyurl.com/yzmfjq6"
"87","Fattah's statement on the healthcare reform bill: http://tinyurl.com/n788j8. The bill itself: http://tinyurl.com/n7nuyl"
"88","Fattah:� I�ll be voting for healthcare and student loans again today.� We'll finish the job."
"89","Fattah prediction: 221 Yea, 210 No. Healthcare will pass."
"90","We WILL pass Healthcare!!!"
"91","Today at 12 Noon, Fattah keynotes a Healthcare Rally at the top of the Art Museum steps with """"Healthcare for America Now!"""""
"92","Fattah: Respect Obama's national mandate, move forward on healthcare: http://tinyurl.com/yzqjnof"
