"","x"
"1","RT @HealthReformNow: Fact of the Day: 41% of adults (sub-65) have accumulated medical debt, had difficulty paying medical bills, or both ..."
"2","@Financial Serv. Cmte Hearing re: Credit Default Swaps on Gov't Debt http://bit.ly/98iBBj"
"3","RT @SpeakerPelosi: Tax cuts for wealthiest few adding $700B to debt?GOP says yes. Bill saving teacher jobs cutting deficit $1.4B?GOP say ..."
"4","Dem party insiders are serious about tax reform and are open to Debt Free America Bill http://tinyurl.com/y5exgyq"
"5","I'm on C-SPAN now talking black male achievement, college tax credits, and cutting the nat'l debt."
"6","I'll be on C-SPAN's Morning Journal 7:45 Tues., talking black male achievement, college tax credits, and cutting the nat'l debt."
"7","Fattah discusses Debt Free America on FOX with Cavuto today at 4:10 pm."
"8","Dem party insiders are serious about tax reform and are open to Debt Free America bill: http://tinyurl.com/y7aalew"
"9","Fattah's bill would erase national debt &amp; eliminate April 15 as personal income tax day: http://tinyurl.com/y3m7cp9"
"10","Fattah's Debtr Free America Act sees movement on Capitol Hill: http://tinyurl.com/yfycxhl"
"11","Fattah's """"Debt Free America Act."""" A penny per dollar eliminates national debt. Like it? Comment at: http://tinyurl.com/yj4agap"
"12","Fattah introduces """"The Debt Free America Act"""" to eliminate national debt for a penny on the dollar: http://tinyurl.com/y9zjyne"
"13","Fear that Debt Commission will transfer tax burden from corporations &amp; wealthy Americans to the middle class is real. http://nyti.ms/bofvnv"
"14","The 111th Congress ends on a positive note w/passage of the 9/11 Health Bill. Today we begin to repay the debt we owe our first responders."
"15","Debt comm's recs on Soc Sec and Medicare should be dead on arrival - too harmful to seniors. COLA should be enhanced not reduced."
"16","Rev @DeforestSoaries raised important awareness about consumer debt crisis w/ screening of insightful CNN doc """"Almighty Debt"""" in Franklin."
"17","Direct student loans take big banks out of the equation; saving taxpayers $61 billion; reducing the debt by $10 billion, helping students."
"18","At Pungo Pizza right now for a Congress At Your Corner. Great ideas for reducing the debt and creating jobs."
"19","To the veterans I spoke with yesterday, thank you again. We will never forget your service or the great debt we owe you http://bit.ly/bQyceW"
"20","I am chairing my Subcommittee hearing on Haiti Debt Relief at 10:00 am this morning."
"21","Today I voted against raising the debt limit. Congress needs to practice real fiscal restraint, cut spending and keep key tax cuts."
"22","Check out my piece in the Fountain Hills Times - we need to strengthen our economy, create jobs and pay down debt: http://bit.ly/a8PTSh"
"23","I'll be on CNBC's SquawkBox at 6:40 am CST tomorrow. Topics: My role on the President's Fiscal Commission, the debt and the deficit."
"24","Last night I voted """"no"""" to adding $858 billion in debt in exchange for little to stimulate the economy.�Read more: http://on.fb.me/el93bI"
"25","Students graduate from college now w. diploma &amp; w. debt over $23k. POTUS proposal ensures students don�t have more debt than first salary."
"26","RT @latimes: Banks have repaid bailout debt and then some, Treasury says. Step in the right direction for taxpayers! http://shar.es/mANEN"
"27","RT @NYTimes: """"Debts Rise &amp; Go Unpaid as Bust Erodes Home Equity."""" Trouble making payments? Contact ur bank or HUD-certified counselor ASAP!"
"28","Thank you to our brave servicemen and women, to whom we all are forever indebted. Its an honor to serve you.  http://bit.ly/dzMc9G"
"29","We must continue to help #Haiti immediately by providing tents for shelter &amp; cancelling debt http://bit.ly/7ENJkB"
"30","My debt relief for #Haiti bill has passed both chambers of Congress, Pres. to sign soon. Will help new Haiti succeed http://bit.ly/9zYzug"
"31","House passed my debt relief for #Haiti bill. After 2nd trip to Haiti I'm still concerned for health, safety of Haitians http://bit.ly/9zSnGQ"
"32","Headed to #UN for #Haiti development conf., which is critical to Haiti's future. Hope to see more good news like $479M IDB debt cancellation"
