"","x"
"1","RT @HealthCareGov: Learn about the new rules that help make wellness and prevention services affordable and accessible to you http://bit ..."
"2","RT @whitehouse: 11:15: Signing health reform. Watch: http://wh.gov/live Or chat via FB: http://bit.ly/tCHXt Or via WH iPhone app of course"
"3","RT @WaysMeansCmte: Read W&amp;M Health Subcmte Chair Pete Stark's newly released report on the dangers of health reform repeal: http://go.us ..."
"4","Heading to bipartisan meeting on health care reform @whitehouse. Watch the entire meeting live online at http://go.usa.gov/ldD or on CSPAN."
"5","health care reform reality check -- http://www.whitehouse.gov/realitycheck. Also follow @healthreformnow and @edlabordems for updates. #hcr"
"6","Starting debate on the health insurance reform bill. You can watch on C-SPAN or at http://cspan.org. Read the facts... http://bit.ly/aatRFe"
"7","Ed&amp;Labor markup of health care reform bill. Live webcast: http://bit.ly/gNmpX . Or follow @edlabordems and @healthreformnow. #healthreform"
"8","RT @HouseDemocrats: President Obama about to sign our healthcare reform legislation into law. Watch as history is made: http://bit.ly/9qJpbQ"
"9","RT @cspan: Complete C-SPAN coverage of the health care debate including videos, legislation text and twitter feeds: http://bit.ly/9RaKVO"
"10","RT @HouseDemocrats: RT @GOPLeader: No GOP Reforms Included in Health Care Proposals // Except these 14+ proposals! http://bit.ly/au2moQ  ..."
"11","RT @edlabordems: RT @washingtonpost - Student loan overhaul seems likely to join #Senate health-care bill http://bit.ly/bAKCUe #SAFRA"
"12","RT @CCTimes: Political Blotter blog: Health care not dead, says Rep. Miller  @askgeorge in defiant speech http://bit.ly/dnlm9x (h/t @lvo ..."
"13","RT @HealthCareGov: For info on ur choices, check out the Young Adults section http://bit.ly/cR9Deu &amp; the options finder http://bit.ly/bK ..."
"14","Republican talking point that health care reform is """"government takeover of health care"""" is Politifact's Lie of... http://fb.me/GAhckrLv"
"15","via Contra Costa Health Services Not sure what
 health insurance changes take effect Thursday? Here's a video of... http://fb.me/HmjEuutR"
"16","RT @edlabordems - Watch Rep Miller at the press conference earlier today: http://bit.ly/21YUmM  - re: historic health reform. #healthreform"
"17","heading to KGO AM 810 studio to talk health care reform and the latest from Washington w/ host @ronnowens. #hcr"
"18","RT @edlabordems: Health and Safety of Hard-Working Americans Threatened by U.S. Chamber of Commerce Agenda. http://go.usa.gov/CLX"
"19","learn more about our plan for health care reform - follow @healthreformnow. #followfriday"
"20","REPEAL HEALTH CARE? 

Watch my interview with KGO Radio today on incoming Speaker Boehner�s pledge to repeal... http://fb.me/JLPbt2U0"
"21","Do you get the Miller e-news? You can read today's edition (about sick patients no longer getting dropped by health... http://bit.ly/9do7Iy"
"22","via Health Care Reform: Health
 Care Reform in Action: Employers offering health coverage to early 
retirees can... http://fb.me/C4hXLcFu"
"23","Health care reform remains critical -- http://go.usa.gov/lZY"
"24","Steering &amp; Policy Committee Forum on urgent need for health care reform - http://bit.ly/pIhdl or on CSPAN 3 right now."
"25","RT @edlabordems: Have you read our News of the Day? http://go.usa.gov/lSV College loan fix fits with health care reform (Rep. Miller op- ..."
"26","working on healthcare reform - http://bit.ly/q2nB8. follow @healthreformnow and @edlabordems. #healthcare"
"27","RT @HealthReformNow Rep. Rob Andrews, chair of health subcmte on @edlabordems, is on the House floor speaking in favor of #hcr"
"28","Immediate benefits, fact
 sheets, bill text of the Affordable Health Care for America: 
Reconciliation Bill -... http://bit.ly/9bR1Oe"
"29","Are you watching? The House is holding final debate on the historic health insurance reform bill. Tune to C-SPAN or... http://bit.ly/cBzxYi"
"30","RT @edlabordems Starting at 10am ET @WhiteHouse bipartisan health care meeting can be seen here - http://go.usa.gov/ldW #hcr"
"31","what you should know about health care reform - http://bit.ly/2xmVSZ. #hcr.  Watch the debate LIVE on c-span."
"32","RT @HealthReformNow: How does health care reform benefit you? Try out this new tool: http://go.usa.gov/iJh #hcr"
