"","x"
"1","RT @GOPLeader Attn @presssec: Republicans are unified: to boost our economy, we need to stop ALL tax hikes and cut spending no"
"2","Spearheading a letter to urge Budget Committee to consider spending freezes and cuts http://bit.ly/bjXNw8"
"3","RT @PatrickRuffini RT @BDayspring Great piece by @KSoltis on GOP/youth voters and why econ/spending is the path GOP: http://bit.ly/55KCvf"
"4","RT @Erik_Paulsen: @DarrellIssa @repaaronschock &amp; my amndts to reduce govt waste were rejected by the majority! The spending spree contin ..."
"5","RT @DarrellIssa: @RepAaronSchock and I asked what resources stimulus oversight board needs to deliver taxpayers the spending answers the ..."
"6","@calebgalaraga more than 1 word but POTUS call for spending freeze-FTAs- nuclear plants-tax cuts is akin to Blago calling for ethics reform."
"7","Have now voted to cut $49.5 million in wasteful government spending under YouCut. What�s your favorite spending cut? http://tiny.cc/prt2r"
"8","WSJ: Pelosi plan is �The Worst Bill Ever,� new spending, taxes, higher premiums, rationed care &amp; dishonest accounting http://bit.ly/NnrrY"
"9","With over 1.1 million #YouCut votes, it�s clear that taxpayers are fed up with the culture of spending in Washington. http://bit.ly/9hAmRy"
"10","Join my fight to replace a culture of spending in Washington with a culture of savings!  Find out more and vote at http://tiny.cc/qdqz1"
"11","In the past week, over 280,000 Americans  voted on how Congress should cut spending.  The fight continues. Join me at http://tiny.cc/wvfin"
"12","More than 64,000 YouCut ideas from Northeast Fl � let�s continue the fight to cut wasteful government spending! http://tiny.cc/vqd3z"
"13","1st Approps hearing in nearly a year...will be voting for a true, non-defense discretionary spending freeze amendment, saving $31 billion."
"14","Vote on Spending Cuts to Bring Down Deficit http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=995&amp;Itemid=104"
"15","Bachus CNBC.com interview on Spending and Debt http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=1057&amp;Itemid=104"
"16","Stop the Tax Increases, Oppose Pork-Barrel Spending http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=1056&amp;Itemid=104"
"17","RT@WMRepublicans Obama Administration Report Confirms Democrat Health Law Increases Health Care Spending http://bit.ly/aTD2tN"
"18","I appreciate the RSF Review putting this out there, it is important that we get spending under control: http://bit.ly/clxaxe #SanDiego"
"19","Real anger on the streets today about the spending. Folks want it stopped. Glad to have voted for THE most conservative budgets possible."
"20","Next vote on House Floor will be """"Son of Stimulus"""" bill that diverts TARP repayments to new spending. Surreal to spend in face of such debt."
"21","Everyone: Stop the spending!"
"22","Solutions or scapegoats? You get to choose today. We can STOP THE SPENDING with a bold plan like Paul Ryan's Roadmap for America's future."
"23","Just left Little Pigs' new location in Greer. Union Lake was main topic. Folks were fired up--ready to STOP THE SPENDING."
"24","Great door-to-door in Augusta Circle area just now. Found enthusiastic response and got out lots of signs. """"Stop the spending!"""" is the word!"
"25","Very encouraging that people seem to be deciding to keep in office those who are prepared to stop the spending &amp; a voting record to prove it"
"26","Great door to door off Reidville Road in Spartanburg. """"Bring the country together."""" """"Stop the spending."""" """"Stop the bickering."""""
"27","Spending, health care, immigration are the topics on Hilldale Drive in Boiling Springs."
"28","Reflecting on helpful door-to-door conversations in the McDaniel Avenue area of Greenville today. Stopping the spending is the message."
"29","Used my time @ conference mic to say """"When tax receipts are going to cover only entitlement spending, you stop spending--even on good things"
"30","Continuing work on a """"Plan of Reorganization"""" for the federal government. It starts with cutting spending and growing jobs."
"31","Headed to Let's Talk Greenville at the Ham House. Looking forward to rallying commitment to deal with the debt. Ready to stop the spending?"
"32","On House floor now for debate on debt ceiling increase. Ds will increase debt limit and then move on to pass a bill spending more."
"33","Good question about small % of infrastructure spending in his stimulus package. He says they've got infrastructure that's shovel ready."
"34","GOP gains upper hand on spending - new majority in the House is poised to instigate tens of billions in cuts.
http://ht.ly/3buGX"
"35","RT @GOPWhip Washington's runaway spending amounts to generational theft; this 30 second video drives that point home: http://j.mp/PiggyBank"
"36","RT @RepMikePence: [VIDEO] """"PAYGO"""" means """"You Pay, They Go On Spending"""" http://ow.ly/13ZOu #tcot"
"37","@reppaulryan: Cut/cap spending, reform F&amp;F, freeze gov't pay - to cast your vote to cut spending now @usaspeakingout: http://bit.ly/9lyemi"
"38","GOP gains upper hand on spending - new majority in the House is poised to instigate tens of billions in cuts.
http://ht.ly/3buyS"
"39","Try your hand at cutting wasteful gov't spending at YouCut  @GOPWhip @Gopleader http://ht.ly/1KefK"
"40","@WMRepublicans Democrats� Refusal To Pay For Spending Leaves Unemployed W/O Needed Assistance http://bit.ly/ds7dsS #wherearethejobs"
"41","We pledge to act immediately to reduce spending and permanently stop job-killing tax hikes  http://mckeon.house.gov/Pledge #pledge"
"42","CA Legislature Passes Spending Transparency Bill  http://bit.ly/12nCOO"
"43","Heading to Capitol soon for #SOTU.  Hoping this could start a bipartisan effort to rein in spending and create jobs"
"44","RT @GOPLeader Attn @presssec: Republicans are unified: to boost our economy, we need to stop ALL tax hikes and cut spending now"
"45","RT @USASpeakingOut Americans asking, Where are the Jobs? @GOPLeader  offers 2-point plan: cut spending, freeze taxes: http://bit.ly/cN84ut"
"46","Conducting a Tele-Town Hall in 25 min. to discuss spending in Washington. Submit your questions by adding @BuckMcKeon and #TTH"
"47","@republicanstudy Obama to seek three-year spending freeze http://ow.ly/10Gwy  while Senate Dems consider $80B jobs bill  http://ow.ly/10Gw4"
"48","Congressional Democrats set to reject any spending freeze.  Looks like we could be facing even more national debt... http://bit.ly/a23JGt"
"49","BREAKING NEWS: Federal Deficit Breaks New Record: $176.4B in October Due to Slumping Revenues, High Spending http://ow.ly/BIeE"
"50","Requests Info on Administration�s Oversight Plans for Ed. Spending in stimulus
http://tinyurl.com/cqxv9k"
"51","mckeon calls for a spending freeze http://tinyurl.com/avmasn"
"52","@bspringer We would cancel unspent stimulus funds, cut Congress' budget &amp; cap spending. Non-defense spending has risen 84% since 2008."
"53","RT @GOPWhip: Just reached 1,000,000 #YouCut votes to cut wasteful spending in Washington http://j.mp/avqqKx"
"54","RT @GOPWhip: Rep. Candice Miller Touts #YouCut, Challenges Democrats To Address Spending http://ow.ly/1Nms3"
"55","RT @GOPLeader: Attn @presssec: Republicans are unified: to boost our economy, we need to stop ALL tax hikes and cut spending now"
"56","Let your voice be heard in project YouCut�taxpayers vote on 5 spending cuts Congress should make each week... http://bit.ly/bMnvnn"
"57","Time to lead by example on wasteful spending; House Republicans pledge a moratorium on ALL earmarks... http://bit.ly/b9e9mw"
"58","Bigger Government Spending and Higher Taxes Will Not Fix Our Economy http://bit.ly/d0Dtdp"
"59","House Republicans heard the people of this nation ask for more job creation, end spending spree &amp; reform Congress: #Pledge to America"
"60","#YouCut: Americans have had enough of this out-of-control spending; Time to make common sense cuts today... http://fb.me/BEOGSxVP"
"61","take a crack at cutting government spending - the you cut project  http://tiny.cc/m8iyj"
"62","House Continues Spending Spree:  http://bit.ly/6MxSZ6 #politics"
"63","Posey Supports Passage of Current Tax Relief, Will Vote Against Pork-Laden Omnibus Spending Bill:  http://bit.ly/hkgsVg #politics"
"64","Congress Should Stop Spending Our Children and Grandchildren�s Future:  http://bit.ly/bZV1N9 #politics"
"65","RT @HealthCaucus Good WSJ editorial from this morning on the false promise of restrained spending in fed programs http://bit.ly/1fILVg"
"66","spending the afternoon at viva osceola festival in kissimmee! buenos dias!"
"67","spending some time with @Florida_Today Matt Reed for his web show"
"68","Little oversight on largest spending bill in U.S. history http://tinyurl.com/d9dmqc"
"69","WSJ: Spending a fortune on global carbon regulations will benefit a few, but dearly cost everybody else. http://tinyurl.com/qv9c37"
"70","RT @GOPLeader: Attn @presssec: Republicans are unified: to boost our economy, we need to stop ALL tax hikes and cut spending now"
"71","Please tell us what spending YOU would like Congress to cut: http://bit.ly/cnE9yc"
"72","House Republicans pledge to repeal healthcare, cut spending and cut taxes. Read more here http://pledge.gop.gov #pledge"
"73","Voting now on 1st Approps bill amendments - majority shut out almost all amends by conserv minority to cut spending in face of record debt"
"74","President Obama�s answer to record setting deficits - more taxes, more spending, and more government. http://tinyurl.com/2wvwta"
"75","Dems cherry picking amendments on appropriation bills depriving members the ability reduce the runaway spending http://tinyurl.com/mcd288"
"76","Dems pass &amp; Obama signs the largest spending bill in history &amp; then he delivers a speech calling for PAYGO. Why not before stimulus bill?"
"77","During the same period non-defense Approps spending has increased 85% - a near doubling of spending on domestic and international programs."
"78","Since the Democrats took control of Congress, Appropriations spending from FY 2007 to FY 2009 increased by 41%."
"79","In Appropriations Committee mark up this morning. D's propse a 12% federal spending increase"
"80","@ChadChasteen Fiscal conservatives have been working to cut spending http://tinyurl.com/lmn4tm"
"81","Speaker Pelosi holds paid for Medicare bill hostage, puts seniors at risk to move billions in deficit spending http://bit.ly/bAP8KM #tcot"
"82","At the State of the Union. HOPE to hear about real change- less spending, reducing debt, using All-American energy and creating real jobs."
"83","Obama wants $50 bil in infrastructure spending, when $38.6 bil of ARRA infrastructure funds are still available http://bit.ly/d4ch0u #tcot"
"84","WaPo: Democrats have succumbed to paralysis. Congress has yet to pass a budget or one annual spending bill http://bit.ly/arqZc3 #tcot"
"85","In Special Orders talking jobs and majority's job-killing policies over past 16 months. It is time to stop the taxing, spending &amp;borrowing."
