"","x"
"1","RT @RepDaveCamp: 45% Of Doctors Would Consider Quitting If Congress Passes Health Care Overhaul http://tinyurl.com/nmyxkd #news #tcot #hc09"
"2","RT@GOPLeader @wsjusnews GOP Set to Propose Its Own Health Bill http://bit.ly/1hAMku #healthcare #tcot #tlot
33 minutes ago from HootSuite"
"3","RT @GOPWhip New health care video """"Required"""": http://tinyurl.com/nfw5co #tcot"
"4","RT @GOPLeader RT @WSJopinion John Boehner and Mitch McConnell: ObamaCare and the 'Buzzsaw' of Opposition http://bit.ly/bldQv3 #hcr"
"5","RT @GOPLeader    Dean of Harvard Medical School: Dems� #healthcare will increase costs and undermine innovation http://bit.ly/hutZG #tcot"
"6","RT @RepShimkus Side by side, the Pelosi Health Care Bill and the GOP Alternative: http://twitpic.com/o8zuh More freedom or more government?"
"7","RT @Senate_GOPs Sen. McConnell: Dem #healthcare bill is """"a trillion dollar experiment"""" http://bit.ly/C4VXh"
"8","RT @GOPLeader Pelosi�s mega-bureaucracy exposed: Here�s the chart Speaker Pelosi doesn�t want you to see http://bit.ly/1GwO1K #healthcare"
"9","RT @RepMikePence RT: New Video: """"Let Your Voice Be Heard"""" re: Pelosi #HealthCare Bill: http://j.mp/2vpa8r #handsoff #tcot #hcr"
"10","RT@GOPWhip Please RT VIDEO Here It Is: Our Bill http://bit.ly/WABnf #tcot #obamacare #healthcare #handsoff #gop #conservative #republican"
"11","Glad to see that VA AG @KenCuccinelli won case against obama health care law. Judge declared it unconstitutional. #hcrcostsjobs"
"12","Appearing on MSNBC at 12:30 ET to talk about the Senate jobs bill and health care summit"
"13","RT @repcliffstearns Stearns, Grayson duel over health care study .. http://bit.ly/8e8cEb #healthcare #tcot #hcr"
"14","RT @GOPLeaderThe Pelosi health care bill � all 1,990 pages � is available for review here  http://bit.ly/2YgMYA"
"15","Here is how the Dems' health care plan would affect the 18th District of Illinois http://tinyurl.com/mbpv3h"
"16","RT @PeterRoskam: Caterpillar+Deere, 2 major IL employers, will bear $250m in new PelosiCare taxes. Its a fact: #hcrcostsjobs"
"17","RT @BigJohnShow: This morning @edcurran will join us in studio. Plus @repaaronschock talks health care at 7:45 and @CurtisSliwa at 8:35."
"18","Just arrived at the Capitol and the House will begin floor debate on healthcare shortly.  Find the GOP substitute at http://bit.ly/EEFOu"
"19","Only GOP health care reform gets at heart of crisis by slashing costs with competition and increasing access with choice and transparency."
"20","WSJ: Pelosi plan is �The Worst Bill Ever,� new spending, taxes, higher premiums, rationed care &amp; dishonest accounting http://bit.ly/NnrrY"
"21","Pelosi and Obama want to take over heath care and raise your taxes. Didn't support their plan last fall and will vote against it again."
"22","Great WSJ Editorial - stay informed as healthcare debate continues in DC. The plan may start to shape up this week. http://bit.ly/4ASTID"
"23","In Nancy Pelosi�s alternative universe, House doesn�t need to vote on healthcare reform to pass it. Read WSJ OP-ED at http://bit.ly/cwBHYN"
"24","ICYMI: Health care reform contradiction-Dems talk Medicare protection, but push $500 billion in Medicare cuts. http://bit.ly/18yXOk"
"25","http://twitpic.com/odywm - Great to be on the Capitol steps with thousands who were in DC to protest the Pelosi healthcare bill."
"26","Problems exist with health care, but change for the sake of change is not necessarily good. Congress needs to take the time to get it right."
"27","Dems want to gamble with one-sixth of the U.S. economy with their health care plan. Americans reject it, so do I. Go to crenshaw.house.gov."
"28","Just voted no on Democrat takeover of health care. Will continue to voice my strong opposition to ObamaCare."
"29","Hosting a healthcare telephone town hall meeting with constituents from the 4th district.  http://yfrog.com/3ol06j"
"30","Tonight's telephone townhall with 5,000 residents provided great thoughts on healthcare, FairTax and the ecomony. I appreciate your input!"
"31","Took lots of your calls on health care legislation today and hear your loud &amp; clear - no government takeover!  I couldn't agree more!"
"32","With another healthcare vote soon, House GOP plan meets the president's goals for reform, without a government takeover of health care."
"33","Republicans propose true health care reform: Allow Americans to choose their own doctor and get the treatment they need when they need it."
"34","Obama, Pelosi still insist on ramming health care takeover through Congress. This big govt. plan wrong for Florida, wrong for nation."
"35","Just finished tele townhall mtg with 8,000 residents-90% on the call supported my """"no"""" vote on health care reform. Thanks for your input!"
"36","GOP�s Pledge to America offers real solutions to nation�s top priorities: economy, jobs, health care, and more.  http://tiny.cc/etkff"
"37","My Times Union Op-Ed on empty promises versus real solutions for health care  - http://bit.ly/8guYy"
"38","More than 5,000 joined my live Teletown Thurs. night. Thanks! A majority of callers still oppose ObamaCare - support repeal &amp; replace."
"39","Tonight's tele-townhall with 6,000 residents provided great thoughts on the deficit, immigration, and healthcare. I appreciate your input!"
"40","CBO: Dem health care plan costs $1 tillion, raises taxes, cuts Medicare, hikes insurance. GOP plan provides more access to affordable care."
"41","Just cast my vote against the $1.3 trillion Pelosi government healthcare takeover.  Unfortunately, the bill passed by 220 - 215."
"42","Just voted to remove funding for abortions in the health care bill.  The Stupak amendment passed 240 - 194."
"43","On the House floor now ... speaking soon on impacts of Pelosi plan on military health care. Tune in on C-SPAN."
"44","CBO states that the GOP healthcare option costs $61 billion, or 5% of the $1.3 trillion Pelosi bill and will lower HC costs to taxpayers."
"45","The Democrats� version of HC reform is wrong RX for America. GOP option lowers healthcare costs without raising taxes. http://bit.ly/3egbPd"
"46","What everyone should read and remember about the Pelosi Plan to takeover health care. Great Wall St. Journal piece - http://bit.ly/NnrrY"
"47","Today's TU Op-Ed mirrors points I�ve been making on health care reform. See TU at http://bit.ly/2mfJVV and my opeds at http://bit.ly/s3Bpz."
