"","x"
"1","RT @sorendayton Finally Mark Penn makes back all of the Hillary 2008 campaign debt ... http://bit.ly/6fnHbi"
"2","As you file your taxes, US debt clock estimates debt per citizen at $41,468. More cause for fiscal responsibility.  http://bit.ly/dBCyA5."
"3","CBO: health reform would worsen bleak budget outlook, increase deficit projections and drive US more deeply into debt. http://bit.ly/zXlw0"
"4","I voted against a 15.3% increase in the national debt limit (to $14.3 trillion), the 3rd increase since Feb 09 and the largest in history."
"5","Bachus CNBC.com interview on Spending and Debt http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=1057&amp;Itemid=104"
"6","Using TARP funds as a slush fund with no consequence to the debt? No way. http://bit.ly/7bPck0 #sandiego #gop #dem #tcot"
"7","Earlier today at Spartan High and Furman I used pizzas to illustrate the deficit/debt challenge and asked students to spread the word."
"8","Sadly, the majority raised the debt ceiling again today. We're going to fight on to a budget that will get this government back in bounds."
"9","On homebound plane after day/week of too much stimulus. It's a lot of debt for our country to absorb. Key will be restraining inflation."
"10","Spoke on House Floor this pm opposing stimulus package. Wish we were collaborating on a pro-growth package rather than swallowing new debt"
"11","Reflecting on telephone town hall meeting last night. Debt &amp; deficit were uppermost in people's minds. Good Qs about how to get to balance."
"12","Headed to GSP then DC. Wish a better stimulus package were coming to the Floor. I'm """"yes"""" to pro-growth policies; """"no"""" to piling on debt."
"13","We need to be accountable and pass a real budget--one that shows how we will close the $1.4 trillion deficit and pay off $13 trillion debt."
"14","Next vote on House Floor will be """"Son of Stimulus"""" bill that diverts TARP repayments to new spending. Surreal to spend in face of such debt."
"15","At the doors in Converse Heights today deficit/debt, jobs, state budget cuts, energy policy and Saturday mail delivery were the issues."
"16","Just finishing up door to door on Blue Ridge Lane in Greer. Real concern about deficit/debt. Talked with folks about pizza debt discussions."
"17","Going door to door Holmes Drive in Greenville. Linda just told me we've reached tipping point in deficit/debt awareness; folks ready to act."
"18","As I said at Budget Cmte today, the general interest of the many (paying down the debt) may be overtaking the special interest of the few."
"19","Take away from Let's Talk: Tea parties show that Americans are ready to fight debt/growth of gov't.  Hard choices but solutions are at hand"
"20","Headed to Let's Talk Greenville at the Ham House. Looking forward to rallying commitment to deal with the debt. Ready to stop the spending?"
"21","On House floor now for debate on debt ceiling increase. Ds will increase debt limit and then move on to pass a bill spending more."
"22","Outrageous! House Dems APPLAUD Passage of $1.9 Trillion Debt Limit Increase http://j.mp/dszcAo http://bit.ly/9gxryl"
"23","The House will vote today to put every man woman &amp; child in the US $6,000 more in debt: http://j.mp/bN9IYr When... http://bit.ly/da4Caa"
"24","RT @GOPLeader FACT CHECK: �Healthcare Bill Would Add Billions To The Country�s Debt� http://ow.ly/1p8zC  #hcr"
"25","RT @CathyMcMorris Nat'l debt will increase by $150K+ in the time it takes you to read this tweet http://usdebtclock.org/ #namesomethingawful"
"26","RT @johnboehner: From @politico: CBO chief says debt 'unsustainable' http://bit.ly/aZzGRY"
"27","Dems: Raising taxes a realistic option for cutting $12 trillion debt http://ow.ly/1cXET"
"28","I voted """"No"""" today on the Dems $1.9 trillion debt limit increase, but it passed 217-212. http://bit.ly/cEA8eN"
"29","Outrageous! House Dems APPLAUD Passage of $1.9 Trillion Debt Limit Increase http://j.mp/dszcAo (RT@ChiefDeputyWhip GOPWhip)#tcot #gop #debt"
"30","Congressional Democrats set to reject any spending freeze.  Looks like we could be facing even more national debt... http://bit.ly/a23JGt"
"31","RT @GOPWhip: New #debt limit would lead to $46,319/person or $121,982/household ownership of the debt #tcot #tlot #ocra #gop"
"32","Democrats have repeatedly promised the American people change, instead they voted for a massive amount of debt.... http://bit.ly/cNi2xm"
"33","RT @foxnews    POLITICS: House Backs $290 Billion Increase in Federal Debt Limit http://bit.ly/6oGKdW"
"34","Treasury Report Says U.S. Debt on Fast Track to Levels that Brought About Greek Collapse:  http://bit.ly/ayonHq #politics"
