"","x"
"1","RT @RepDaveCamp: 45% Of Doctors Would Consider Quitting If Congress Passes Health Care Overhaul http://tinyurl.com/nmyxkd #news #tcot #hc09"
"2","RT@GOPLeader @wsjusnews GOP Set to Propose Its Own Health Bill http://bit.ly/1hAMku #healthcare #tcot #tlot
33 minutes ago from HootSuite"
"3","RT @GOPWhip New health care video """"Required"""": http://tinyurl.com/nfw5co #tcot"
"4","RT @GOPLeader    Dean of Harvard Medical School: Dems� #healthcare will increase costs and undermine innovation http://bit.ly/hutZG #tcot"
"5","RT @RepShimkus Side by side, the Pelosi Health Care Bill and the GOP Alternative: http://twitpic.com/o8zuh More freedom or more government?"
"6","RT @Senate_GOPs Sen. McConnell: Dem #healthcare bill is """"a trillion dollar experiment"""" http://bit.ly/C4VXh"
"7","RT @GOPLeader Pelosi�s mega-bureaucracy exposed: Here�s the chart Speaker Pelosi doesn�t want you to see http://bit.ly/1GwO1K #healthcare"
"8","RT @RepMikePence RT: New Video: """"Let Your Voice Be Heard"""" re: Pelosi #HealthCare Bill: http://j.mp/2vpa8r #handsoff #tcot #hcr"
"9","RT@GOPWhip Please RT VIDEO Here It Is: Our Bill http://bit.ly/WABnf #tcot #obamacare #healthcare #handsoff #gop #conservative #republican"
"10","Glad to see that VA AG @KenCuccinelli won case against obama health care law. Judge declared it unconstitutional. #hcrcostsjobs"
"11","Appearing on MSNBC at 12:30 ET to talk about the Senate jobs bill and health care summit"
"12","RT @repcliffstearns Stearns, Grayson duel over health care study .. http://bit.ly/8e8cEb #healthcare #tcot #hcr"
"13","RT @GOPLeaderThe Pelosi health care bill � all 1,990 pages � is available for review here  http://bit.ly/2YgMYA"
"14","Here is how the Dems' health care plan would affect the 18th District of Illinois http://tinyurl.com/mbpv3h"
"15","RT @BigJohnShow: This morning @edcurran will join us in studio. Plus @repaaronschock talks health care at 7:45 and @CurtisSliwa at 8:35."
"16","ICYMI: @RasmussenPoll http://bit.ly/iVRt0 says 56% of Americans opposed to Pelosi�s health reform plan."
"17","Just arrived at the Capitol and the House will begin floor debate on healthcare shortly.  Find the GOP substitute at http://bit.ly/EEFOu"
"18","Only GOP health care reform gets at heart of crisis by slashing costs with competition and increasing access with choice and transparency."
"19","Great WSJ Editorial - stay informed as healthcare debate continues in DC. The plan may start to shape up this week. http://bit.ly/4ASTID"
"20","In Nancy Pelosi�s alternative universe, House doesn�t need to vote on healthcare reform to pass it. Read WSJ OP-ED at http://bit.ly/cwBHYN"
"21","ICYMI: Health care reform contradiction-Dems talk Medicare protection, but push $500 billion in Medicare cuts. http://bit.ly/18yXOk"
"22","RT @BuckMcKeon Senate Committee Rejects Public Option for Health Overhaul nearly 2 to 1: http://bit.ly/1jQGet"
"23","In cased you missed it: CBO says President's health plan not detailed enough to score.  From @ TheHill http://bit.ly/by7tZa"
"24","Americans for Tax Reform - Admin breaks pledge not to increase taxes on those earning &amp;lt;$250,000 for new health plan. http://bit.ly/b8jF6i"
"25","http://twitpic.com/odywm - Great to be on the Capitol steps with thousands who were in DC to protest the Pelosi healthcare bill."
"26","Finance Cmte's health bill raises costs, jeopardizes current benefits, leaves millions w/o coverage. I can't support that type of reform."
"27","Problems exist with health care, but change for the sake of change is not necessarily good. Congress needs to take the time to get it right."
"28","Dems want to gamble with one-sixth of the U.S. economy with their health care plan. Americans reject it, so do I. Go to crenshaw.house.gov."
"29","Just voted no on Democrat takeover of health care. Will continue to voice my strong opposition to ObamaCare."
"30","Hosting a healthcare telephone town hall meeting with constituents from the 4th district.  http://yfrog.com/3ol06j"
"31","Tonight's telephone townhall with 5,000 residents provided great thoughts on healthcare, FairTax and the ecomony. I appreciate your input!"
"32","Took lots of your calls on health care legislation today and hear your loud &amp; clear - no government takeover!  I couldn't agree more!"
"33","With another healthcare vote soon, House GOP plan meets the president's goals for reform, without a government takeover of health care."
"34","Republicans propose true health care reform: Allow Americans to choose their own doctor and get the treatment they need when they need it."
"35","Obama, Pelosi still insist on ramming health care takeover through Congress. This big govt. plan wrong for Florida, wrong for nation."
"36","Just finished tele townhall mtg with 8,000 residents-90% on the call supported my """"no"""" vote on health care reform. Thanks for your input!"
"37","CBO: health reform would worsen bleak budget outlook, increase deficit projections and drive US more deeply into debt. http://bit.ly/zXlw0"
"38","On health reform, we all share a common goal - make more coverage available to those who cannot otherwise afford it. http://bit.ly/38AMst"
"39","GOP�s Pledge to America offers real solutions to nation�s top priorities: economy, jobs, health care, and more.  http://tiny.cc/etkff"
"40","My Times Union Op-Ed on empty promises versus real solutions for health care  - http://bit.ly/8guYy"
"41","Tonight's tele-townhall with 6,000 residents provided great thoughts on the deficit, immigration, and healthcare. I appreciate your input!"
"42","CBO: Dem health care plan costs $1 tillion, raises taxes, cuts Medicare, hikes insurance. GOP plan provides more access to affordable care."
"43","Just cast my vote against the $1.3 trillion Pelosi government healthcare takeover.  Unfortunately, the bill passed by 220 - 215."
"44","Just voted to remove funding for abortions in the health care bill.  The Stupak amendment passed 240 - 194."
"45","On the House floor now ... speaking soon on impacts of Pelosi plan on military health care. Tune in on C-SPAN."
"46","CBO states that the GOP healthcare option costs $61 billion, or 5% of the $1.3 trillion Pelosi bill and will lower HC costs to taxpayers."
"47","The Democrats� version of HC reform is wrong RX for America. GOP option lowers healthcare costs without raising taxes. http://bit.ly/3egbPd"
"48","What everyone should read and remember about the Pelosi Plan to takeover health care. Great Wall St. Journal piece - http://bit.ly/NnrrY"
