"","x"
"1","RT@GOPLeader @wsjusnews GOP Set to Propose Its Own Health Bill http://bit.ly/1hAMku #healthcare #tcot #tlot
33 minutes ago from HootSuite"
"2","RT @GOPLeader    Dean of Harvard Medical School: Dems� #healthcare will increase costs and undermine innovation http://bit.ly/hutZG #tcot"
"3","RT @Senate_GOPs Sen. McConnell: Dem #healthcare bill is """"a trillion dollar experiment"""" http://bit.ly/C4VXh"
"4","RT @GOPLeader Pelosi�s mega-bureaucracy exposed: Here�s the chart Speaker Pelosi doesn�t want you to see http://bit.ly/1GwO1K #healthcare"
"5","RT @RepMikePence RT: New Video: """"Let Your Voice Be Heard"""" re: Pelosi #HealthCare Bill: http://j.mp/2vpa8r #handsoff #tcot #hcr"
"6","RT@GOPWhip Please RT VIDEO Here It Is: Our Bill http://bit.ly/WABnf #tcot #obamacare #healthcare #handsoff #gop #conservative #republican"
"7","RT @repcliffstearns Stearns, Grayson duel over health care study .. http://bit.ly/8e8cEb #healthcare #tcot #hcr"
"8","Just arrived at the Capitol and the House will begin floor debate on healthcare shortly.  Find the GOP substitute at http://bit.ly/EEFOu"
"9","Great WSJ Editorial - stay informed as healthcare debate continues in DC. The plan may start to shape up this week. http://bit.ly/4ASTID"
"10","In Nancy Pelosi�s alternative universe, House doesn�t need to vote on healthcare reform to pass it. Read WSJ OP-ED at http://bit.ly/cwBHYN"
"11","http://twitpic.com/odywm - Great to be on the Capitol steps with thousands who were in DC to protest the Pelosi healthcare bill."
"12","Hosting a healthcare telephone town hall meeting with constituents from the 4th district.  http://yfrog.com/3ol06j"
"13","Tonight's telephone townhall with 5,000 residents provided great thoughts on healthcare, FairTax and the ecomony. I appreciate your input!"
"14","With another healthcare vote soon, House GOP plan meets the president's goals for reform, without a government takeover of health care."
"15","Tonight's tele-townhall with 6,000 residents provided great thoughts on the deficit, immigration, and healthcare. I appreciate your input!"
"16","Just cast my vote against the $1.3 trillion Pelosi government healthcare takeover.  Unfortunately, the bill passed by 220 - 215."
"17","CBO states that the GOP healthcare option costs $61 billion, or 5% of the $1.3 trillion Pelosi bill and will lower HC costs to taxpayers."
"18","The Democrats� version of HC reform is wrong RX for America. GOP option lowers healthcare costs without raising taxes. http://bit.ly/3egbPd"
"19","Great @CalHealthcare event yesterday. #SanDiego is truly home to biomedical innovation. Pics at http://bit.ly/c6MWdJ #California #gop #dem"
"20","On MSNBC's Ed Show at 6 PM EST tonight re: #healthcare, and FOX BIZ tomorrow at 8 and 8:30 AM EST re: #G20 and job figures #tcot #gop"
"21","Here's a blog I wrote on Facebook about the """"public option"""" in healthcare--the snake that isn't dead yet: http://wurl.ws/ZQDg"
"22","RT @RepMikePence: Dem #healthbill=$52B in new taxes on employers who already cannot afford to give employees #healthcare: http://is.gd/aQdZU"
"23","RT @WMRepublicans#healthcare #taxes Democrats Confirm Their Health Bill Penalizes Married Couples http://bit.ly/8PiFq6"
"24","RT @GOPLeader (VIDEO) Dems Already Moving to Ditch Pro-Life Amendment to Pelosi�s Government Takeover of #HealthCare http://bit.ly/3QTzG7"
"25","RT @GOPLeader FACT CHECK: �Healthcare Bill Would Add Billions To The Country�s Debt� http://ow.ly/1p8zC  #hcr"
"26","The Baucus Bill: Cuts For Seniors http://bit.ly/8ljqj #handsoff #tcot #sgp #healthcare #hcr"
"27","RT @GOPWhip The reconciliation #healthcare bill was just posted:
http://j.mp/aUWBUK All Americans deserve to read the #hc bill. #tcot"
"28","RT @GOPWhip How would the Dems' health care plan affect your district? http://tinyurl.com/mgo546 #handsoff #healthcare #obamacare"
"29","Thanks for your interest in #healthcare, The Tele-Town hall for @BuckMcKeon is now pushed back to tomorrow, tx Live at http://ustre.am/2TJa"
"30","From @RepTomPrice :  AMA Faces Revolt By State Branches who don't support the Dem #healthcare bill #tcot http://ow.ly/zYpU"
"31","RT @Senate_GOPs Harry Reid's mammoth, 2,074-page #healthcare bill would take 16,195 tweets to post in its entirety. #tcot"
"32","RT @RepBillShuster: Dems are using delaying tactics to slow down the debate on healthcare.  Why if they have the votes?  #healthcare"
"33","RT @SenateDoctors AMA doesn't speak for all doctors. Medical Society of NJ opposes Pelosi #healthcare bill: http://bit.ly/2306rt #tcot"
"34","#9 No effective medical liability reform/tort reform in the Democrat #healthcare bill, costs of defensive medicine on rise http://ow.ly/zX4L"
"35","We've just received notice that the House phone lines are nearing capacity due to calls on  #healthcare"
"36","Democrat #healthcare plan creates 111 new layers of bureaucracy by the use of commissions, programs, bureaus and offices http://ow.ly/zVM1"
"37","""""Bill will save $ long term"""" - @EdwardRobins,  The #healthcare bill will cost $1.05 Trillion over ten years"
"38","I agree, Just Say NO to HR3962 @ham1299 #healthcare"
"39","Centers for Medicare and Medicaid Actuary estimates 12 million people will lose employer-based coverage under Democrat #healthcare plan"
"40","Democrat #healthcare bill includes $729.5 Billion of new tax hikes on everyone from individuals, to working families, to small businesses"
"41","Thanks for your interest in #healthcare, The Tele-Town hall for @BuckMcKeon is now pushed back to tomorrow, tx  Live at http://ustre.am/2TJa"
"42","@Alysa6 Thanks, I look forward to hearing what you have to say about #healthcare"
"43","Republicans bring openness to #healthcare debate; stream live video of discussions on USTREAM http://bit.ly/3a6ls2"
