"","x"
"1","RT @GOPLeader RT @WSJopinion John Boehner and Mitch McConnell: ObamaCare and the 'Buzzsaw' of Opposition http://bit.ly/bldQv3 #hcr"
"2","RT @GOPWhip    Newsweek: Presidential confab to create jobs won't work; rethinking some of Obama's policies might http://j.mp/69EziH #tcot"
"3","RT @peterroskam Just asked @barackobama where is the bipartisanship you had in Illinois? Watch: http://bit.ly/bf4dfZ"
"4","RT@GOPWhip Please RT VIDEO Here It Is: Our Bill http://bit.ly/WABnf #tcot #obamacare #healthcare #handsoff #gop #conservative #republican"
"5","RT @darrellissa Don't let Obama white wash climate change dissent.
WATCH and help these brave EPA whistleblowers http://bit.ly/39YawT"
"6","RT @darrellissa $787 billion �stimulus� + Obama @whitehouse= how many American jobs again? http://bit.ly/cXzjUN @whpresscorps"
"7","Glad to see that VA AG @KenCuccinelli won case against obama health care law. Judge declared it unconstitutional. #hcrcostsjobs"
"8","How about sending the pending FTA's to Congress? RT @kararowland Obama: """"Let me be clear: I am open to every demonstrably good idea."""""
"9","RT RepMikePence  Washington Post editorial board not convinced with @BarackObama's """"jobs plan"""" http://amplify.com/u/14kw"
"10","RT @NatResourcesGOP When Obama returns, will he consider all-of-the-above energy @ his jobs-but-not-job-creation-summit? http://is.gd/4YfuT"
"11","Cavuto and I talk about Pres Obama's proposed tax increase http://tinyurl.com/c89ntu"
"12","RT @RepublicanStudy: Plenty of Schock, Very Little Awe at Mandatory Obama Signage http://bit.ly/aND98J #YouCut @repaaronschock"
"13","Pelosi and Obama want to take over heath care and raise your taxes. Didn't support their plan last fall and will vote against it again."
"14","Just voted no on Democrat takeover of health care. Will continue to voice my strong opposition to ObamaCare."
"15","Obama, Pelosi still insist on ramming health care takeover through Congress. This big govt. plan wrong for Florida, wrong for nation."
"16","More than 5,000 joined my live Teletown Thurs. night. Thanks! A majority of callers still oppose ObamaCare - support repeal &amp; replace."
"17","Bachus Votes to Prevent IRS From Enforcing ObamaCare http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=1017&amp;Itemid=104"
"18","RT@WMRepublicans Obama Administration Report Confirms Democrat Health Law Increases Health Care Spending http://bit.ly/aTD2tN"
"19","RT @darrellissa Did SEC coordinate Goldman charges w/ Obama Admin?
SEC watchdog will investigate at my request: http://tinyurl.com/3alal9m"
"20","#FF Said NO to #ObamaCare hangover @patrickmchenry @Jim_Jordan @jasoninthehouse @darrellissa @jeffflake @repaaronschock"
"21","My @MSNBC interview with @DavidShuster on covering illegals under Obama's health care plan http://bit.ly/afUsbW #sandiego #gop #dem"
"22","Just spoke with Tom Reopelle from @KNX1070 about President Obama putting 1,200 troops on the US-Mex border."
"23","Reaction on Fox Business to Obama's econ speech today: http://bit.ly/5vDyib #sandiego #gop #dem"
"24","Obama Administration trying to block Arizona from enforcing Immigration Law: http://bit.ly/aiXlKH #SanDiego #GOP #Dem"
"25","Obama can pass immigration reform by focusing on employers exploiting illegal labor: http://bit.ly/daLvE8"
"26","Talking with Chip Franklin and Mark Larson tomorrow morning in the 7:00 AM hour. We'll be discussing Gov Brewer's meeting with Obama."
