"","x"
"1","Neutral"
"2","Positive"
"3","Positive"
"4","Positive"
"5","Positive"
"6","Positive"
"7","Positive"
"8","Neutral"
"9","Neutral"
"10","Neutral"
"11","Neutral"
"12","Positive"
"13","Negative"
"14","Neutral"
"15","Neutral"
"16","Positive"
"17","Positive"
"18","Neutral"
"19","Negative"
"20","Negative"
"21","Neutral"
"22","Negative"
"23","Positive"
"24","Neutral"
"25","Neutral"
"26","Neutral"
"27","Negative"
"28","Neutral"
"29","Neutral"
"30","Negative"
"31","Negative"
"32","Neutral"
"33","Negative"
"34","Positive"
"35","Positive"
"36","Negative"
"37","Positive"
"38","Positive"
"39","Negative"
"40","Negative"
"41","Positive"
"42","Positive"
"43","Negative"
"44","Positive"
"45","Neutral"
"46","Negative"
"47","Neutral"
"48","Positive"
"49","Positive"
"50","Positive"
"51","Positive"
"52","Negative"
"53","Positive"
"54","Positive"
"55","Positive"
"56","Positive"
"57","Positive"
"58","Neutral"
"59","Positive"
"60","Positive"
"61","Positive"
"62","Negative"
"63","Neutral"
"64","Positive"
"65","Negative"
"66","Positive"
"67","Neutral"
"68","Positive"
"69","Neutral"
"70","Positive"
"71","Negative"
"72","Neutral"
"73","Positive"
"74","Positive"
"75","Negative"
"76","Negative"
"77","Positive"
"78","Positive"
"79","Neutral"
"80","Neutral"
"81","Negative"
"82","Positive"
"83","Positive"
"84","Positive"
"85","Positive"
"86","Positive"
"87","Positive"
"88","Positive"
"89","Neutral"
"90","Negative"
"91","Negative"
"92","Neutral"
"93","Neutral"
"94","Neutral"
"95","Neutral"
"96","Neutral"
"97","Neutral"
"98","Neutral"
"99","Neutral"
"100","Neutral"
"101","Neutral"
"102","Neutral"
"103","Neutral"
"104","Neutral"
"105","Neutral"
"106","Neutral"
"107","Neutral"
"108","Neutral"
"109","Neutral"
"110","Neutral"
"111","Neutral"
"112","Neutral"
"113","Neutral"
"114","Neutral"
"115","Neutral"
"116","Neutral"
"117","Neutral"
"118","Neutral"
"119","Neutral"
"120","Neutral"
"121","Neutral"
"122","Neutral"
"123","Neutral"
"124","Neutral"
"125","Neutral"
"126","Neutral"
"127","Neutral"
"128","Neutral"
"129","Neutral"
"130","Neutral"
"131","Neutral"
"132","Neutral"
"133","Neutral"
"134","Neutral"
"135","Neutral"
"136","Neutral"
"137","Neutral"
"138","Neutral"
"139","Neutral"
"140","Neutral"
"141","Neutral"
"142","Neutral"
"143","Neutral"
"144","Neutral"
"145","Neutral"
"146","Neutral"
"147","Neutral"
"148","Neutral"
"149","Neutral"
"150","Neutral"
"151","Neutral"
"152","Neutral"
"153","Neutral"
"154","Neutral"
"155","Neutral"
"156","Neutral"
"157","Neutral"
"158","Neutral"
"159","Neutral"
"160","Neutral"
"161","Neutral"
"162","Neutral"
"163","Neutral"
"164","Neutral"
"165","Neutral"
"166","Neutral"
"167","Neutral"
"168","Neutral"
"169","Neutral"
"170","Neutral"
"171","Neutral"
"172","Neutral"
"173","Neutral"
"174","Neutral"
"175","Neutral"
"176","Neutral"
"177","Neutral"
"178","Neutral"
"179","Neutral"
"180","Neutral"
"181","Neutral"
"182","Neutral"
"183","Neutral"
"184","Neutral"
"185","Neutral"
"186","Neutral"
"187","Neutral"
"188","Neutral"
"189","Neutral"
"190","Neutral"
"191","Neutral"
"192","Neutral"
"193","Neutral"
"194","Neutral"
"195","Neutral"
"196","Neutral"
"197","Neutral"
"198","Neutral"
"199","Neutral"
"200","Neutral"
"201","Neutral"
