"","x"
"1","Neutral"
"2","Positive"
"3","Positive"
"4","Neutral"
"5","Negative"
"6","Neutral"
"7","Positive"
"8","Positive"
"9","Neutral"
"10","Positive"
"11","Positive"
"12","Negative"
"13","Positive"
"14","Positive"
"15","Neutral"
"16","Positive"
"17","Positive"
"18","Negative"
"19","Negative"
"20","Positive"
"21","Positive"
"22","Neutral"
"23","Neutral"
"24","Negative"
"25","Neutral"
"26","Positive"
"27","Neutral"
"28","Positive"
"29","Positive"
"30","Positive"
"31","Negative"
"32","Positive"
"33","Negative"
"34","Positive"
"35","Positive"
"36","Neutral"
"37","Positive"
"38","Neutral"
"39","Positive"
"40","Positive"
"41","Negative"
"42","Positive"
"43","Negative"
"44","Neutral"
"45","Positive"
"46","Positive"
"47","Positive"
"48","Positive"
"49","Negative"
"50","Positive"
"51","Positive"
"52","Negative"
"53","Neutral"
"54","Positive"
"55","Positive"
"56","Negative"
"57","Negative"
"58","Negative"
"59","Negative"
"60","Negative"
"61","Negative"
"62","Neutral"
"63","Neutral"
"64","Negative"
"65","Positive"
"66","Positive"
"67","Negative"
"68","Negative"
"69","Neutral"
"70","Negative"
"71","Positive"
"72","Neutral"
"73","Negative"
"74","Positive"
"75","Negative"
"76","Positive"
"77","Positive"
"78","Negative"
"79","Positive"
"80","Positive"
"81","Positive"
"82","Negative"
"83","Positive"
"84","Negative"
"85","Positive"
"86","Negative"
"87","Positive"
"88","Positive"
"89","Negative"
"90","Positive"
"91","Positive"
"92","Negative"
"93","Neutral"
"94","Positive"
"95","Negative"
"96","Positive"
"97","Neutral"
"98","Negative"
"99","Positive"
"100","Negative"
"101","Negative"
"102","Negative"
"103","Negative"
"104","Negative"
"105","Positive"
"106","Neutral"
"107","Neutral"
"108","Positive"
"109","Negative"
"110","Positive"
"111","Neutral"
"112","Negative"
"113","Positive"
"114","Positive"
"115","Negative"
"116","Negative"
"117","Negative"
"118","Neutral"
"119","Neutral"
"120","Positive"
"121","Positive"
"122","Negative"
"123","Negative"
"124","Positive"
"125","Positive"
"126","Neutral"
"127","Negative"
"128","Positive"
"129","Positive"
"130","Neutral"
"131","Negative"
"132","Positive"
"133","Negative"
"134","Positive"
"135","Negative"
"136","Negative"
"137","Positive"
"138","Neutral"
"139","Positive"
"140","Positive"
"141","Neutral"
"142","Negative"
"143","Negative"
"144","Positive"
"145","Positive"
"146","Neutral"
"147","Positive"
"148","Neutral"
"149","Positive"
"150","Negative"
"151","Positive"
"152","Positive"
"153","Positive"
"154","Positive"
"155","Neutral"
"156","Neutral"
"157","Positive"
"158","Neutral"
"159","Positive"
"160","Positive"
"161","Positive"
"162","Neutral"
"163","Negative"
"164","Negative"
"165","Positive"
"166","Negative"
"167","Neutral"
"168","Negative"
"169","Neutral"
"170","Neutral"
"171","Neutral"
"172","Neutral"
"173","Positive"
"174","Positive"
"175","Negative"
"176","Neutral"
"177","Positive"
"178","Neutral"
"179","Negative"
"180","Neutral"
"181","Neutral"
"182","Positive"
"183","Negative"
"184","Neutral"
"185","Negative"
"186","Positive"
"187","Positive"
"188","Negative"
"189","Positive"
"190","Neutral"
"191","Neutral"
"192","Positive"
"193","Positive"
"194","Positive"
"195","Positive"
"196","Positive"
"197","Negative"
"198","Negative"
"199","Negative"
"200","Negative"
"201","Positive"
"202","Neutral"
"203","Negative"
"204","Negative"
"205","Negative"
"206","Positive"
"207","Negative"
"208","Positive"
"209","Negative"
"210","Neutral"
"211","Negative"
"212","Neutral"
