"","x"
"1","Neutral"
"2","Positive"
"3","Neutral"
"4","Negative"
"5","Positive"
"6","Positive"
"7","Positive"
"8","Neutral"
"9","Positive"
"10","Positive"
"11","Neutral"
"12","Neutral"
"13","Positive"
"14","Positive"
"15","Positive"
"16","Negative"
"17","Positive"
"18","Negative"
"19","Positive"
"20","Neutral"
"21","Negative"
"22","Positive"
"23","Neutral"
"24","Negative"
"25","Negative"
"26","Negative"
"27","Positive"
"28","Positive"
"29","Positive"
"30","Neutral"
"31","Neutral"
"32","Negative"
"33","Neutral"
"34","Negative"
"35","Positive"
"36","Positive"
"37","Positive"
"38","Positive"
"39","Negative"
"40","Positive"
"41","Positive"
"42","Positive"
"43","Positive"
"44","Positive"
"45","Negative"
"46","Positive"
"47","Positive"
"48","Positive"
"49","Negative"
"50","Positive"
"51","Neutral"
"52","Positive"
"53","Neutral"
"54","Positive"
"55","Positive"
"56","Positive"
"57","Positive"
"58","Neutral"
"59","Positive"
"60","Positive"
"61","Positive"
"62","Negative"
"63","Neutral"
"64","Positive"
"65","Positive"
"66","Negative"
"67","Positive"
"68","Positive"
"69","Negative"
"70","Negative"
"71","Negative"
"72","Positive"
"73","Neutral"
"74","Positive"
"75","Positive"
"76","Positive"
"77","Positive"
"78","Neutral"
"79","Positive"
"80","Negative"
"81","Neutral"
"82","Neutral"
"83","Positive"
"84","Negative"
"85","Negative"
"86","Negative"
"87","Negative"
"88","Neutral"
"89","Positive"
"90","Negative"
"91","Negative"
"92","Positive"
"93","Positive"
"94","Positive"
"95","Positive"
"96","Positive"
"97","Positive"
"98","Positive"
"99","Positive"
"100","Neutral"
"101","Positive"
"102","Negative"
"103","Negative"
"104","Neutral"
"105","Positive"
"106","Positive"
"107","Negative"
"108","Negative"
"109","Positive"
"110","Positive"
"111","Positive"
"112","Positive"
"113","Negative"
"114","Positive"
"115","Positive"
"116","Negative"
"117","Negative"
"118","Positive"
"119","Neutral"
"120","Negative"
"121","Positive"
"122","Positive"
"123","Positive"
"124","Negative"
"125","Negative"
"126","Positive"
"127","Positive"
"128","Negative"
"129","Positive"
"130","Negative"
"131","Positive"
"132","Positive"
"133","Negative"
"134","Positive"
"135","Positive"
"136","Positive"
"137","Negative"
"138","Positive"
"139","Positive"
"140","Negative"
"141","Negative"
"142","Negative"
"143","Positive"
"144","Positive"
"145","Negative"
"146","Negative"
"147","Negative"
"148","Positive"
"149","Positive"
"150","Positive"
"151","Positive"
"152","Negative"
"153","Positive"
"154","Positive"
"155","Positive"
"156","Neutral"
"157","Positive"
"158","Positive"
"159","Positive"
"160","Positive"
"161","Positive"
"162","Positive"
"163","Positive"
"164","Negative"
"165","Positive"
"166","Neutral"
"167","Positive"
"168","Negative"
"169","Positive"
"170","Positive"
"171","Positive"
"172","Positive"
"173","Negative"
"174","Positive"
"175","Positive"
"176","Neutral"
"177","Neutral"
"178","Positive"
"179","Neutral"
"180","Positive"
"181","Positive"
"182","Positive"
"183","Neutral"
"184","Positive"
"185","Neutral"
"186","Positive"
"187","Neutral"
"188","Positive"
"189","Positive"
"190","Neutral"
"191","Positive"
"192","Positive"
"193","Negative"
"194","Neutral"
"195","Positive"
"196","Positive"
"197","Negative"
"198","Neutral"
"199","Neutral"
"200","Positive"
"201","Positive"
"202","Neutral"
"203","Positive"
"204","Positive"
"205","Neutral"
"206","Neutral"
"207","Neutral"
"208","Neutral"
"209","Positive"
"210","Neutral"
"211","Neutral"
"212","Neutral"
"213","Positive"
