"","x"
"1","RT @NatResourcesGOP When Obama returns, will he consider all-of-the-above energy @ his jobs-but-not-job-creation-summit? http://is.gd/4YfuT"
"2","Heading to the House Floor now to cast my """"NO"""" vote on the $846 billion energy tax."
"3","Florida stands to lose nearly 100,000 jobs in coming years under Nancy Pelosi�s energy tax plan.  Another reason to vote against the bill."
"4","The $846 billion energy tax will hurt every American family and increase the cost of everything from electricity to gas and groceries!"
"5","A national energy tax is the wrong approach to solving America�s energy dilemma. Speaker Pelosi should shelve �cap and trade� legislation."
"6","Just introduced the American Energy Act with 92 of my colleagues.  For more details, http://www.crenshaw.house.gov."
"7","#EcoMonday #Green: @GreenEnergyNews @AlgaeEnergy @GreenFuelNews @GreenNewsTweets @GreenCelebrity @AlgaeFuelGuy @GreenEnergyBlog @bdigest"
"8","Last night's piece on @KUSI_News on #renewable #energy in #SanDiego: http://bit.ly/cq7egc #green #tech #algae"
"9","#FF #Green: @GreenEnergyNews @AlgaeEnergy @GreenFuelNews @GreenNewsTweets @DenverSolarGuy @AlgaeFuelGuy @GreenEnergyBlog @GreenCelebrity"
"10","Let's not forget about our energy future, especially with #AlgaeFuel: @AlgaeEnergy @GreenFuelNews @bdigest @algaebiofuels"
"11","#EcoMonday #AlgaeFuel: @AlgaeFuelGuy @AlgaeEnergy @GreenFuelNews @bdigest @algaebiofuels"
"12","#EcoMonday #Green: @GreenEnergyNews @AlgaeEnergy @GreenFuelNews @GreenNewsTweets @GreenCelebrity @AlgaeFuelGuy @GreenEnergyBlog @bdigest"
"13","#FF #Green: @GreenEnergyNews @GreenNewsTweets @GreenCelebrity @GreenEnergyBlog @bdigest @REWorld @YourRenewable @physorg_com"
"14","#EcoMonday #AlgaeFuel: @AlgaeFuelGuy @AlgaeEnergy @GreenFuelNews @bdigest @algaebiofuels"
"15","#EcoMonday #Green: @GreenEnergyNews @AlgaeEnergy @GreenFuelNews @GreenNewsTweets @GreenCelebrity @AlgaeFuelGuy @GreenEnergyBlog @bdigest"
"16","#EcoMonday: Govt regs must support #renewable energy--like #algae fuel. http://bit.ly/bLNOqL #SanDiego #GOP #Dem"
"17","#FF #Green: @GreenEnergyNews @GreenNewsTweets @GreenCelebrity @GreenEnergyBlog @bdigest @REWorld @YourRenewable @physorg_com"
"18","#FF #Green: @GreenEnergyNews @AlgaeEnergy @GreenFuelNews @GreenNewsTweets @GreenCelebrity @AlgaeFuelGuy @GreenEnergyBlog @bdigest"
"19","#FF #Green: @GreenEnergyNews @AlgaeEnergy @GreenFuelNews @GreenNewsTweets @GreenCelebrity @AlgaeFuelGuy @GreenEnergyBlog @bdigest"
"20","#FF #Green: @GreenEnergyNews @AlgaeEnergy @GreenFuelNews @GreenNewsTweets @DenverSolarGuy @AlgaeFuelGuy @GreenEnergyBlog @bdigest"
"21","#FF #Green: @GreenEnergyNews @AlgaeEnergy @GreenFuelNews @GreenNewsTweets @GreenCelebrity @AlgaeFuelGuy @GreenEnergyBlog @bdigest"
"22","#FF #Green: @GreenEnergyNews @AlgaeEnergy @GreenFuelNews @GreenNewsTweets @DenverSolarGuy @AlgaeFuelGuy @GreenEnergyBlog @GreenCelebrity"
"23","#FF #Green: @GreenEnergyNews @AlgaeEnergy @GreenFuelNews @GreenNewsTweets @DenverSolarGuy @AlgaeFuelGuy @GreenEnergyBlog @GreenCelebrity"
"24","Please keep #earthday in mind all year long. #SanDiego is truly a national leader on renewable energy solutions. #green #gop #dem"
"25","Thanks @bdigest for naming me in top ppl in Washington: renewable #energy and #bioenergy. http://bit.ly/bGkzlf #california #green #earthday"
"26","Attended tonight's State of the Union: great to hear about energy and immigration, but maybe more on bipartisanship? #sandiego #dem #gop"
"27","Many issues out there, let's not forget about our energy future http://bit.ly/4psaw0 #sandiego #green #tech #gop #dem"
"28","Algae fuel... Not the only solution... But certainly part of the overall energy future. #green #tech  http://pic.gd/cac1c3"
"29","@KGTV coverage of bipartisan Energy and Water Bill coverage in San Diego. http://j.mp/HltrS #gop #dem #sandiego #green #tech"
"30","I uploaded a YouTube video -- KUSI Announces SD-CAB Funding Passes House in Energy Bill http://bit.ly/XGsEE"
"31","Getting ready to speak on House Floor about the connection between new energy technologies and economic recovery."
"32","House Energy &amp; Commerce Committee resuming mark up of health care bill. Blue Dog Democrats may have caved and accepted public option."
"33","Spoke on the House Floor twice tonight: a """"one minute"""" lamenting Pres. Obama's stem cell decision and a """"five minute"""" on energy insecurity."
"34","Just spoke on House Floor about the danger and the opportunity in our energy insecurity.  Sound economics and accountability are the keys"
"35","Getting ready to speak on House Floor about energy security. Going to say that hope is not a strategy--sound economic principles are."
