"","x"
"1","The bill that the House is planning to vote on this week contains no fewer than seven tax hikes on families making... http://bit.ly/aFeXf5"
"2","WP reporting House Dems will not use deem and pass to jam health care through"
"3","Preparing to speak on House Floor honoring Pennsylvania State Trooper Paul G. Richey who died in the line of duty on January 13th."
"4","On the House Floor managing House Concurrent Resolution 164 recognizing the 40th Anniversary of the Food and Nutrition Service of the USDA."
"5","On the floor mnging Ag Bills including National Dairy Month House Res 507 recognizing contributions of Dairy Farmers #rs #tcot"
"6","On House Floor managing HR 1777 of the Higher Education Act.  This Bill assures education benefits for children of our fallen heroes."
"7","You could employ 100 people, receive $10 million """"simulus"""" grant &amp; @WhiteHouse could claim 100 jobs funded! Are we that easy to fool?"
"8","will soon be speaking during debate - tune in the @HouseFloor to listen http://cspan.org/ #economy #smallbiz"
"9","TUNE-IN to C-SPAN - I will be speaking on the @HouseFloor shortly http://c-span.org/"
"10","http://roe.house.gov/News/DocumentSingle.aspx?DocumentID=217960 http://fb.me/OzzfuSpA"
"11","RT: @GOPLeader: House GOP to call for total cutoff of federal funds to ACORN http://tinyurl.com/ptnsu8 #acorn #tcot"
"12","@WMRepublicans #hc House Dems Take Health Care Debate Behind Closed Doors Blocking GOP Amendments, shutting down debate http://bit.ly/33jbnW"
"13","THE HILL - Current House Dem Whip Count on #healthcare bill http://j.mp/94Cidv #hc #hcr"
"14","RT @GOPWhip Politico: House Dem leadership lays out three public plan options http://bit.ly/215fM4 #tcot #handsoff #healthcare"
"15","The House could have created twice as many jobs at half the cost. But a $1.1 trillion spending bill got this: http://tinyurl.com/buhtot"
"16","Our ever-growing nat. debt, $11,545,275,345,431. House Dems forcing thru $1,500,000,000,000 govt takeover of health care. #priceless"
"17","Good follows @USASpeakingOut @GOPNMC @GOPWhip @PeterRoskam @RandyNeugebauer @WMRepublicans @ChiefDeputyWhip/housegop #FF #tcot #followfriday"
"18","Follow Friday: House GOP tweets here: http://j.mp/2mW5ta #FF #followfriday #tcot"
"19","House Democrats voted to raise national #debt limit by 1.9 trillion to $14,294,000,000,000"
"20","RT @gopwhip Updated Count: 35 House Dems now oppose Pelosi�s trillion dollar plus #healthcare overhaul #tcot #gop #hcr #housecall"
"21","Stay up-to-date on #healthcare debate - download WhipCast for your blackberry ( link to www.republicanwhip.house.gov/whipcast )"
"22","Delivering the Weekly Whip Colloquy on the House Floor http://ff.im/2v9HS"
"23","Played hardball yesterday and discussed AIG bonuses. See the interview here - http://www.kevinmccarthy.house.gov/videogallery.asp"
"24","#FF House GOP twitter list: http://j.mp/2mW5ta #tcot #gop #sgp"
"25","RT: @GOPLeader: House GOP to call for total cutoff of federal funds to ACORN http://tinyurl.com/ptnsu8 #acorn #tcot"
"26","Follow Friday: House Republicans tweet here - http://twitter.com/#list/ChiefDeputyWhip/housegop #followfriday #FF"
"27","NRO �The Corner� � Update � Current House Dem Whip Count on #healthcare bill http://j.mp/aWgw2P"
"28","Follow Friday - House GOP twitter list: http://j.mp/2mW5ta #ff #followfriday #tcot #gop"
"29","House begining Saturday debate on #Pelosicare, tune in: http://www.cspan.org/"
"30","House Dems' plan could force 114 million Americans out of their current health coverage http://bit.ly/4AGWQU #healthcare @WMRepublicans"
"31","RT @GOPLeader    House Democrats Vote to Allow Taxpayer-Funded Abortion http://ow.ly/1pbjr #hcr"
"32","ICYMI: I spoke on the House floor against a """"son of stimulus"""": http://bit.ly/6KYglr"
"33","FAILURE TO LEAD: House Dems punt all their problems to next year, use troops bill to sneak out of touch priorities: http://bit.ly/6eFhpd"
"34","SCRIPT CHANGE: Senator Sanders doesn�t tow White House line: http://bit.ly/4ywMeX"
"35","Going to White House luau. I will be on CNBC at 8:23pm EST. At least that is the plan."
"36","House of Representatives today considers a bill I wrote to help Haitian orphans"
"37","Debating health care before the U.S. House of Representatives shortly http://bit.ly/1TN0Fp"
"38","RT @RepublicanStudy: Even the White House admits budget cuts would probably """"go nowhere"""" in the Democrat-controlled Congress.  http://bi ..."
"39","OGR hearing on stimulus - watch live: http://republicans.oversight.house.gov/"
"40","RT @GOPWhip: UPDATED COUNT: 34 House Dems now oppose Pelosi�s trillion dollar plus #healthcare overhaul #tcot #gop #hcr #housecall"
"41","Of the 22 times Congress has considered reconciliations since 1980, there was only 1 bill that did not require further House action"
"42","RT @RepMikePence: @WSJ Editorial: """"White House shows no interest in
compromise"""" #tcot #healthcare http://amplify.com/u/21w9"
"43","oversight hearing @ 10am w/ sec geithner - live streaming video at http://republicans.oversight.house.gov"
"44","on the house floor waiting to give a floor speech on health care reform"
"45","I'm discussing the Rule of Law on the House Floor now. Tune in. #tcot #gop #cspan"
"46","RT @CNNMoney: House panel to subpoena N.Y. Fed over AIG http://bit.ly/4KArDV"
"47","Look who is talking most on the House floor! http://ow.ly/1qSnG"
"48","#YouCut winner would save $15 bil by selling excess federal property. Vote on this week�s cuts at http://republicanwhip.house.gov/youcut"
"49","Our office building here in DC has been evacuated, staff working at my house right. We're still not sure what the issue is."
"50","Call about farms and bills affecting them. Farm bill comes up every 6 years, committees in both House &amp; Senate focus on agriculture issues"
"51","I stand with my #GOP colleagues in the House and Senate and support a moratorium on earmarks. http://on.wsj.com/bvPA62"
"52","RT @GOPLeader: .@whitehouse Where are the jobs? Nearly 3 million jobs lost since 'stimulus' became law"
"53","Check out my website www.lamarsmith.house.gov for update answers to frequently asked questions on health care reform #hcr"
"54","RT @ConfPolicy: House will vote to extend only some rates, meaning tax increase on small biz and job creators. No amendments allowed. ht ..."
"55","Just introduced the Simple Universal Healthcare Act of 2009, my plan for #healthcare reform. http://leeterry.house.gov/"
"56","Read my plan for healthcare reform on my website leeterry.house.gov"
"57","Our new website is now LIVE: http://mccaul.house.gov. Easier access to video, a blog, survey and a fast-moving nat'l debt ticker. Too fast."
"58","""""DOC fix"""" now up on House floor. Should be on CSPAN."
"59","Welcome, to a new Republican Doc, Parker Griffith
http://burgess.house.gov/News/DocumentSingle.aspx?DocumentID=164520"
"60","If you have never watched the House Rules Committee in action, it is worth a look. 
We will likely go late into the night."
"61","I've written a letter condemning Venezuela for working with Iran to house missiles that could reach the U.S. http://bit.ly/dVB3lI"
"62","Backroom deal between White House and union bosses is appalling. http://www.house.gov/apps/list/press/tx08_brady/1_14_10_DealwithUnion.html"
"63","A concept the House GOP plans to introduce to Washington: frugality and restraint  http://ht.ly/37sTU"
"64","Questioned Sens Graham, Talent on WMDs during House Homeland Security Cmte hearing. Video here: http://bit.ly/aGKocZ"
"65","Spoke on House floor against the Rule for Omnibus Public Lands bill--Rules Comm. denied my amendment to save 80,000 jobs in CA! #tcot"
"66","New column posted http://www.house.gov/paul/index.shtml"
"67","Just finished voting on the floor of the house.  We named three post offices."
"68","House just voted to stop the tax increase, 277 to 148. Bipartisan. Bill cleared for the President. I voted yes"
