"","x"
"1","RT@GOPLeader: Pls RT: Submit follow-up #hcr questions to be answered by Boehner and congressional leaders on YouTube: http://bit.ly/UOZmE"
"2","RT @GOPLeader RT @WSJopinion John Boehner and Mitch McConnell: ObamaCare and the 'Buzzsaw' of Opposition http://bit.ly/bldQv3 #hcr"
"3","RT @darrellissa Tell Speaker Pelosi you want the Congressional Option, a chance for real bipartisan #hcr: http://tinyurl.com/ygvowel"
"4","RT @RepMikePence RT: New Video: """"Let Your Voice Be Heard"""" re: Pelosi #HealthCare Bill: http://j.mp/2vpa8r #handsoff #tcot #hcr"
"5","joined @PeterRoskam @RepShimkus @JudyBiggert @donmanzullo to write @LisaMadigan2010 asking she challenge #hcr in court http://bit.ly/9isc4O"
"6","RT@PeterRoskam Preparing w/ @GOPLeader to present commonsense cost-cutting reforms that will expand coverage at tmrw's #WH #hcr #Summit"
"7","We have to pass #hcr so we know what's in it?  Wait, what?  http://bit.ly/aXGIj2"
"8","Glad to see that VA AG @KenCuccinelli won case against obama health care law. Judge declared it unconstitutional. #hcrcostsjobs"
"9","how does #hcr play in peoria?  http://nyti.ms/cARsNq"
"10","RT @PeterRoskam #FF Voted NO on #hcr: @PatrickMcHenry @JudgeCarter @RepMikeRogersAL @wmrepublicans @BuckMcKeon #hcrcostsjobs"
"11","""""From our point of view, a tax increase like this cannot come at a worse time."""" -- Jim Dugan, CAT spokesman, March 2010. #hcrcostsjobs #tcot"
"12","RT @PeterRoskam Be sure to read my op-ed in @politico on the summit today: http://bit.ly/dkc7j8 #hcr #tcot"
"13","RT @repcliffstearns Stearns, Grayson duel over health care study .. http://bit.ly/8e8cEb #healthcare #tcot #hcr"
"14","RT @PeterRoskam: Caterpillar+Deere, 2 major IL employers, will bear $250m in new PelosiCare taxes. Its a fact: #hcrcostsjobs"
"15","I have urged Gov and AG to file suit on unconstitutionality of #hcr for #sandiego and #california. #gop #dem"
"16","Voices of Doctors Who Are Also Members of Congress http://bit.ly/4ntckW #tcot @GOPWhip #gop #hcr"
"17","Today at 12:30 PM Eastern/9:30 AM Pacific, I'll be talking with @ericbolling of @foxbusiness about health care #hcr #sandiego #gop #dem"
"18","Reaction to WH HCR summit http://bit.ly/9ZtjA7 #sandiego #gop #dem"
"19","#sandiego Fact Check on #hcr http://bit.ly/cmLswO #gop #dem"
"20","In case you missed it: my op-ed on the #hcr bill in yesterday's @sdut http://bit.ly/3961WN #gop #dem #sandiego Reform yes, H.R. 3962 No"
"21","CBO estimates $5 to $10 billion for IRS to enforce #hcr but bill doesn't fund enforcement. http://bit.ly/9yNr08 #sandiego #gop #dem"
"22","My local #sandiego updates on #hcr. Here is the first: http://bit.ly/9OU5te #gop #dem #gopcodered"
"23","I'll be on KUSI's Good Morning San Diego this morning (Thursday) talking about health care. If you're up, check it out. #tcot #hcr #gop"
"24","I'll be on KUSI's Good Morning San Diego tomorrow morning (Thursday) talking about health care. If you're up, check it out. #tcot #hcr #gop"
"25","Appreciate the inclusion in the #sandiego KNSD NBC 7/39 story on the #hcr debate taking to social media. http://bit.ly/a3vPfC #gop #dem"
"26","http://twitpic.com/1a51ik - Taking a moment to listen to the #hcr protesters today. #sandiego #gop #dem"
"27","Great interviews today about #hcr with @KUSI_News @SanDiego6 and @CBS8. See some of them at http://bit.ly/c57ewe #sandiego #gop #dem"
"28","New update on #hcr with @SanDiego6 in #sandiego http://bit.ly/cPY5PE #gop #dem #gopcodered"
"29","New update on #hcr with @KUSI_News in #sandiego http://bit.ly/99dv58 #gop #dem #gopcodered"
"30","The #hcr bill on my website, link to senate bill info and floor speech on plain language... http://bit.ly/ceNd8u #sandiego #gop #dem"
"31","Just had a great interview with @chipfranklin regarding #hcr in the House. About to sit down with TV Azteca re: amnesty. #sandiego #gop #dem"
"32","This morning's KUSI interview on the upcoming health care vote http://bit.ly/b9ApVv #hcr #sandiego #gop #dem"
"33","I'll be on @KUSInews this morning at 7:20 AM in #sandiego talking #hcr. #gop #dem"
"34","Tomorrow: 12:30 PM Eastern/9:30 AM Pacific, I'll be talking health care on @FOXbusiness #sandiego #hcr #gop #dem"
"35","RT @RobWittman The State of the Union will be January 27th at 9:00 PM ET. Use #SOTU to stay up to date with the #GOP response. #hcr #dem"
"36","Pls RT: New health care article in @SDNewsNetwork: http://bit.ly/2Yz7hS #hcr #gop #dem #sandiego #tcot"
"37","Bilbray on FOX Business on #hcr http://bit.ly/1i0ooV  #gop #dem #sandiego"
"38","Giving updates from Capitol Hill during the day... here, Facebook and on @KUSInews in #sandiego #gop #dem #hcr"
"39","pls rt: Pres. Obama said hcr reform doesn't apply to illegals. My floor speech is here: http://bit.ly/2LQ91z #hcr #gop #dem #sandiego"
"40","My op-ed in today's @SDUT on health care and why the current bill is wrong http://bit.ly/3961WN #gop #dem #hcr #sandiego #tcot"
"41","@KUSINEWS interview on health care and the recent elections, from this morning. bit.ly/2ib5PQ #gop #dem #hcr #sandiego"
"42","Latest version of H.R. 3962 is here: http://bit.ly/2Zhaab #gop #dem #sandiego #hcr"
"43","@KUSInews will be interviewing me Wednesday morning at 5:20 AM regarding my thoughts on the new health care bill. #gop #dem #hcr #sandiego"
"44","House Democrats unveil their health care bill. Here's the pdf: http://j.mp/1TH5Id #gop #dem #tcot #hcr #sandiego"
"45","@SanDiego6 interview on Afghanistan, health care and Pres. Obama's fight with FOX http://bit.ly/3sugu6 #gop #dem #hcr #sandiego #tcot"
"46","Saturday AM: watch San Diego's KUSI - 8:15 and CW - 9:15. Interviews on health care, the environment, etc. #sandiego #green #hcr #gop #dem"
"47","Video - health care and the economy on Good Morning San Diego - http://bit.ly/2m01Hd #gop #tcot #hcr"
"48","RT @GOPLeader: Pls RT: Submit follow-up #hcr questions to be answered by Boehner and congressional leaders on YouTube: http://bit.ly/UOZmE"
"49","Explore this Google map which allows you to view some of the #hcr one-minute speeches by House Republicans http://bit.ly/hcrdebatevideos"
"50","RT@USASpeakingOut BREAKING House GOP 2 force vote on plan 2 repeal heart of Obama #hcr law. Americans are #speakingout http://bit.ly/aipzp6"
"51","RT @GOPLeader RT @WSJopinion John Boehner and Mitch McConnell: ObamaCare and the 'Buzzsaw' of Opposition http://bit.ly/bldQv3 #hcr"
"52","VFW: #HCR Bill Betrays Veterans - bill doesn't protect health programs for veterans, service-members or their families http://ow.ly/1p5jt"
"53","RT @GOPLeader FACT CHECK: �Healthcare Bill Would Add Billions To The Country�s Debt� http://ow.ly/1p8zC  #hcr"
"54","RT @GOPLeader FACT CHECK: �Illusions of Cost-Control� http://ow.ly/1p8tf #hcr"
"55","RT @GOPLeader FACT CHECK: Burdensome Mandates, Higher Taxes = Proven Job Killers http://ow.ly/1p91d  #hcr"
"56","The Baucus Bill: Cuts For Seniors http://bit.ly/8ljqj #handsoff #tcot #sgp #healthcare #hcr"
"57","In #HCR bill, all companies will have to issue 1099 forms for ALL purchases more than $600; this will swamp our small biz http://ht.ly/1HV9U"
"58","RT If Dems� #hcr bill becomes law, the IRS could hire 16,000+ auditors to enforce new taxes &amp; fines: http://bit.ly/b39QG3 @wmrepublicans"
"59","RT @PeterRoskam If Pelosi wants #hcr vote on Fri. &amp; Congress should get 72 hrs to read the bill, then Dems should post it TMRW. Will they?"
"60","RT @RobWittman The State of the Union will be January 27th at 9:00 PM ET. Use #SOTU to stay up to date with the GOP response. #hcr #tcot"
"61","@reppaulryan is exposing the budget tricks and raising a point of order against the Majority�s #hcr bill watch on cspan.org"
"62","We were told the HCR bill would lower costs; But really the new law will increase HC costs over the next 10yrs by... http://bit.ly/b4mM9I"
"63","ICYMI: The Real Arithmetic of Health Care Reform, by former CBO director. http://tiny.cc/ryv6a  #HCR #FLTCOT"
"64","The IRS could hire as many as 16,500 additional auditors &amp; agents to investigate &amp; collect billions in new taxes http://bit.ly/9YkxlZ #hcr"
"65","Dems are """"all in"""" to pass this week   RT @foxnews    Obama postpones Asia trip to work on health care bill http://fxn.ws/bZsrCo #hcr #fltcot"
"66","RT @GOPLeader    House GOP Leaders to Force Vote Tomorrow on Measure Blocking �Slaughter Solution� http://ow.ly/1nwys #hcr"
"67","Fidel Castro declares passage of American health care reform """"a miracle"""" and a major victory for Obama's presidency: http://ow.ly/1qWzc #hcr"
"68","ICYMI: In Sunshine State News... What's good for the masses should be good for all on Capitol Hill: http://ow.ly/1rceH #hcr #tcot"
"69","The #hcr bill includes $569.2 billion in job-killing tax hikes during the worst recession in a generation http://bit.ly/bOtfdx #tcot"
"70","I support the call of the roll for this vote - Each Member should have the courage to stand and say yea or ney #HCR"
"71","The CBO says that if $208 billion is added back in for the doc fix, the bill will create a $59 billion deficit http://bit.ly/8Yiwhq #hcr"
"72","http://twitpic.com/1a2krx - Holding up my red NO vote card for those faithful to the #constitution as the crowd continues to grow. #hcr #tco"
"73","ICYMI: I gave a speech today on the House Floor expressing my opposition &amp; concerns w/ the #hcr bill: http://ow.ly/1oW1F #tcot Please RT"
"74","The bill costs $1.2 trillion between 2010 and 2020 and doesn�t even kick in until 2014. The cost is really for just five years. #hcr"
"75","Of the 22 times Congress has considered #reconciliations since 1980, there was only 1 bill that did not require further House action. #hcr"
"76","ICYMI: I gave a speech on the House Floor today discussing health care &amp; transparency in leg process. Video: http://ow.ly/1mZVH #hcr #tcot"
"77","ICYMI: My interview w/ Central Florida News 13 discussing health care: http://ow.ly/1oOf0 #hcr #tcot"
"78","The fed government will run up a $1.5 trillion #deficit this year�11 times the 10-year """"savings"""" Democrats claim are in the bill. #hcr #tcot"
"79","http://twitpic.com/19tg51 - I went out to greet the crowd gathered in Washington, D.C. for the #hcr rally."
"80","In 1965, Congress said #Medicare would cost $9 billion by 1990. In reality it cost $67 billion�seven times more than the prediction. #hcr"
"81","RT @RobWittman The State of the Union will be January 27th at 9:00 PM ET. Use #SOTU to stay up to date with the #GOP response. #hcr #tcot"
"82","RT @ByronYork: Dreier: Rules Cmte has debated 90 mins--50% longer than will be allowed for final passage of HCR rule. Shouldn't there be ..."
"83","Alternate Reality?  Obama - """"You can keep your own insurance"""" http://bit.ly/179FQI  Apparently not! http://politi.co/daKBkO #tcot #hcr"
"84","#hcr bill passed by 219 D's include higher #education loan progra.m that restricts College Students to only 1 loan source. #tcot #handsoff"
