"","x"
"1","Tweeps Please vote and RT my #youcut proposal to save
million by prohibiting useless stimulus signs http://republicanwhip.house.gov/YouCut/"
"2","RT: @whitehouse concludes cap and tax will cost American familes an extra $1,761 per year http://tinyurl.com/ksnoxg #tcot #capandtax"
"3","RT @GOPLeader PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress: http://bit.ly/4zeZdE"
"4","RT @gopleader: House GOP to call for total cutoff of federal funds to ACORN http://tinyurl.com/ptnsu8 #acorn #tcot"
"5","RT@gopleader:@whitehouse decision to scrap Polish/Czech missile def comes on 70th annivsry of Russian invasion of Poland http://bit.ly/vrHv7"
"6","RT @ChiefDeputyWhip: Follow Friday - House Republicans tweet here: http://j.mp/2mW5ta #ff #followfriday #tcot"
"7","My amendment to help prevent future foreclosures passed the House today http://tinyurl.com/lyadh7"
"8","My piece in Roll Call about Gaza Flotilla http://schock.house.gov/News/DocumentSingle.aspx?DocumentID=189158"
"9","Vote on my #youcut proposal to save millions by prohibiting the useless stimulus signs http://republicanwhip.house.gov/YouCut/"
"10","My statement on House vote to defund ACORN http://tinyurl.com/lsxloh #tcot"
"11","RT @darrellissa $787 billion �stimulus� + Obama @whitehouse= how many American jobs again? http://bit.ly/cXzjUN @whpresscorps"
"12","His constituents are paying for it RT @kararowland Gibbs slams House GOP Whip Cantor for opposing stimulus but seeking high speed rail fund"
"13","RT @DarrellIssa: House Republicans are """"Working For You""""  (VIDEO) http://bit.ly/9rnNw9 @GOPConference"
"14","Watch me speak on the House Floor against the misguided the Federal Employees Paid Parental Leave Act http://tinyurl.com/orc46j"
"15","RT @DarrellIssa Check out the new Team Oversight website at republicans.oversight.house.gov. Just turned live today. #tcot"
"16","Thanks for your votes on my #youcut stimulus signs proposal.  @GopWhip just announced we will force a vote on the House floor this week"
"17","Check out my speech on the House Floor focusing on the economy http://tinyurl.com/mm37yu"
"18","The House is voting on my #youcut proposal NOW"
"19","My amendment to ensure the technical skills of the unemployed are used to keep America competitive passes the House http://bit.ly/aFHQZO"
"20","RT @BuckMcKeon Just launched the Unmanned Aerial Vehicle #UAV Caucus Web site: Features news, blog, resources http://uav.mckeon.house.gov/"
"21","RT @SmallBizRepub Visit the House Small Business Committee Republican's New Website"
"22","State,emt on House vote to defund ACORN http://tinyurl.com/lsxloh #tcot"
"23","RT @FamousDC: New blog post: House GOP Unveils 'New Media Challenge' http://FamousDC.com/2010/04/21/house-gop-unveils-new-media-challenge/"
"24","RT @Alyssafarah: Baller speech on the floor of  the house by @repaaronschock ! Wooh!"
"25","RT @Bobby_Frederick: The #House kicks off a 3 week flurry before a 6 week recess. Agenda:  Reauthorize Flood Insurance &amp; establish telec ..."
"26","RT @TomBruno: CU delegation in DC now meeting at Canon House Office Bldg with Aaron Schock, from Illinois's 18th district (Peoria) @repa ..."
"27","Tell us how Washington can do better - submit your ideas to House GOP's America #SpeakingOut Project. Get started at http://bit.ly/akiIfG"
"28","Just arrived at the Capitol and the House will begin floor debate on healthcare shortly.  Find the GOP substitute at http://bit.ly/EEFOu"
"29","In Nancy Pelosi�s alternative universe, House doesn�t need to vote on healthcare reform to pass it. Read WSJ OP-ED at http://bit.ly/cwBHYN"
"30","Heading to the House Floor now to cast my """"NO"""" vote on the $846 billion energy tax."
"31","Dems want to gamble with one-sixth of the U.S. economy with their health care plan. Americans reject it, so do I. Go to crenshaw.house.gov."
"32","House/Senate agree on Mayport: $75.9 m for dredging and Charlie Wharf in Nat�l Defense Authorization Conference Report.  More to come..."
"33","What an honor it was today to officially designate the White Springs Post Office in the name of the late WWII hero Clyde L. Hillhouse."
"34","Shared some of your thoughts from my Tele Townhall on the House Floor yesterday.  http://bit.ly/dmNPOI"
"35","With another healthcare vote soon, House GOP plan meets the president's goals for reform, without a government takeover of health care."
"36","Spoke on the House Floor on my bill to honor Clyde L. Hillhouse by renaming the P.O. in White Springs after him.  Voting soon on passage."
"37","What are your ideas? House #GOP wants your ideas at www.AmericaSpeakingOut.com. Submit them now #ideas #speakingout #tcot"
"38","Funds to bring carrier to Mayport remain on track. Full House Appropriations Committee OKs $2 million in planning and design funds."
