"","x"
"1","RT @GOPWhip    Newsweek: Presidential confab to create jobs won't work; rethinking some of Obama's policies might http://j.mp/69EziH #tcot"
"2","RT @WMRepublicans 47 out of 50 states have lost jobs since Democrats� stimulus law http://bit.ly/a9DEp4 #wherearethejobs"
"3","That's less than %age of people who think Elvis is still alive RT @GOPLeader Only 6 percent of Americans think�stimulus� has created jobs"
"4","My op ed in Chicago Tribune on Why Free Trade Equals Free US Jobs http://bit.ly/7FnO5X"
"5","RT @darrellissa $787 billion �stimulus� + Obama @whitehouse= how many American jobs again? http://bit.ly/cXzjUN @whpresscorps"
"6","Glad to see that VA AG @KenCuccinelli won case against obama health care law. Judge declared it unconstitutional. #hcrcostsjobs"
"7","Appearing on MSNBC at 12:30 ET to talk about the Senate jobs bill and health care summit"
"8","RT @darrellissa Unemployment hits 10.2%...so where are the jobs, Joe?
http://bit.ly/1cpH8u #tcot"
"9","My op-ed on using the so-called stimulus funds to pay for the HIghway Bill, which would actually create jobs http://bit.ly/49NnSK"
"10","RT @USASpeakingOut�LIVE: @GOPLeader�@PeterRoskam�@RepAaronSchock�listen to job creators. Tune in now:http://ow.ly/2cmxH�#JOBS"
"11","RT @PeterRoskam #FF Voted NO on #hcr: @PatrickMcHenry @JudgeCarter @RepMikeRogersAL @wmrepublicans @BuckMcKeon #hcrcostsjobs"
"12","""""From our point of view, a tax increase like this cannot come at a worse time."""" -- Jim Dugan, CAT spokesman, March 2010. #hcrcostsjobs #tcot"
"13","RT @CornWhisperer    Good mtg w/ Josh @ @repaaronschock on upgrading locks &amp; #jobs http://www.youtube.com/watch?v=syGyQct3m6M"
"14","RT RepMikePence  Washington Post editorial board not convinced with @BarackObama's """"jobs plan"""" http://amplify.com/u/14kw"
"15","My Foundry Guest Blog:  Free Trade Will Boost Jobs http://bit.ly/8eg7BL"
"16","RT @NatResourcesGOP When Obama returns, will he consider all-of-the-above energy @ his jobs-but-not-job-creation-summit? http://is.gd/4YfuT"
"17","RT @PeterRoskam: Caterpillar+Deere, 2 major IL employers, will bear $250m in new PelosiCare taxes. Its a fact: #hcrcostsjobs"
"18","RT @moirabagley: RT @DarrellIssa: Team Oversight's @repaaronschock on best way to grow jobs and U.S. economy- free and fair trade: http: ..."
"19","@mzjitt or I could vote for free trade/highway bill/payroll tax holiday which would actually create real jobs like I've advocated"
"20","Florida stands to lose nearly 100,000 jobs in coming years under Nancy Pelosi�s energy tax plan.  Another reason to vote against the bill."
"21","NFIB recognizes my strong record in support of measures to give small business owners the tools they need to grow jobs. http://tiny.cc/ab1ws"
"22","GOP�s Pledge to America offers real solutions to nation�s top priorities: economy, jobs, health care, and more.  http://tiny.cc/etkff"
"23","RT @WOKVNews: Mayport Carrier Could Create Thousands of Jobs, Cost Millions http://bit.ly/a5o1Ba"
"24","RT @USASpeakingOut: Rep John Kline wants secret ballots for all union elections to protect jobs, no 'card check'. Weigh in http://ow.ly/ ..."
"25","RT @USASpeakingOut: Rep. Steve Scalise says the drilling moratorium could cost 200K #jobs, must end. Do u agree? http://ow.ly/2kj8w #oil ..."
"26","RT @gopconference: RT @USASpeakingOut: Dems plan largest tax hike in history, @RepMikePence wants to stop them bc we need jobs. VOTE htt ..."
"27","Tax, Spend, and Bailout Policies Are Killing Jobs http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=970"
"28","We Need More Jobs, Not More Bailouts http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=965"
"29","Health Care, Jobs, Terrorism Top Local Concerns http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=963"
"30","""""Spend and Borrow"""" Has Failed to Create Jobs  http://bit.ly/24T1yO"
"31","Alabama deserves shot at new defense jobs http://bit.ly/3rp2Pp"
"32","RT @USASpeakingOut: Rep. Pat Tiberi: Sml. Biz. create jobs, but they are struggling: need tax relief - Do you agree? Vote! http://ow.ly/ ..."
"33","It's time to get serious about immigration reform. Go after employers exploiting illegal labor and open American jobs to American citizens"
"34","It is not OK to allow tax money to be used to give jobs to illegal immigrants when Americans need work: http://bit.ly/aWBgXU #SanDiego"
"35","From earlier today: @KUSI_News and I spoke about immigration and #green jobs http://bit.ly/9c1xpG #SanDiego #GOP #Dem #algae"
"36","RT @newssandiego: Bry: Industry leaders see San Diego as leading the �green jobs� revolution - http://tinyurl.com/25ahyve #sandiego"
"37","Wonder how my primary opponents would talk to the 3 electric vehicle firms thinking of bringing hundreds of jobs to the Upstate."
"38","Newt: Don't gear toward mobilizing the base. Represent everyone in your district. They want jobs, take home pay and savings. We're with them"
"39","Gave 5-minute speech on the House Floor tonight about the danger of dependence on foreign oil and the opportunity for new technology jobs."
"40","I'm for a new way--new jobs, new energy. Solutions rather than scapegoats. Smiles rather than snarls. Reaching out rather than drawing back"
"41","Jobs in SC's forests, jobs in engineering, jobs in manufacturing. That's what can come out of adding wood to coal. New energy works!"
"42","Clemson's win on wind proves that the road to energy independence runs through SC. Our research universities are spawning new-energy jobs."
"43","Just leaving GE Aviation's announcement of 100 jobs being added to the 140 now at The Matrix in G'ville. GE really is imagination at work!"
"44","This morning 100% of an AP class @ JL Mann said new car and electricity fuels can create jobs. Last week 90% said so @ Mauldin &amp; Hillcrest"
"45","SC engineers can lead a nuclear renaissance. The four plants being considered for SC could provide 12,400 permanent jobs, many high paying."
"46","At the doors in Converse Heights today deficit/debt, jobs, state budget cuts, energy policy and Saturday mail delivery were the issues."
"47","Really great door-to-door conversations in Greer just now. James: grow the jobs. Mark: find solutions. Bill: secure the border."
"48","Just talked with a 37-year educator about innovating our way to better national security, more jobs &amp; cleaner air. Carolina Ave. in G'ville"
"49","Continuing work on a """"Plan of Reorganization"""" for the federal government. It starts with cutting spending and growing jobs."
"50","Really good day in Union today: community leaders lunch, Quick Jobs tour, plant tour at Parts &amp; Machinery, door-to-door, County GOP meeting."
"51","Just toured one of Mitsubishi's lines in Greer. Impressive people, technology and capital investment. Grateful for those jobs!"
"52","But there's great news in the Upstate: Proterra, CU-ICAR, 1300 jobs! The road to energy independence running through SC is paved with jobs!"
"53","Proterra proves that the road to energy independence runs through SC. And there are jobs on that road! It's about national security AND jobs"
"54","Tremendously excited about the announcement expected from Proterra tomorrow. CU-ICAR adds even more jobs &amp; a new set of capabilities!"
"55","In 7 telephone town hall meetings 65% have said we can create jobs in new fuels. Let's go for it--with young innovators leading the way."
"56","On way to Let's Talk. . . Jobs at Denny's on Reidville Road in Spartanburg. Noon lunch at Ham House. Join us for breakfast or lunch."
"57","With Greer Chamber for breakfast. Talked about Upstate leading recovery, esp. through new energy jobs. Then met with some WWII veterans."
"58","Proterra is one of 3 electric vehicle companies looking at the Upstate. I'm excited about the hundreds of jobs any one of them could bring."
"59","Reflecting on Kemet's announcement today of 113 new energy jobs. Exciting to see that new production line coming to pass."
"60","Futuristic firms are looking for places and people that """"Get it."""" Showing them that we """"get it"""" could land hundreds of jobs."
