"","x"
"1","RT @darrellissa $787 billion �stimulus� + Obama @whitehouse= how many American jobs again? http://bit.ly/cXzjUN @whpresscorps"
"2","Just voted no on Democrat takeover of health care. Will continue to voice my strong opposition to ObamaCare."
"3","Bachus Votes to Prevent IRS From Enforcing ObamaCare http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=1017&amp;Itemid=104"
"4","Just spoke with Tom Reopelle from @KNX1070 about President Obama putting 1,200 troops on the US-Mex border."
"5","Obama Administration trying to block Arizona from enforcing Immigration Law: http://bit.ly/aiXlKH #SanDiego #GOP #Dem"
"6","My @FOX5SanDiego interview on #Arizona's Brewer's meeting with Pres Obama today: http://bit.ly/bGCeJm #SanDiego #GOP #Dem"
"7","Please RT: Tomorrow night: President Obama and his first official state of the Union. 9:00 PM Eastern/6:00 PM Pacific. #gop #dem #sandiego"
"8","My @fox5sandiego reaction to Obama's Afghanistan speech: http://bit.ly/91FISH #sandiego #gop #dem"
"9","Obama and Frank want to give the earned interest to struggling home owners. But it's supposed to come back to all taxpayers, not just some."
"10","Health care steam roller (the one that's been hot wired by Pelosi, Reid &amp; Obama) may short out in Mass--even if Scott Brown just gets close."
"11","Except for talk, Obama hasn't done anything to reduce the expense of retiring baby boomers. http://tinyurl.com/ohw3cg"
"12","Obama's $17 bilion in cuts amounted to only one-half of 1 % of the president's $3.55 trillion budget"
"13","@CFHeather @sjicaucusTV @ObamaResistance @MikeMunzing @RichCounts @TomLeath @WJGBalderama @SoupCanKiller @pinnie99 thanks for the RTs!"
"14","@SAMMIESMILES8 @hipEchik glad you're on board with getting the anvil of ObamaCare off of our job creators!"
"15","John Galt Line? Try Barack Obama Line: http://j.mp/9utwfR 1 runs on American innovation, 1 on taxpayer-funded propaganda @conniehair"
"16","Obama asked why he broke his promise to me about going over the health care bill line-by-line: http://www.youtube.com/watch?v=pOp7PRKU_Rw"
"17","RT @GOPLeader Republicans have consistently opposed President Obama�s tax hikes, and offered better solutions to lower taxes, create jobs"
"18","I'll be on @SuperTalk with @SidSalter at 5:05 p.m. CST to discuss my disappointment with the Obama Administration's lawsuit against Arizona."
"19","Congressmen on Missile Defense Caucus Blast President Obama's Abandonment of European Missile Defense - Read more: http://tinyurl.com/kq86b8"
"20","RT @GOPConference Obama touts job growth but business leaders say his policies are 'job-destroying'  http://bit.ly/cgLL9M #jobs #antibiz"
"21","HARPER: PRESIDENT OBAMA SHOULD CONSIDER GOP SOLUTIONS - Read more: http://j.mp/cKq2eL"
"22","I will be """"On Deadline with @SidSalter"""" on @SuperTalk at 5:00 p.m. Central today with reactions to President Obama's address to Congress."
"23","Tune in to Mississippi Edition on MPB tomorrow at 9:30 a.m. Eastern for my reactions to President Obama's address to Congress."
"24","Meridian Star - Harper: Obama's budget proposal is �horrible� - Read more: http://tinyurl.com/d8m3q6"
"25","Washington Post: In Savannah, Ga., some have yet to feel effects of Obama�s stimulus plan: http://bit.ly/bgktf9"
"26","RT @RepMikePence: RT @hotairblog-Rasmussen: ObamaCare support plunges to new low: Read this post � http://bit.ly/7yhspd"
"27","My release on today's ruling that strikes down Obamacare's individual mandate: http://bit.ly/eKtx6U"
"28","TUNE IN OR TIVO - I'll be on MSNBC at 12:30 to discuss President Obama's speech to school children."
"29","RT @GOPConference CBS Poll: Only 40% have confidence in President Obama�s actions on economy. Down 5%. �http://bit.ly/dgTlqv"
"30","Courtesy @WMRepublicans, Dems increased taxes $670 BILLION &amp; counting...breaking Obama promise not to tax middle class: http://bit.ly/bb17Ks"
"31","RT PatrickMcHenry   39 Dems opposed to Pelosi-care on Sat. exemplifies Obama's abandonment of bipartisanship (FT) http://ow.ly/AOlP #HC"
"32","http://www.breitbart.tv/obama-american-agenda-flashback-dems-should-not-pass-healthcare-with-a-50-plus-1-strategy  Obama on health care"
"33","http://alturl.com/3p6vg My statement regarding the Obama land grab.  I worry he plans to do more when he thinks nobody is watching."
"34","Sign @club4growth's citizen pledge to work towards a repeal of ObamaCare http://bit.ly/6JiGBq plz RT  I signed the pledge #repeallt"
"35","Since Obama took office, the federal government has 133,000 new, additional federal workers, 3,000 added in the past 30 days"
"36","http://www.washingtonexaminer.com/politics/Republican-opposition-emerges-on-Obama_s-Afghan-plan-8614427-78273407.html"
"37","Organized a letter to Pres. Obama urging him to veto an end-of-year-spending bill if it�s loaded with earmarks. http://ht.ly/3noY5"
"38","President Obama throws opening day pitch wide left."
"39","I hope Pres. Obama is successful with a spending freeze, but I don�t expect Dems in Congress to go along with it. http://ow.ly/118UH"
"40","My comments on Iraq progress and President Obama�s decision on troop drawdown: http://tinyurl.com/avfz4k #tcot"
"41","President Obama's rhetoric doesn't match his actions when it comes to securing the border. Despite the need for... http://fb.me/ALq3qUhc"
"42","Reports this week indicate the Obama Administration is considering granting amnesty to millions of illegal... http://fb.me/AOSukYHu"
"43","President Obama is wrong to think a European style �value-added tax� is the answer to our deficit.  These hidden... http://bit.ly/aoKxpC"
"44","See my recent newsletter to read about my efforts to repeal President Obama's health plan and replace it with... http://bit.ly/c57Izm"
