"","x"
"1","RT: @whitehouse concludes cap and tax will cost American familes an extra $1,761 per year http://tinyurl.com/ksnoxg #tcot #capandtax"
"2","@RepMikePence @washingtonpost - CBO Chief: Cap and Tax would slow
economy: http://bit.ly/3pOOJN #tcot #AESG #capandtax"
"3","RT @DarrellIssa: Talked w/ @WSJ on our investigation of tax $ wasted on stimulus propaganda signs http://j.mp/auzJIS @repaaronschock wan ..."
"4","My speech against cap and tax http://tiny.cc/JeRn1"
"5","Let's reform the death tax http://bit.ly/bhzh5V"
"6","RT @GOPLeader Attn @presssec: Republicans are unified: to boost our economy, we need to stop ALL tax hikes and cut spending no"
"7","Excited about my appointment to Ways &amp; Means so that I can have a leading voice on job creation, taxes &amp; trade.  http://t.co/OU1mbxx"
"8","""""From our point of view, a tax increase like this cannot come at a worse time."""" -- Jim Dugan, CAT spokesman, March 2010. #hcrcostsjobs #tcot"
"9","Cavuto and I talk about Pres Obama's proposed tax increase http://tinyurl.com/c89ntu"
"10","RT @PeterRoskam: Caterpillar+Deere, 2 major IL employers, will bear $250m in new PelosiCare taxes. Its a fact: #hcrcostsjobs"
"11","RT @DarrellIssa: @RepAaronSchock and I asked what resources stimulus oversight board needs to deliver taxpayers the spending answers the ..."
"12","@calebgalaraga more than 1 word but POTUS call for spending freeze-FTAs- nuclear plants-tax cuts is akin to Blago calling for ethics reform."
"13","@mzjitt or I could vote for free trade/highway bill/payroll tax holiday which would actually create real jobs like I've advocated"
"14","Growing support for my ABLE Act, tax-deferred savings accounts for the disabled. Read about it in the Washington Times http://tiny.cc/6k6md"
"15","WSJ: Pelosi plan is �The Worst Bill Ever,� new spending, taxes, higher premiums, rationed care &amp; dishonest accounting http://bit.ly/NnrrY"
"16","With over 1.1 million #YouCut votes, it�s clear that taxpayers are fed up with the culture of spending in Washington. http://bit.ly/9hAmRy"
"17","Pelosi and Obama want to take over heath care and raise your taxes. Didn't support their plan last fall and will vote against it again."
"18","As you file your taxes, US debt clock estimates debt per citizen at $41,468. More cause for fiscal responsibility.  http://bit.ly/dBCyA5."
"19","Heading to the House Floor now to cast my """"NO"""" vote on the $846 billion energy tax."
"20","I'm against any Financial Reg Reform that = more taxpayer bailouts, bureaucracy, gov't economic control, and job loss. http://bit.ly/7nLF3T"
"21","Americans for Tax Reform - Admin breaks pledge not to increase taxes on those earning &amp;lt;$250,000 for new health plan. http://bit.ly/b8jF6i"
"22","Tonight's telephone townhall with 5,000 residents provided great thoughts on healthcare, FairTax and the ecomony. I appreciate your input!"
"23","Just voted to save taxpayers $30 billion! Be heard on your favorite fed�l budget cut at YouCut web site http://tiny.cc/8a7j8"
"24","Last night I voted to extend tax cuts for all Americans, give job creation and economic recovery a fighting chance. http://tiny.cc/qrj85"
"25","Florida stands to lose nearly 100,000 jobs in coming years under Nancy Pelosi�s energy tax plan.  Another reason to vote against the bill."
"26","With the fate of $3.9 trillion in tax cuts in the balance, now not the time for Congress to leave Washington. http://tiny.cc/huy5d"
"27","With today�s economic climate, it is wrong to raise taxes on small businesses and families and I will vote against this measure today!"
"28","CBO: Dem health care plan costs $1 tillion, raises taxes, cuts Medicare, hikes insurance. GOP plan provides more access to affordable care."
"29","CBO states that the GOP healthcare option costs $61 billion, or 5% of the $1.3 trillion Pelosi bill and will lower HC costs to taxpayers."
"30","The Democrats� version of HC reform is wrong RX for America. GOP option lowers healthcare costs without raising taxes. http://bit.ly/3egbPd"
"31","The $846 billion energy tax will hurt every American family and increase the cost of everything from electricity to gas and groceries!"
"32","A national energy tax is the wrong approach to solving America�s energy dilemma. Speaker Pelosi should shelve �cap and trade� legislation."
"33","Taxpayers have grown to despise �Tax Day.� I applaud the participants in today�s Tea Parties and I carry your message in DC every day!"
"34","The Majority�s budget spends too much, taxes too much, and borrows too much. I could not support this plan."
"35","GOP Tweet: 
IRS could hire 16,500 new auditors and agents to investigate and collect billions in new taxes http://bit.ly/9YkxlZ"
"36","GOP Tweet: The bill includes $569.2 billion in job-killing tax hikes during the worst recession in a generation http://bit.ly/bOtfdx"
"37","Bachus Opposes VAT Tax Scheme http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=998&amp;Itemid=104"
"38","Speaker, Democrat Majority Take a Walk on Taxes http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=1046&amp;Itemid=104"
"39","RT @gopconference: RT @USASpeakingOut: Dems plan largest tax hike in history, @RepMikePence wants to stop them bc we need jobs. VOTE htt ..."
"40","Stop the Tax Increases, Oppose Pork-Barrel Spending http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=1056&amp;Itemid=104"
"41","Tax, Spend, and Bailout Policies Are Killing Jobs http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=970"
"42","President's Budget Spends, Borrows, Taxes Too Much http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=933"
"43","RT @USASpeakingOut: Rep. Pat Tiberi: Sml. Biz. create jobs, but they are struggling: need tax relief - Do you agree? Vote! http://ow.ly/ ..."
"44","The IRS could hire as many as 16,500 additional auditors and agents to investigate and collect billions in new taxes http://bit.ly/9YkxlZ"
"45","Congress passes algae biofuel tax credit legislation http://bit.ly/c8ks1W #algae #SanDiego"
"46","It is not OK to allow tax money to be used to give jobs to illegal immigrants when Americans need work: http://bit.ly/aWBgXU #SanDiego"
"47","At meeting in Capitol with TechNet--a group of tech companies. Microsoft guy is saying right now that America's corporate tax is punishing."
"48","The health care bill includes $569.2 billion in job-killing tax hikes during the worst recession in a generation http://bit.ly/bOtfdx"
"49","Good that new cap &amp; trade has nuclear and off-shore drilling. Needs to cut FICA tax and shift tax to pollution. Cut &amp; shift, not cap &amp; trade"
"50","All taxpayers chipped in to keep banks from collapsing. All taxpayers should benefit from repayment of principal and from interest earned."
"51","Obama and Frank want to give the earned interest to struggling home owners. But it's supposed to come back to all taxpayers, not just some."
