"","x"
"1","Reminder - vote on my #youcut proposal to save millions by prohibiting useless stimulus signs http://ow.ly/25KSY"
"2","Tweeps Please vote and RT my #youcut proposal to save
million by prohibiting useless stimulus signs http://republicanwhip.house.gov/YouCut/"
"3","RT @GOPLeader: PLEASE RT: VIDEO: Congress Should Let Americans Read Bills Before It Votes http://bit.ly/cpbtS #readthebill"
"4","Dinner with my fellow freshman colleagues and @RepGriffith tonight after votes"
"5","Vote on my #youcut proposal to save millions by prohibiting the useless stimulus signs http://republicanwhip.house.gov/YouCut/"
"6","My statement on House vote to defund ACORN http://tinyurl.com/lsxloh #tcot"
"7","Check out my new #youcut video on stimulus signs and vote for my proposal at @gopwhip youcut website http://bit.ly/bHUGwC"
"8","Thanks for your votes on my #youcut stimulus signs proposal.  @GopWhip just announced we will force a vote on the House floor this week"
"9","RT @PeterRoskam #FF Voted NO on #hcr: @PatrickMcHenry @JudgeCarter @RepMikeRogersAL @wmrepublicans @BuckMcKeon #hcrcostsjobs"
"10","RT @PatrickRuffini RT @BDayspring Great piece by @KSoltis on GOP/youth voters and why econ/spending is the path GOP: http://bit.ly/55KCvf"
"11","RT @darrellissa Oversight Democrats slink out the backdoor, evading
Countrywide subpoena vote: http://bit.ly/23q0ky #tcot"
"12","State,emt on House vote to defund ACORN http://tinyurl.com/lsxloh #tcot"
"13","RT @GOPWhip: The #YouCut program has received more than 1.5 million votes since its launch just 3 months ago"
"14","@deborah2r3 I voted w/WH on issues like regulating tobacco, regulating predatory lending, credit card bill of rights, tarp oversight etc..."
"15","@mzjitt or I could vote for free trade/highway bill/payroll tax holiday which would actually create real jobs like I've advocated"
"16","Have now voted to cut $49.5 million in wasteful government spending under YouCut. What�s your favorite spending cut? http://tiny.cc/prt2r"
"17","With over 1.1 million #YouCut votes, it�s clear that taxpayers are fed up with the culture of spending in Washington. http://bit.ly/9hAmRy"
"18","Pelosi and Obama want to take over heath care and raise your taxes. Didn't support their plan last fall and will vote against it again."
"19","In Nancy Pelosi�s alternative universe, House doesn�t need to vote on healthcare reform to pass it. Read WSJ OP-ED at http://bit.ly/cwBHYN"
"20","Join my fight to replace a culture of spending in Washington with a culture of savings!  Find out more and vote at http://tiny.cc/qdqz1"
"21","In the past week, over 280,000 Americans  voted on how Congress should cut spending.  The fight continues. Join me at http://tiny.cc/wvfin"
"22","Heading to the House Floor now to cast my """"NO"""" vote on the $846 billion energy tax."
"23","Just voted no on Democrat takeover of health care. Will continue to voice my strong opposition to ObamaCare."
"24","Just voted to save taxpayers $30 billion! Be heard on your favorite fed�l budget cut at YouCut web site http://tiny.cc/8a7j8"
"25","Before any votes are cast, citizens and Members of Congress deserve time to read and analyze legislation. http://bit.ly/qkZsI"
"26","Last night I voted to extend tax cuts for all Americans, give job creation and economic recovery a fighting chance. http://tiny.cc/qrj85"
"27","Florida stands to lose nearly 100,000 jobs in coming years under Nancy Pelosi�s energy tax plan.  Another reason to vote against the bill."
"28","With another healthcare vote soon, House GOP plan meets the president's goals for reform, without a government takeover of health care."
"29","Just finished tele townhall mtg with 8,000 residents-90% on the call supported my """"no"""" vote on health care reform. Thanks for your input!"
"30","With today�s economic climate, it is wrong to raise taxes on small businesses and families and I will vote against this measure today!"
"31","I voted against a 15.3% increase in the national debt limit (to $14.3 trillion), the 3rd increase since Feb 09 and the largest in history."
"32","Pushing for transparency on GITMO.  Signed discharge to force vote on Keep Terrorists Out of America Act. Read more: http://bit.ly/3QVNGu"
"33","Just cast my vote against the $1.3 trillion Pelosi government healthcare takeover.  Unfortunately, the bill passed by 220 - 215."
"34","Just voted to remove funding for abortions in the health care bill.  The Stupak amendment passed 240 - 194."
"35","Dem leaders backing off pre-August recess health care vote. I have always said health care reform too important to rush through Congress!"
"36","Bachus Votes to Prevent IRS From Enforcing ObamaCare http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=1017&amp;Itemid=104"
"37","Forcing Vote on Rep. Paul """"Audit the Fed"""" proposal today"
"38","Vote on Spending Cuts to Bring Down Deficit http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=995&amp;Itemid=104"
"39","Bachus Votes Against Government Takeover of Health Care http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=959"
"40","Bachus Challenges Constitutionality of Health Care Vote http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=958"
"41","RT @gopconference: RT @USASpeakingOut: Dems plan largest tax hike in history, @RepMikePence wants to stop them bc we need jobs. VOTE htt ..."
"42","Bachus Votes Against Dodd-Frank Bailout Bill http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=1019&amp;Itemid=104"
"43","Statement on Defeat of Up-or-Down Vote  http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=956"
"44","Why Is Speaker Pelosi Afraid of a Vote on Health Care?"
"45","Where Health Care Stands After the Massachusetts Vote
http://www.bachus.house.gov/index.php?option=com_content&amp;task=view&amp;id=925"
"46","Bachus Votes No on Government Health Care Bill http://bit.ly/2Q7iNT"
"47","Vote Against Government Run Health Care Bill http://www.youtube.com/congressmanbachus"
"48","Don't rush flawed health care, finance bills to a vote http://bit.ly/1GHq1g"
"49","Bachus Statement on House Vote to Defund ACORN http://bit.ly/oBlye"
"50","RT @USASpeakingOut: Rep. Pat Tiberi: Sml. Biz. create jobs, but they are struggling: need tax relief - Do you agree? Vote! http://ow.ly/ ..."
"51","This morning's KUSI interview on the upcoming health care vote http://bit.ly/b9ApVv #hcr #sandiego #gop #dem"
"52","I uploaded a YouTube video -- Bilbray: Senate Finance Committee Votes Against Public Option http://bit.ly/uuLOa"
"53","In our R majority we never had the magic 60 votes in the Senate, making progress hard. The Ds have had the 60 &amp; they were running the tables"
"54","So if you're a politician desperate to move up and you're frustrated by the incumbent's votes fitting the district, just invent a record!"
"55","Real anger on the streets today about the spending. Folks want it stopped. Glad to have voted for THE most conservative budgets possible."
"56","Read all about pork, earmarks, the Union lake and fishing for votes:  http://wurl.ws/y6OQ"
"57","I asked if they (the other R and the D) were ready to cast votes and lead to solutions. """"Heck no!"""" came the answer, """"We'd lose our seats."""""
"58","If they get the steam roller cranked up by wiring the votes, they plan on driving it through the House on Sat. Some Ds aren't plugging in."
"59","Republican Conference has just voted to ban earmarks for this year. Exciting to get this victory. The people are rising up and being heard."
"60","Between and after votes tonight been working w/team on breaking parts of health care bill into """"repeal,"""" """"replace"""" and """"reform"""" categories"
"61","We're leading Asheville so far! Add your vote for Google to bring Google fiber to Greenville. Vote at  http://www.googlefiber.com/"
"62","Hearing all kinds of stories about whether or not the D leadership has the votes to cram down health care. Latest was CBO cost trouble."
